File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/647.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_01h-EGS_1
Injection Number	107
Position	BA7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	18:36:41
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,676150
Signal Max.	2 101,088381
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,009650
0,008500	0,5	-0,042000
0,016833	0,5	-0,048250
0,025167	0,5	-0,036400
0,033500	0,5	-0,016800
0,041833	0,5	0,029050
0,050167	0,5	0,031850
0,058500	0,5	0,029500
0,066833	0,5	0,023050
0,075167	0,5	0,035650
0,083500	0,5	0,026550
0,091833	0,5	0,032600
0,100167	0,5	0,022600
0,108500	0,5	0,019500
0,116833	0,5	0,021300
0,125167	0,5	0,015350
0,133500	0,5	0,008450
0,141833	0,5	0,002150
0,150167	0,5	0,021000
0,158500	0,5	-0,007900
0,166833	0,5	-0,010250
0,175167	0,5	-0,008450
0,183500	0,5	0,018450
0,191833	0,5	0,036550
0,200167	0,5	0,048100
0,208500	0,5	0,028800
0,216833	0,5	0,043400
0,225167	0,5	0,030650
0,233500	0,5	0,031450
0,241833	0,5	0,018950
0,250167	0,5	0,016700
0,258500	0,5	0,010250
0,266833	0,5	0,009850
0,275167	0,5	0,005950
0,283500	0,5	-0,007750
0,291833	0,5	0,014650
0,300167	0,5	0,064350
0,308500	0,5	0,069400
0,316833	0,5	0,046400
0,325167	0,5	-0,001800
0,333500	0,5	-0,017400
0,341833	0,5	-0,012600
0,350167	0,5	-0,014800
0,358500	0,5	-0,003750
0,366833	0,5	-0,009050
0,375167	0,5	0,006050
0,383500	0,5	-0,005600
0,391833	0,5	0,001600
0,400167	0,5	-0,013100
0,408500	0,5	-0,008050
0,416833	0,5	-0,008900
0,425167	0,5	-0,027650
0,433500	0,5	-0,037350
0,441833	0,5	-0,004550
0,450167	0,5	-0,028250
0,458500	0,5	-0,036900
0,466833	0,5	-0,035550
0,475167	0,5	-0,031750
0,483500	0,5	0,002650
0,491833	0,5	0,002750
0,500167	0,5	0,003600
0,508500	0,5	0,001350
0,516833	0,5	0,002850
0,525167	0,5	-0,006550
