File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/230.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_01h-EGS_3
Injection Number	109
Position	BB1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	19:34:15
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,752450
Signal Max.	2 094,938581
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,058800
0,008667	0,5	-0,077600
0,017000	0,5	-0,063500
0,025333	0,5	-0,056100
0,033667	0,5	-0,034850
0,042000	0,5	-0,021150
0,050333	0,5	-0,047200
0,058667	0,5	-0,053150
0,067000	0,5	-0,043950
0,075333	0,5	-0,017600
0,083667	0,5	0,005150
0,092000	0,5	0,001350
0,100333	0,5	-0,006750
0,108667	0,5	-0,000150
0,117000	0,5	-0,007150
0,125333	0,5	-0,002750
0,133667	0,5	-0,013450
0,142000	0,5	-0,009750
0,150333	0,5	-0,018550
0,158667	0,5	-0,017300
0,167000	0,5	-0,022950
0,175333	0,5	-0,036800
0,183667	0,5	-0,029400
0,192000	0,5	-0,018450
0,200333	0,5	-0,040150
0,208667	0,5	-0,046150
0,217000	0,5	-0,038000
0,225333	0,5	-0,015000
0,233667	0,5	-0,000150
0,242000	0,5	-0,023500
0,250333	0,5	-0,016950
0,258667	0,5	-0,022000
0,267000	0,5	-0,016500
0,275333	0,5	-0,022050
0,283667	0,5	-0,015650
0,292000	0,5	0,009300
0,300333	0,5	0,053700
0,308667	0,5	0,038600
0,317000	0,5	-0,010400
0,325333	0,5	-0,070650
0,333667	0,5	-0,060950
0,342000	0,5	-0,064950
0,350333	0,5	-0,069700
0,358667	0,5	-0,073000
0,367000	0,5	-0,057100
0,375333	0,5	-0,023300
0,383667	0,5	-0,019850
0,392000	0,5	-0,028500
0,400333	0,5	-0,023300
0,408667	0,5	-0,024300
0,417000	0,5	-0,026700
0,425333	0,5	-0,026800
0,433667	0,5	-0,027300
0,442000	0,5	-0,025750
0,450333	0,5	-0,035250
0,458667	0,5	-0,030800
0,467000	0,5	-0,058900
0,475333	0,5	-0,064450
0,483667	0,5	-0,034850
0,492000	0,5	-0,054550
0,500333	0,5	-0,055500
0,508667	0,5	-0,054800
0,517000	0,5	-0,038800
0,525333	0,5	0,005500
0,533667	0,5	-0,003950
0,542000	0,5	-0,004450
0,550333	0,5	-0,013400
0,558667	0,5	0,001600
0,567000	0,5	-0,005350
0,575333	0,5	0,001900
0,583667	0,5	-0,006100
0,592000	0,5	-0,009650
0,600333	0,5	-0,002800
0,608667	0,5	-0,011500
0,617000	0,5	-0,017100
0,625333	0,5	-0,016650
0,633667	0,5	0,004900
0,642000	0,5	-0,021750
0,650333	0,5	-0,016650
0,658667	0,5	-0,016200
0,667000	0,5	0,008000
0,675333	0,5	0,043550
0,683667	0,5	0,045600
0,692000	0,5	0,028600
0,700333	0,5	0,035500
0,708667	0,5	0,025400
0,717000	0,5	0,033400
0,725333	0,5	0,031300
0,733667	0,5	0,030300
0,742000	0,5	0,026150
0,750333	0,5	0,032950
0,758667	0,5	0,028650
0,767000	0,5	0,022800
0,775333	0,5	0,036850
