File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/764.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_02h-EGS_3
Injection Number	99
Position	GE8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	14:48:07
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,902050
Signal Max.	2 182,736433
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,052700
0,008667	0,5	-0,088800
0,017000	0,5	-0,079000
0,025333	0,5	-0,057000
0,033667	0,5	-0,055850
0,042000	0,5	-0,070100
0,050333	0,5	-0,054900
0,058667	0,5	-0,038100
0,067000	0,5	-0,008500
0,075333	0,5	-0,010100
0,083667	0,5	-0,017800
0,092000	0,5	-0,011950
0,100333	0,5	-0,014100
0,108667	0,5	-0,013600
0,117000	0,5	-0,023150
0,125333	0,5	-0,024500
0,133667	0,5	-0,037350
0,142000	0,5	-0,031550
0,150333	0,5	-0,035000
0,158667	0,5	-0,050800
0,167000	0,5	-0,052450
0,175333	0,5	-0,022900
0,183667	0,5	-0,059900
0,192000	0,5	-0,066000
0,200333	0,5	-0,061300
0,208667	0,5	-0,041050
0,217000	0,5	-0,018700
0,225333	0,5	-0,036300
0,233667	0,5	-0,038500
0,242000	0,5	-0,037500
0,250333	0,5	-0,041950
0,258667	0,5	-0,042100
0,267000	0,5	-0,042200
0,275333	0,5	-0,048550
0,283667	0,5	-0,046600
0,292000	0,5	-0,019650
0,300333	0,5	0,022500
0,308667	0,5	-0,015600
0,317000	0,5	-0,034050
0,325333	0,5	-0,072350
0,333667	0,5	-0,099450
0,342000	0,5	-0,103250
0,350333	0,5	-0,089300
0,358667	0,5	-0,071000
0,367000	0,5	-0,049200
0,375333	0,5	-0,064250
0,383667	0,5	-0,057950
0,392000	0,5	-0,061000
0,400333	0,5	-0,054550
0,408667	0,5	-0,057000
0,417000	0,5	-0,058100
0,425333	0,5	-0,061950
0,433667	0,5	-0,068050
0,442000	0,5	-0,062100
0,450333	0,5	-0,058750
0,458667	0,5	-0,063100
0,467000	0,5	-0,041350
0,475333	0,5	-0,067050
0,483667	0,5	-0,080100
0,492000	0,5	-0,077100
0,500333	0,5	-0,065600
0,508667	0,5	-0,029450
0,517000	0,5	-0,031900
0,525333	0,5	-0,028100
0,533667	0,5	-0,037050
0,542000	0,5	-0,024150
0,550333	0,5	-0,034550
0,558667	0,5	-0,026750
0,567000	0,5	-0,039350
0,575333	0,5	-0,032800
0,583667	0,5	-0,031050
0,592000	0,5	-0,030300
0,600333	0,5	-0,034600
0,608667	0,5	-0,040600
0,617000	0,5	-0,019150
0,625333	0,5	-0,037700
0,633667	0,5	-0,037050
0,642000	0,5	-0,035400
0,650333	0,5	-0,015450
0,658667	0,5	0,016000
0,667000	0,5	0,020350
0,675333	0,5	0,003550
0,683667	0,5	0,012850
0,692000	0,5	0,005750
0,700333	0,5	0,016650
0,708667	0,5	0,007600
0,717000	0,5	0,014000
0,725333	0,5	0,002500
0,733667	0,5	0,011450
0,742000	0,5	0,012650
0,750333	0,5	0,010400
0,758667	0,5	0,014700
0,767000	0,5	0,025950
0,775333	0,5	-0,001700
0,783667	0,5	0,005800
0,792000	0,5	0,005800
0,800333	0,5	0,034900
0,808667	0,5	0,056800
0,817000	0,5	0,052250
0,825333	0,5	0,057950
0,833667	0,5	0,054200
0,842000	0,5	0,059350
0,850333	0,5	0,049500
0,858667	0,5	0,057700
0,867000	0,5	0,048000
0,875333	0,5	0,050350
0,883667	0,5	0,049250
0,892000	0,5	0,043050
0,900333	0,5	0,036300
0,908667	0,5	0,068100
0,917000	0,5	0,050500
0,925333	0,5	0,037350
0,933667	0,5	0,040350
0,942000	0,5	0,051750
0,950333	0,5	0,082950
0,958667	0,5	0,090550
0,967000	0,5	0,090100
0,975333	0,5	0,086300
0,983667	0,5	0,088250
0,992000	0,5	0,083350
1,000333	0,5	0,085550
1,008667	0,5	0,079750
1,017000	0,5	0,083200
1,025333	0,5	0,079150
1,033667	0,5	0,087950
1,042000	0,5	0,069700
1,050333	0,5	0,076950
1,058667	0,5	0,097300
1,067000	0,5	0,083300
1,075333	0,5	0,069500
1,083667	0,5	0,081350
1,092000	0,5	0,083850
1,100333	0,5	0,116950
1,108667	0,5	0,113850
1,117000	0,5	0,111950
1,125333	0,5	0,109450
1,133667	0,5	0,115700
1,142000	0,5	0,117200
1,150333	0,5	0,115650
1,158667	0,5	0,112200
1,167000	0,5	0,104350
1,175333	0,5	0,109950
1,183667	0,5	0,110450
1,192000	0,5	0,113850
1,200333	0,5	0,114100
1,208667	0,5	0,138250
1,217000	0,5	0,103850
1,225333	0,5	0,101450
1,233667	0,5	0,104250
1,242000	0,5	0,123050
1,250333	0,5	0,144050
1,258667	0,5	0,135850
1,267000	0,5	0,132800
1,275333	0,5	0,140500
1,283667	0,5	0,134350
1,292000	0,5	0,136000
1,300333	0,5	0,131500
1,308667	0,5	0,132050
1,317000	0,5	0,132450
1,325333	0,5	0,132200
1,333667	0,5	0,141300
1,342000	0,5	0,125200
1,350333	0,5	0,138350
1,358667	0,5	0,143800
1,367000	0,5	0,127050
1,375333	0,5	0,117100
1,383667	0,5	0,134350
1,392000	0,5	0,148900
1,400333	0,5	0,164700
1,408667	0,5	0,139800
1,417000	0,5	0,150400
1,425333	0,5	0,149000
1,433667	0,5	0,159800
1,442000	0,5	0,150900
1,450333	0,5	0,153400
1,458667	0,5	0,142800
1,467000	0,5	0,139650
1,475333	0,5	0,140500
1,483667	0,5	0,133650
1,492000	0,5	0,113050
1,500333	0,5	0,138600
1,508667	0,5	0,119500
1,517000	0,5	0,105700
1,525333	0,5	0,105150
1,533667	0,5	0,110700
1,542000	0,5	0,137100
1,550333	0,5	0,156200
1,558667	0,5	0,226700
1,567000	0,5	0,447650
1,575333	0,5	1,015700
1,583667	0,5	2,964500
1,592000	0,5	13,369150
1,600333	0,5	59,164401
1,608667	0,5	222,143103
1,617000	0,5	683,626010
1,625333	0,5	1 478,600622
1,633667	0,5	2 085,223231
1,642000	0,5	2 182,736433
1,650333	0,5	2 132,103382
1,658667	0,5	2 068,843331
1,667000	0,5	1 857,650728
1,675333	0,5	1 432,022121
1,683667	0,5	978,297265
1,692000	0,5	661,283610
1,700333	0,5	472,659857
1,708667	0,5	360,980255
1,717000	0,5	287,613604
1,725333	0,5	237,493804
1,733667	0,5	200,811303
1,742000	0,5	173,291603
1,750333	0,5	152,038602
1,758667	0,5	134,384252
1,767000	0,5	119,031352
1,775333	0,5	105,949352
1,783667	0,5	95,694501
1,792000	0,5	88,605301
1,800333	0,5	84,917001
1,808667	0,5	84,638101
1,817000	0,5	86,982051
1,825333	0,5	89,210401
1,833667	0,5	88,533001
1,842000	0,5	84,194251
1,850333	0,5	77,517201
1,858667	0,5	70,545201
1,867000	0,5	64,866701
1,875333	0,5	60,826851
1,883667	0,5	57,810951
1,892000	0,5	55,273001
1,900333	0,5	53,263651
1,908667	0,5	52,004251
1,917000	0,5	51,149001
1,925333	0,5	50,090551
1,933667	0,5	48,528101
1,942000	0,5	46,901501
1,950333	0,5	45,852951
1,958667	0,5	46,298001
1,967000	0,5	48,903901
1,975333	0,5	52,882701
1,983667	0,5	55,592001
1,992000	0,5	55,155151
2,000333	0,5	52,708201
2,008667	0,5	50,450751
2,017000	0,5	49,310351
2,025333	0,5	49,277201
2,033667	0,5	50,192951
2,042000	0,5	52,127351
2,050333	0,5	55,247851
2,058667	0,5	59,635401
2,067000	0,5	65,283901
2,075333	0,5	72,508501
2,083667	0,5	82,255251
2,092000	0,5	94,798151
2,100333	0,5	108,090902
2,108667	0,5	118,577952
2,117000	0,5	122,938002
2,125333	0,5	119,308852
2,133667	0,5	108,673902
2,142000	0,5	94,709651
2,150333	0,5	81,589501
2,158667	0,5	71,219551
2,167000	0,5	63,939451
2,175333	0,5	59,722451
2,183667	0,5	59,046051
2,192000	0,5	61,913851
2,200333	0,5	65,921451
2,208667	0,5	66,936301
2,217000	0,5	63,903101
2,225333	0,5	59,644101
2,233667	0,5	56,111101
2,242000	0,5	52,603101
2,250333	0,5	48,349701
2,258667	0,5	44,146901
2,267000	0,5	40,814101
2,275333	0,5	38,500901
2,283667	0,5	36,966151
2,292000	0,5	35,992151
2,300333	0,5	35,549201
2,308667	0,5	35,631751
2,317000	0,5	36,050101
2,325333	0,5	36,597551
2,333667	0,5	37,191001
2,342000	0,5	38,080351
2,350333	0,5	39,262751
2,358667	0,5	40,285551
2,367000	0,5	40,854201
2,375333	0,5	41,072051
2,383667	0,5	41,039201
2,392000	0,5	40,726401
2,400333	0,5	40,081401
2,408667	0,5	39,188651
2,417000	0,5	38,144401
2,425333	0,5	37,090401
2,433667	0,5	36,133851
2,442000	0,5	35,270501
2,450333	0,5	34,572051
2,458667	0,5	33,965751
2,467000	0,5	33,377450
2,475333	0,5	32,682950
2,483667	0,5	31,967400
2,492000	0,5	31,517700
2,500333	0,5	32,472150
2,508667	0,5	34,632601
2,517000	0,5	34,832951
2,525333	0,5	32,914750
2,533667	0,5	31,388500
2,542000	0,5	30,393850
2,550333	0,5	29,534700
2,558667	0,5	28,693850
2,567000	0,5	27,958950
2,575333	0,5	27,405600
2,583667	0,5	27,033650
2,592000	0,5	26,836650
2,600333	0,5	26,785050
2,608667	0,5	26,835650
2,617000	0,5	26,906150
2,625333	0,5	26,936050
2,633667	0,5	26,854650
2,642000	0,5	26,678650
2,650333	0,5	26,427650
2,658667	0,5	26,181700
2,667000	0,5	25,956250
2,675333	0,5	25,802300
2,683667	0,5	25,706700
2,692000	0,5	25,619750
2,700333	0,5	25,548700
2,708667	0,5	25,519700
2,717000	0,5	25,537300
2,725333	0,5	25,616700
2,733667	0,5	25,723600
2,742000	0,5	25,910850
2,750333	0,5	26,254650
2,758667	0,5	26,879850
2,767000	0,5	27,895950
2,775333	0,5	29,505400
2,783667	0,5	32,126350
2,792000	0,5	36,715051
2,800333	0,5	45,107601
2,808667	0,5	59,810651
2,817000	0,5	82,786501
2,825333	0,5	112,819752
2,833667	0,5	143,826302
2,842000	0,5	166,497152
2,850333	0,5	173,727653
2,858667	0,5	164,243552
2,867000	0,5	142,761052
2,875333	0,5	116,577502
2,883667	0,5	92,262951
2,892000	0,5	73,503751
2,900333	0,5	61,002901
2,908667	0,5	53,469701
2,917000	0,5	49,011401
2,925333	0,5	45,990601
2,933667	0,5	43,428701
2,942000	0,5	40,940951
2,950333	0,5	38,484801
2,958667	0,5	36,186651
2,967000	0,5	34,244301
2,975333	0,5	32,975900
2,983667	0,5	32,669200
2,992000	0,5	33,692001
3,000333	0,5	36,220751
3,008667	0,5	39,917651
3,017000	0,5	43,922551
3,025333	0,5	47,060501
3,033667	0,5	48,376051
3,042000	0,5	47,536201
3,050333	0,5	44,745001
3,058667	0,5	40,716351
3,067000	0,5	36,230851
3,075333	0,5	31,991150
3,083667	0,5	28,376700
3,092000	0,5	25,548900
3,100333	0,5	23,449750
3,108667	0,5	21,915500
3,117000	0,5	20,818700
3,125333	0,5	20,065550
3,133667	0,5	19,447200
3,142000	0,5	18,957500
3,150333	0,5	18,548850
3,158667	0,5	18,206050
3,167000	0,5	17,953000
3,175333	0,5	17,738850
3,183667	0,5	17,652750
3,192000	0,5	17,679550
3,200333	0,5	17,841100
3,208667	0,5	18,034850
3,217000	0,5	18,225900
3,225333	0,5	18,270750
3,233667	0,5	18,147200
3,242000	0,5	17,840200
3,250333	0,5	17,416400
3,258667	0,5	16,923450
3,267000	0,5	16,463600
3,275333	0,5	16,061500
3,283667	0,5	15,687650
3,292000	0,5	15,383050
3,300333	0,5	15,148150
3,308667	0,5	14,971150
3,317000	0,5	14,861150
3,325333	0,5	14,760050
3,333667	0,5	14,700100
3,342000	0,5	14,686800
3,350333	0,5	14,685950
3,358667	0,5	14,719200
3,367000	0,5	14,761950
3,375333	0,5	14,831750
3,383667	0,5	14,922600
3,392000	0,5	15,078300
3,400333	0,5	15,314600
3,408667	0,5	15,660300
3,417000	0,5	16,141800
3,425333	0,5	16,711100
3,433667	0,5	17,189800
3,442000	0,5	17,501250
3,450333	0,5	17,502950
3,458667	0,5	17,191050
3,467000	0,5	16,620050
3,475333	0,5	15,883200
3,483667	0,5	15,157850
3,492000	0,5	14,522750
3,500333	0,5	14,011700
3,508667	0,5	13,615550
3,517000	0,5	13,320550
3,525333	0,5	13,094200
3,533667	0,5	12,929450
3,542000	0,5	12,805750
3,550333	0,5	12,725850
3,558667	0,5	12,649050
3,567000	0,5	12,627150
3,575333	0,5	12,575450
3,583667	0,5	12,524100
3,592000	0,5	12,474350
3,600333	0,5	12,433450
3,608667	0,5	12,395500
3,617000	0,5	12,360550
3,625333	0,5	12,313750
3,633667	0,5	12,293650
3,642000	0,5	12,283300
3,650333	0,5	12,287850
3,658667	0,5	12,296500
3,667000	0,5	12,318850
3,675333	0,5	12,360700
3,683667	0,5	12,443300
3,692000	0,5	12,588050
3,700333	0,5	12,791500
3,708667	0,5	13,067650
3,717000	0,5	13,367400
3,725333	0,5	13,585600
3,733667	0,5	13,727550
3,742000	0,5	13,808250
3,750333	0,5	13,832200
3,758667	0,5	13,843300
3,767000	0,5	13,817750
3,775333	0,5	13,795950
3,783667	0,5	13,781350
3,792000	0,5	13,812750
3,800333	0,5	13,874950
3,808667	0,5	14,021900
3,817000	0,5	14,311550
3,825333	0,5	14,952650
3,833667	0,5	16,303450
3,842000	0,5	18,771300
3,850333	0,5	22,427350
3,858667	0,5	26,690200
3,867000	0,5	30,515850
3,875333	0,5	33,004250
3,883667	0,5	33,818551
3,892000	0,5	33,105650
3,900333	0,5	31,363550
3,908667	0,5	29,098650
3,917000	0,5	26,777050
3,925333	0,5	24,660200
3,933667	0,5	22,876250
3,942000	0,5	21,403050
3,950333	0,5	20,205650
3,958667	0,5	19,195800
3,967000	0,5	18,341050
3,975333	0,5	17,592300
3,983667	0,5	16,947800
3,992000	0,5	16,376250
4,000333	0,5	15,875250
4,008667	0,5	15,466250
4,017000	0,5	15,088350
4,025333	0,5	14,745650
4,033667	0,5	14,454200
4,042000	0,5	14,194800
4,050333	0,5	13,978750
4,058667	0,5	13,751350
4,067000	0,5	13,518650
4,075333	0,5	13,315900
4,083667	0,5	13,108400
4,092000	0,5	12,920150
4,100333	0,5	12,726600
4,108667	0,5	12,560350
4,117000	0,5	12,386700
4,125333	0,5	12,244550
4,133667	0,5	12,105200
4,142000	0,5	11,974800
4,150333	0,5	11,855300
4,158667	0,5	11,794500
4,167000	0,5	11,706250
4,175333	0,5	11,659650
4,183667	0,5	11,649900
4,192000	0,5	11,677950
4,200333	0,5	11,759450
4,208667	0,5	11,828900
4,217000	0,5	11,921650
4,225333	0,5	12,014850
4,233667	0,5	12,085100
4,242000	0,5	12,098900
