File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/263.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_04h-EGS_3
Injection Number	90
Position	GD7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	10:29:14
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,763900
Signal Max.	2 275,069084
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,056900
0,008667	0,5	-0,052500
0,017000	0,5	-0,028600
0,025333	0,5	-0,018200
0,033667	0,5	-0,000700
0,042000	0,5	-0,009400
0,050333	0,5	0,004250
0,058667	0,5	-0,006400
0,067000	0,5	0,000850
0,075333	0,5	-0,012700
0,083667	0,5	-0,009700
0,092000	0,5	-0,011800
0,100333	0,5	-0,013150
0,108667	0,5	-0,035350
0,117000	0,5	-0,028450
0,125333	0,5	-0,007650
0,133667	0,5	-0,034950
0,142000	0,5	-0,045150
0,150333	0,5	-0,036350
0,158667	0,5	-0,022800
0,167000	0,5	-0,003550
0,175333	0,5	-0,018950
0,183667	0,5	-0,033200
0,192000	0,5	-0,021600
0,200333	0,5	-0,026950
0,208667	0,5	-0,026100
0,217000	0,5	-0,038200
0,225333	0,5	-0,038900
0,233667	0,5	-0,048000
0,242000	0,5	-0,049600
0,250333	0,5	-0,045650
0,258667	0,5	-0,062150
0,267000	0,5	-0,054550
0,275333	0,5	-0,046200
0,283667	0,5	-0,061550
0,292000	0,5	-0,022250
0,300333	0,5	0,005950
