File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/130.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_06h-EGS_3
Injection Number	80
Position	GC6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	05:43:29
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,661250
Signal Max.	2 384,756486
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	0,004700
0,008667	0,5	-0,063000
0,017000	0,5	-0,059650
0,025333	0,5	-0,058550
0,033667	0,5	-0,043850
0,042000	0,5	-0,020350
0,050333	0,5	-0,003950
0,058667	0,5	-0,018800
0,067000	0,5	-0,003050
0,075333	0,5	-0,010950
0,083667	0,5	-0,006150
0,092000	0,5	-0,023350
0,100333	0,5	-0,020550
0,108667	0,5	-0,032650
0,117000	0,5	-0,021250
0,125333	0,5	-0,027150
0,133667	0,5	-0,033500
0,142000	0,5	-0,037650
0,150333	0,5	-0,011600
0,158667	0,5	-0,044400
0,167000	0,5	-0,051250
0,175333	0,5	-0,054500
0,183667	0,5	-0,034200
0,192000	0,5	-0,010250
0,200333	0,5	-0,015500
0,208667	0,5	-0,015100
0,217000	0,5	-0,026350
0,225333	0,5	-0,024900
0,233667	0,5	-0,037800
0,242000	0,5	-0,034700
0,250333	0,5	-0,049600
0,258667	0,5	-0,046550
0,267000	0,5	-0,051050
0,275333	0,5	-0,058400
0,283667	0,5	-0,073100
0,292000	0,5	-0,046150
0,300333	0,5	-0,011400
0,308667	0,5	-0,007700
0,317000	0,5	-0,039300
0,325333	0,5	-0,073900
0,333667	0,5	-0,084750
0,342000	0,5	-0,079650
0,350333	0,5	-0,074950
0,358667	0,5	-0,070800
0,367000	0,5	-0,072300
0,375333	0,5	-0,074750
0,383667	0,5	-0,076800
0,392000	0,5	-0,083150
0,400333	0,5	-0,085450
0,408667	0,5	-0,096550
0,417000	0,5	-0,091900
0,425333	0,5	-0,104400
0,433667	0,5	-0,104000
0,442000	0,5	-0,085350
0,450333	0,5	-0,096800
0,458667	0,5	-0,121800
0,467000	0,5	-0,117550
0,475333	0,5	-0,121050
0,483667	0,5	-0,086300
0,492000	0,5	-0,091400
0,500333	0,5	-0,093050
0,508667	0,5	-0,097950
0,517000	0,5	-0,098900
0,525333	0,5	-0,104000
0,533667	0,5	-0,109250
0,542000	0,5	-0,113050
0,550333	0,5	-0,119000
0,558667	0,5	-0,113650
0,567000	0,5	-0,118950
0,575333	0,5	-0,118400
0,583667	0,5	-0,131250
0,592000	0,5	-0,099550
0,600333	0,5	-0,125800
0,608667	0,5	-0,133950
0,617000	0,5	-0,133950
0,625333	0,5	-0,120050
0,633667	0,5	-0,095550
0,642000	0,5	-0,105650
0,650333	0,5	-0,118350
0,658667	0,5	-0,109600
0,667000	0,5	-0,116850
0,675333	0,5	-0,108750
0,683667	0,5	-0,115200
0,692000	0,5	-0,117200
0,700333	0,5	-0,123250
0,708667	0,5	-0,123700
0,717000	0,5	-0,113800
0,725333	0,5	-0,129100
0,733667	0,5	-0,122600
0,742000	0,5	-0,104850
0,750333	0,5	-0,130450
0,758667	0,5	-0,136150
0,767000	0,5	-0,128800
0,775333	0,5	-0,118800
0,783667	0,5	-0,094100
0,792000	0,5	-0,117350
0,800333	0,5	-0,107150
0,808667	0,5	-0,114350
0,817000	0,5	-0,104450
0,825333	0,5	-0,115700
0,833667	0,5	-0,109200
0,842000	0,5	-0,117900
0,850333	0,5	-0,112100
0,858667	0,5	-0,113450
0,867000	0,5	-0,116550
0,875333	0,5	-0,130950
0,883667	0,5	-0,114100
0,892000	0,5	-0,115000
0,900333	0,5	-0,131050
0,908667	0,5	-0,130200
0,917000	0,5	-0,121250
0,925333	0,5	-0,102800
0,933667	0,5	-0,089850
0,942000	0,5	-0,094650
0,950333	0,5	-0,103750
0,958667	0,5	-0,097550
0,967000	0,5	-0,102450
