File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/211.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-EGI_1
Injection Number	60
Position	GA8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	20:08:54
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,043950
Signal Max.	2 387,915436
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,050450
0,008500	0,5	-0,050000
0,016833	0,5	-0,044200
0,025167	0,5	-0,052150
0,033500	0,5	-0,043550
0,041833	0,5	-0,034400
0,050167	0,5	-0,013650
0,058500	0,5	0,002600
0,066833	0,5	-0,002750
0,075167	0,5	-0,001000
0,083500	0,5	-0,003100
0,091833	0,5	0,000650
0,100167	0,5	-0,003500
0,108500	0,5	-0,008000
0,116833	0,5	-0,018600
0,125167	0,5	-0,012550
0,133500	0,5	-0,017400
0,141833	0,5	-0,013800
0,150167	0,5	-0,020850
0,158500	0,5	-0,002100
0,166833	0,5	-0,025150
0,175167	0,5	-0,034750
0,183500	0,5	-0,032950
0,191833	0,5	-0,019550
0,200167	0,5	0,002600
0,208500	0,5	-0,001000
0,216833	0,5	-0,003200
0,225167	0,5	-0,008100
0,233500	0,5	-0,008800
0,241833	0,5	-0,013750
0,250167	0,5	-0,014050
0,258500	0,5	-0,021350
0,266833	0,5	-0,021100
0,275167	0,5	-0,025450
0,283500	0,5	-0,021250
0,291833	0,5	-0,020950
0,300167	0,5	0,029650
0,308500	0,5	0,023400
0,316833	0,5	-0,024700
0,325167	0,5	-0,057650
0,333500	0,5	-0,055350
0,341833	0,5	-0,048950
0,350167	0,5	-0,036150
0,358500	0,5	-0,036500
0,366833	0,5	-0,030500
0,375167	0,5	-0,036350
0,383500	0,5	-0,030300
0,391833	0,5	-0,031350
0,400167	0,5	-0,039000
0,408500	0,5	-0,044000
0,416833	0,5	-0,049700
0,425167	0,5	-0,043300
0,433500	0,5	-0,047300
0,441833	0,5	-0,052600
0,450167	0,5	-0,041300
0,458500	0,5	-0,046350
0,466833	0,5	-0,067600
0,475167	0,5	-0,066550
0,483500	0,5	-0,058900
0,491833	0,5	-0,035250
0,500167	0,5	-0,036400
0,508500	0,5	-0,036100
0,516833	0,5	-0,044400
0,525167	0,5	-0,038200
0,533500	0,5	-0,045800
0,541833	0,5	-0,046000
0,550167	0,5	-0,047100
0,558500	0,5	-0,046100
0,566833	0,5	-0,049000
0,575167	0,5	-0,050500
0,583500	0,5	-0,042300
0,591833	0,5	-0,060250
0,600167	0,5	-0,045200
0,608500	0,5	-0,062200
0,616833	0,5	-0,063450
0,625167	0,5	-0,068100
0,633500	0,5	-0,054000
0,641833	0,5	-0,034750
0,650167	0,5	-0,031950
0,658500	0,5	-0,046750
0,666833	0,5	-0,039250
0,675167	0,5	-0,038100
0,683500	0,5	-0,032450
0,691833	0,5	-0,044700
0,700167	0,5	-0,040200
0,708500	0,5	-0,046550
0,716833	0,5	-0,041600
0,725167	0,5	-0,046100
0,733500	0,5	-0,053700
0,741833	0,5	-0,063400
0,750167	0,5	-0,039600
0,758500	0,5	-0,060700
0,766833	0,5	-0,060300
0,775167	0,5	-0,054600
0,783500	0,5	-0,043650
0,791833	0,5	-0,020150
0,800167	0,5	-0,027500
0,808500	0,5	-0,023650
0,816833	0,5	-0,031750
0,825167	0,5	-0,023650
0,833500	0,5	-0,029250
0,841833	0,5	-0,025350
0,850167	0,5	-0,038600
0,858500	0,5	-0,031300
0,866833	0,5	-0,030100
0,875167	0,5	-0,030800
0,883500	0,5	-0,049000
0,891833	0,5	-0,039750
0,900167	0,5	-0,036550
0,908500	0,5	-0,047200
0,916833	0,5	-0,048500
0,925167	0,5	-0,043650
0,933500	0,5	-0,024700
0,941833	0,5	-0,009750
0,950167	0,5	-0,003400
0,958500	0,5	-0,009800
0,966833	0,5	-0,004350
0,975167	0,5	-0,007100
0,983500	0,5	-0,009350
0,991833	0,5	-0,011450
1,000167	0,5	-0,009850
1,008500	0,5	-0,013650
1,016833	0,5	-0,011750
1,025167	0,5	-0,026900
1,033500	0,5	-0,025750
1,041833	0,5	-0,019850
1,050167	0,5	-0,018000
1,058500	0,5	-0,030250
1,066833	0,5	-0,020500
1,075167	0,5	-0,016200
1,083500	0,5	0,003050
1,091833	0,5	0,014350
1,100167	0,5	0,010800
1,108500	0,5	0,011650
1,116833	0,5	0,011200
1,125167	0,5	0,010100
1,133500	0,5	0,006650
1,141833	0,5	0,002300
1,150167	0,5	-0,002700
1,158500	0,5	0,006450
1,166833	0,5	0,006300
1,175167	0,5	-0,001400
1,183500	0,5	-0,005700
1,191833	0,5	0,010650
1,200167	0,5	-0,005550
1,208500	0,5	-0,008050
1,216833	0,5	-0,005500
1,225167	0,5	0,001750
1,233500	0,5	0,021800
1,241833	0,5	0,027750
1,250167	0,5	0,018750
1,258500	0,5	0,029850
1,266833	0,5	0,023300
1,275167	0,5	0,022750
1,283500	0,5	0,023400
1,291833	0,5	0,020550
1,300167	0,5	0,016950
1,308500	0,5	0,013400
1,316833	0,5	0,019000
1,325167	0,5	-0,000400
1,333500	0,5	0,008850
1,341833	0,5	0,013350
1,350167	0,5	0,006000
1,358500	0,5	-0,000500
1,366833	0,5	0,007400
1,375167	0,5	0,013400
1,383500	0,5	0,033400
1,391833	0,5	0,018900
1,400167	0,5	0,026550
1,408500	0,5	0,022050
1,416833	0,5	0,024150
1,425167	0,5	0,014750
1,433500	0,5	0,018100
1,441833	0,5	0,009850
1,450167	0,5	0,011400
1,458500	0,5	0,009550
1,466833	0,5	0,005100
1,475167	0,5	-0,005200
1,483500	0,5	0,004500
1,491833	0,5	-0,003600
1,500167	0,5	-0,014700
1,508500	0,5	-0,020300
1,516833	0,5	-0,021450
1,525167	0,5	-0,005300
1,533500	0,5	-0,002800
1,541833	0,5	-0,002850
1,550167	0,5	-0,000350
1,558500	0,5	0,042600
1,566833	0,5	0,150250
1,575167	0,5	0,493800
1,583500	0,5	2,370800
1,591833	0,5	12,852200
1,600167	0,5	14,827550
1,608500	0,5	223,000253
1,616833	0,5	669,682360
1,625167	0,5	1 455,525122
1,633500	0,5	2 139,842082
1,641833	0,5	2 387,915436
1,650167	0,5	2 330,485635
1,658500	0,5	2 038,770330
1,666833	0,5	1 544,173723
1,675167	0,5	1 045,960516
1,683500	0,5	708,255611
1,691833	0,5	513,165658
1,700167	0,5	406,908306
1,708500	0,5	350,790955
1,716833	0,5	316,839255
1,725167	0,5	280,727404
1,733500	0,5	238,324454
1,741833	0,5	197,887853
1,750167	0,5	167,488102
1,758500	0,5	151,424502
1,766833	0,5	150,812602
1,775167	0,5	162,258152
1,783500	0,5	179,540503
1,791833	0,5	197,145903
1,800167	0,5	210,802203
1,808500	0,5	214,413353
1,816833	0,5	205,492903
1,825167	0,5	188,894753
1,833500	0,5	171,422053
1,841833	0,5	156,286052
1,850167	0,5	143,923602
1,858500	0,5	134,844102
1,866833	0,5	130,127402
1,875167	0,5	131,797302
1,883500	0,5	142,884902
1,891833	0,5	161,016752
1,900167	0,5	171,918403
1,908500	0,5	164,930802
1,916833	0,5	149,236002
1,925167	0,5	143,136852
1,933500	0,5	162,623952
1,941833	0,5	235,025304
1,950167	0,5	413,059706
1,958500	0,5	697,257410
1,966833	0,5	918,355164
1,975167	0,5	919,331164
1,983500	0,5	749,228711
1,991833	0,5	545,623158
2,000167	0,5	388,867156
2,008500	0,5	285,965054
2,016833	0,5	223,261503
2,025167	0,5	191,872003
2,033500	0,5	188,012553
2,041833	0,5	198,033303
2,050167	0,5	198,942253
