File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/255.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-EGI_3
Injection Number	62
Position	GB2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	21:06:26
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,114000
Signal Max.	2 236,039383
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,068700
0,008500	0,5	-0,060400
0,016833	0,5	-0,055050
0,025167	0,5	-0,042050
0,033500	0,5	-0,039050
0,041833	0,5	-0,033500
0,050167	0,5	-0,031450
0,058500	0,5	-0,017600
0,066833	0,5	-0,036200
0,075167	0,5	-0,052350
0,083500	0,5	-0,048050
0,091833	0,5	-0,036300
0,100167	0,5	-0,017250
0,108500	0,5	-0,010650
0,116833	0,5	-0,017250
0,125167	0,5	-0,012300
0,133500	0,5	-0,018300
0,141833	0,5	-0,015450
0,150167	0,5	-0,024200
0,158500	0,5	-0,024900
0,166833	0,5	-0,034950
0,175167	0,5	-0,033600
0,183500	0,5	-0,035950
0,191833	0,5	-0,047350
0,200167	0,5	-0,044100
0,208500	0,5	-0,028400
0,216833	0,5	-0,044450
0,225167	0,5	-0,054600
0,233500	0,5	-0,055100
0,241833	0,5	-0,043700
0,250167	0,5	-0,025300
0,258500	0,5	-0,035800
0,266833	0,5	-0,030000
0,275167	0,5	-0,037300
0,283500	0,5	-0,024100
0,291833	0,5	-0,001900
0,300167	0,5	0,011900
0,308500	0,5	-0,023550
0,316833	0,5	-0,048850
0,325167	0,5	-0,063450
0,333500	0,5	-0,065250
0,341833	0,5	-0,079600
0,350167	0,5	-0,065650
0,358500	0,5	-0,066250
0,366833	0,5	-0,075050
0,375167	0,5	-0,077250
0,383500	0,5	-0,070300
0,391833	0,5	-0,055350
0,400167	0,5	-0,045550
0,408500	0,5	-0,051850
0,416833	0,5	-0,051700
0,425167	0,5	-0,051750
0,433500	0,5	-0,054350
0,441833	0,5	-0,056500
0,450167	0,5	-0,062550
0,458500	0,5	-0,059150
0,466833	0,5	-0,066550
0,475167	0,5	-0,061800
0,483500	0,5	-0,074300
0,491833	0,5	-0,080200
0,500167	0,5	-0,062000
0,508500	0,5	-0,065800
0,516833	0,5	-0,082950
0,525167	0,5	-0,079700
0,533500	0,5	-0,077950
0,541833	0,5	-0,046200
0,550167	0,5	-0,048150
0,558500	0,5	-0,052050
0,566833	0,5	-0,056500
0,575167	0,5	-0,047950
0,583500	0,5	-0,054300
0,591833	0,5	-0,056450
0,600167	0,5	-0,057150
0,608500	0,5	-0,060000
0,616833	0,5	-0,054500
0,625167	0,5	-0,061850
0,633500	0,5	-0,052200
0,641833	0,5	-0,068300
0,650167	0,5	-0,042050
0,658500	0,5	-0,070850
0,666833	0,5	-0,068300
0,675167	0,5	-0,071600
0,683500	0,5	-0,059650
0,691833	0,5	-0,041250
0,700167	0,5	-0,031750
0,708500	0,5	-0,045100
0,716833	0,5	-0,042500
0,725167	0,5	-0,049300
0,733500	0,5	-0,043600
0,741833	0,5	-0,048200
0,750167	0,5	-0,049450
0,758500	0,5	-0,050850
0,766833	0,5	-0,053050
0,775167	0,5	-0,046250
0,783500	0,5	-0,060000
0,791833	0,5	-0,055150
0,800167	0,5	-0,039600
0,808500	0,5	-0,061100
0,816833	0,5	-0,060150
0,825167	0,5	-0,055650
0,833500	0,5	-0,051300
0,841833	0,5	-0,022750
0,850167	0,5	-0,030500
