File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/350.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-EGI_NA
Injection Number	63
Position	GB3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	21:35:13
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,224150
Signal Max.	2 688,248590
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,036550
0,008500	0,5	-0,052850
0,016833	0,5	-0,053150
0,025167	0,5	-0,053500
0,033500	0,5	-0,047000
0,041833	0,5	-0,026150
0,050167	0,5	-0,004000
0,058500	0,5	-0,010450
0,066833	0,5	-0,004700
0,075167	0,5	-0,008400
0,083500	0,5	0,001650
0,091833	0,5	-0,013500
0,100167	0,5	-0,010550
0,108500	0,5	-0,020800
0,116833	0,5	-0,019550
0,125167	0,5	-0,020950
0,133500	0,5	-0,020250
0,141833	0,5	-0,030900
0,150167	0,5	-0,003650
0,158500	0,5	-0,019000
0,166833	0,5	-0,035650
0,175167	0,5	-0,039550
0,183500	0,5	-0,034500
0,191833	0,5	-0,019350
0,200167	0,5	-0,010900
0,208500	0,5	-0,012550
0,216833	0,5	-0,021600
0,225167	0,5	-0,020100
0,233500	0,5	-0,025600
0,241833	0,5	-0,022350
0,250167	0,5	-0,032250
0,258500	0,5	-0,033450
0,266833	0,5	-0,037200
0,275167	0,5	-0,032550
0,283500	0,5	-0,026700
0,291833	0,5	-0,027100
0,300167	0,5	0,024450
0,308500	0,5	0,013900
0,316833	0,5	-0,034200
0,325167	0,5	-0,059350
0,333500	0,5	-0,063050
0,341833	0,5	-0,050200
0,350167	0,5	-0,046900
0,358500	0,5	-0,051750
0,366833	0,5	-0,044650
0,375167	0,5	-0,043700
0,383500	0,5	-0,047000
0,391833	0,5	-0,049950
0,400167	0,5	-0,053100
0,408500	0,5	-0,059500
0,416833	0,5	-0,058350
0,425167	0,5	-0,060900
0,433500	0,5	-0,053250
0,441833	0,5	-0,072500
0,450167	0,5	-0,041000
0,458500	0,5	-0,074350
0,466833	0,5	-0,068200
0,475167	0,5	-0,076100
0,483500	0,5	-0,066400
0,491833	0,5	-0,046100
0,500167	0,5	-0,054750
0,508500	0,5	-0,061250
0,516833	0,5	-0,054700
0,525167	0,5	-0,058700
0,533500	0,5	-0,058750
0,541833	0,5	-0,063550
0,550167	0,5	-0,067300
0,558500	0,5	-0,062600
0,566833	0,5	-0,060650
0,575167	0,5	-0,064150
0,583500	0,5	-0,075650
0,591833	0,5	-0,071950
