File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/367.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-EGS_3
Injection Number	30
Position	RC8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	05:51:16
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,723500
Signal Max.	2 580,828488
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,044950
0,008500	0,5	-0,037950
0,016833	0,5	-0,028200
0,025167	0,5	-0,023600
0,033500	0,5	-0,034800
0,041833	0,5	-0,027250
0,050167	0,5	-0,023500
0,058500	0,5	-0,000900
0,066833	0,5	0,010900
0,075167	0,5	0,004850
0,083500	0,5	0,001650
0,091833	0,5	-0,003200
0,100167	0,5	0,001500
0,108500	0,5	0,000650
0,116833	0,5	0,007300
0,125167	0,5	-0,003250
0,133500	0,5	0,005900
0,141833	0,5	-0,001900
0,150167	0,5	-0,001900
0,158500	0,5	-0,003150
0,166833	0,5	0,012950
0,175167	0,5	-0,009250
0,183500	0,5	-0,010800
0,191833	0,5	-0,008550
0,200167	0,5	0,001350
0,208500	0,5	0,015050
0,216833	0,5	0,017750
0,225167	0,5	0,015900
0,233500	0,5	0,012150
0,241833	0,5	0,012850
0,250167	0,5	0,007750
0,258500	0,5	0,007800
0,266833	0,5	0,002750
0,275167	0,5	0,005400
0,283500	0,5	0,009800
0,291833	0,5	0,038600
0,300167	0,5	0,031550
0,308500	0,5	0,023700
0,316833	0,5	0,006700
0,325167	0,5	-0,013300
0,333500	0,5	-0,020800
0,341833	0,5	-0,017250
0,350167	0,5	-0,009100
0,358500	0,5	0,003900
0,366833	0,5	0,000950
0,375167	0,5	0,002100
0,383500	0,5	-0,001300
0,391833	0,5	-0,002450
0,400167	0,5	-0,002900
0,408500	0,5	0,000950
0,416833	0,5	0,001800
0,425167	0,5	-0,005700
0,433500	0,5	0,001700
0,441833	0,5	-0,001800
0,450167	0,5	-0,011350
0,458500	0,5	0,002250
0,466833	0,5	-0,006550
0,475167	0,5	-0,017400
0,483500	0,5	-0,020650
0,491833	0,5	-0,015400
0,500167	0,5	0,006550
0,508500	0,5	0,010050
0,516833	0,5	0,004400
0,525167	0,5	-0,002000
0,533500	0,5	0,003750
0,541833	0,5	-0,000250
0,550167	0,5	0,003350
0,558500	0,5	-0,001750
0,566833	0,5	-0,000400
0,575167	0,5	-0,001800
0,583500	0,5	-0,001950
0,591833	0,5	-0,001050
0,600167	0,5	-0,010000
0,608500	0,5	0,013950
0,616833	0,5	-0,009400
0,625167	0,5	-0,006550
0,633500	0,5	-0,010950
0,641833	0,5	0,001800
0,650167	0,5	0,017500
0,658500	0,5	0,015600
0,666833	0,5	0,005500
0,675167	0,5	0,013950
0,683500	0,5	0,008450
0,691833	0,5	0,010450
0,700167	0,5	0,011250
0,708500	0,5	0,014900
0,716833	0,5	0,010950
0,725167	0,5	0,014650
0,733500	0,5	0,016400
0,741833	0,5	0,005050
0,750167	0,5	0,001800
0,758500	0,5	0,017050
0,766833	0,5	-0,001000
0,775167	0,5	-0,000200
0,783500	0,5	0,000200
0,791833	0,5	0,013400
0,800167	0,5	0,041300
0,808500	0,5	0,029450
0,816833	0,5	0,030150
0,825167	0,5	0,028050
0,833500	0,5	0,029150
0,841833	0,5	0,026400
0,850167	0,5	0,031550
0,858500	0,5	0,024750
0,866833	0,5	0,032500
0,875167	0,5	0,028300
0,883500	0,5	0,020750
0,891833	0,5	0,014800
0,900167	0,5	0,026600
0,908500	0,5	0,029350
0,916833	0,5	0,018650
0,925167	0,5	0,020600
0,933500	0,5	0,028150
0,941833	0,5	0,042500
0,950167	0,5	0,057050
0,958500	0,5	0,059000
0,966833	0,5	0,052850
0,975167	0,5	0,052850
0,983500	0,5	0,055750
0,991833	0,5	0,055750
1,000167	0,5	0,051500
1,008500	0,5	0,053050
1,016833	0,5	0,047350
1,025167	0,5	0,057650
1,033500	0,5	0,043500
1,041833	0,5	0,044850
1,050167	0,5	0,054650
1,058500	0,5	0,051550
1,066833	0,5	0,040800
1,075167	0,5	0,048100
1,083500	0,5	0,052300
1,091833	0,5	0,071800
1,100167	0,5	0,077650
1,108500	0,5	0,076700
1,116833	0,5	0,073050
1,125167	0,5	0,073250
1,133500	0,5	0,071750
1,141833	0,5	0,070600
1,150167	0,5	0,074150
1,158500	0,5	0,069350
1,166833	0,5	0,072000
1,175167	0,5	0,070650
1,183500	0,5	0,069400
1,191833	0,5	0,068200
1,200167	0,5	0,082550
1,208500	0,5	0,069300
1,216833	0,5	0,063450
1,225167	0,5	0,065250
1,233500	0,5	0,078450
1,241833	0,5	0,088900
1,250167	0,5	0,088300
1,258500	0,5	0,080500
1,266833	0,5	0,085350
1,275167	0,5	0,087850
1,283500	0,5	0,091850
1,291833	0,5	0,086600
1,300167	0,5	0,081050
1,308500	0,5	0,081350
1,316833	0,5	0,077450
1,325167	0,5	0,075950
1,333500	0,5	0,060500
1,341833	0,5	0,072050
1,350167	0,5	0,074750
1,358500	0,5	0,067600
1,366833	0,5	0,060850
1,375167	0,5	0,065650
1,383500	0,5	0,071850
1,391833	0,5	0,083550
1,400167	0,5	0,072400
1,408500	0,5	0,074750
1,416833	0,5	0,068800
1,425167	0,5	0,072700
1,433500	0,5	0,068450
1,441833	0,5	0,068150
1,450167	0,5	0,060100
1,458500	0,5	0,059350
1,466833	0,5	0,064850
1,475167	0,5	0,049700
1,483500	0,5	0,035950
1,491833	0,5	0,042100
1,500167	0,5	0,030400
1,508500	0,5	0,023550
1,516833	0,5	0,020800
1,525167	0,5	0,019650
1,533500	0,5	0,036100
1,541833	0,5	0,035800
1,550167	0,5	0,052400
1,558500	0,5	0,105000
1,566833	0,5	0,352700
1,575167	0,5	1,733400
1,583500	0,5	9,803900
1,591833	0,5	44,705451
1,600167	0,5	167,698502
1,608500	0,5	523,667458
1,616833	0,5	1 233,209868
1,625167	0,5	1 558,915723
1,633500	0,5	2 529,474238
1,641833	0,5	2 580,828488
1,650167	0,5	2 334,167085
