File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/247.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-EGS_NA
Injection Number	31
Position	RD1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	06:20:02
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,791100
Signal Max.	3 014,468245
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,027100
0,008500	0,5	-0,021700
0,016833	0,5	-0,019950
0,025167	0,5	-0,011800
0,033500	0,5	-0,000700
0,041833	0,5	0,006700
0,050167	0,5	0,002550
0,058500	0,5	0,002750
0,066833	0,5	0,000650
0,075167	0,5	-0,001150
0,083500	0,5	0,002700
0,091833	0,5	0,002500
0,100167	0,5	0,019450
0,108500	0,5	0,004800
0,116833	0,5	0,028450
0,125167	0,5	0,005700
0,133500	0,5	0,006750
0,141833	0,5	-0,000650
0,150167	0,5	0,004700
0,158500	0,5	0,025000
0,166833	0,5	0,023300
0,175167	0,5	0,012200
0,183500	0,5	0,022700
0,191833	0,5	0,019150
0,200167	0,5	0,023150
0,208500	0,5	0,013900
0,216833	0,5	0,012400
0,225167	0,5	0,013700
0,233500	0,5	0,019250
0,241833	0,5	0,021950
0,250167	0,5	0,015150
0,258500	0,5	0,011000
0,266833	0,5	0,022850
0,275167	0,5	0,001050
0,283500	0,5	0,001600
0,291833	0,5	0,021450
0,300167	0,5	0,056050
0,308500	0,5	0,060550
0,316833	0,5	0,034800
0,325167	0,5	0,019700
0,333500	0,5	0,005750
0,341833	0,5	0,008000
0,350167	0,5	0,005300
0,358500	0,5	0,010150
0,366833	0,5	0,004500
0,375167	0,5	0,007250
0,383500	0,5	0,006350
0,391833	0,5	0,004200
0,400167	0,5	-0,002350
0,408500	0,5	0,012850
0,416833	0,5	0,011500
0,425167	0,5	-0,001550
0,433500	0,5	-0,000900
0,441833	0,5	0,004450
0,450167	0,5	0,023050
0,458500	0,5	0,026700
0,466833	0,5	0,023000
0,475167	0,5	0,019400
0,483500	0,5	0,021700
0,491833	0,5	0,017200
0,500167	0,5	0,016450
