File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/862.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-NT_3
Injection Number	44
Position	RE5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	12:32:06
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,627900
Signal Max.	2 611,319189
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,060200
0,008667	0,5	-0,049950
0,017000	0,5	-0,044300
0,025333	0,5	-0,041000
0,033667	0,5	-0,028300
0,042000	0,5	-0,029850
0,050333	0,5	-0,021000
0,058667	0,5	-0,036100
0,067000	0,5	-0,014850
0,075333	0,5	-0,019400
0,083667	0,5	-0,036550
0,092000	0,5	-0,034100
0,100333	0,5	-0,021000
0,108667	0,5	-0,006900
0,117000	0,5	0,003650
0,125333	0,5	0,000500
0,133667	0,5	0,006250
0,142000	0,5	-0,006050
0,150333	0,5	-0,002150
0,158667	0,5	-0,005200
0,167000	0,5	-0,009500
0,175333	0,5	-0,014350
0,183667	0,5	-0,016800
0,192000	0,5	-0,013800
0,200333	0,5	-0,032300
0,208667	0,5	-0,027700
0,217000	0,5	-0,012950
0,225333	0,5	-0,018200
0,233667	0,5	-0,036150
0,242000	0,5	-0,032650
0,250333	0,5	-0,024900
0,258667	0,5	-0,002500
0,267000	0,5	0,001150
0,275333	0,5	0,001150
0,283667	0,5	-0,004950
0,292000	0,5	0,029600
0,300333	0,5	0,030550
0,308667	0,5	0,007150
0,317000	0,5	-0,015900
0,325333	0,5	-0,025300
0,333667	0,5	-0,028800
0,342000	0,5	-0,028750
0,350333	0,5	-0,037850
0,358667	0,5	-0,032150
0,367000	0,5	-0,028700
0,375333	0,5	-0,036450
0,383667	0,5	-0,039900
0,392000	0,5	-0,038550
0,400333	0,5	-0,024500
0,408667	0,5	-0,010650
0,417000	0,5	-0,003100
0,425333	0,5	-0,017750
0,433667	0,5	-0,012900
0,442000	0,5	-0,020100
0,450333	0,5	-0,014900
0,458667	0,5	-0,020800
0,467000	0,5	-0,021500
0,475333	0,5	-0,029000
0,483667	0,5	-0,025300
0,492000	0,5	-0,026000
0,500333	0,5	-0,035950
0,508667	0,5	-0,013000
0,517000	0,5	-0,016950
0,525333	0,5	-0,033700
0,533667	0,5	-0,034150
0,542000	0,5	-0,033800
0,550333	0,5	-0,015450
0,558667	0,5	-0,005700
0,567000	0,5	-0,012000
0,575333	0,5	-0,004000
0,583667	0,5	-0,012600
0,592000	0,5	-0,005500
0,600333	0,5	-0,014150
0,608667	0,5	-0,004500
0,617000	0,5	-0,018300
0,625333	0,5	-0,011000
0,633667	0,5	-0,011450
0,642000	0,5	-0,016400
0,650333	0,5	-0,027700
0,658667	0,5	0,001700
0,667000	0,5	-0,017750
0,675333	0,5	-0,022700
0,683667	0,5	-0,022250
0,692000	0,5	-0,014350
0,700333	0,5	0,009400
0,708667	0,5	0,007850
0,717000	0,5	0,001200
0,725333	0,5	0,002150
0,733667	0,5	0,007100
0,742000	0,5	0,002550
0,750333	0,5	0,007650
0,758667	0,5	0,001450
0,767000	0,5	0,001500
0,775333	0,5	0,000000
0,783667	0,5	0,003650
0,792000	0,5	-0,011200
0,800333	0,5	-0,009750
0,808667	0,5	0,009500
0,817000	0,5	-0,003750
0,825333	0,5	-0,004600
0,833667	0,5	-0,001850
0,842000	0,5	0,003150
0,850333	0,5	0,026600
0,858667	0,5	0,020350
0,867000	0,5	0,020850
0,875333	0,5	0,016450
0,883667	0,5	0,023850
0,892000	0,5	0,028100
0,900333	0,5	0,023300
0,908667	0,5	0,019650
0,917000	0,5	0,018100
0,925333	0,5	0,022000
0,933667	0,5	0,020950
0,942000	0,5	0,018000
0,950333	0,5	0,014200
0,958667	0,5	0,028250
0,967000	0,5	0,008850
0,975333	0,5	0,014000
0,983667	0,5	0,019600
0,992000	0,5	0,033600
1,000333	0,5	0,048150
1,008667	0,5	0,047400
1,017000	0,5	0,038350
1,025333	0,5	0,042450
1,033667	0,5	0,038500
1,042000	0,5	0,040700
1,050333	0,5	0,046950
1,058667	0,5	0,043350
1,067000	0,5	0,042850
1,075333	0,5	0,046000
1,083667	0,5	0,052650
1,092000	0,5	0,040900
1,100333	0,5	0,051600
1,108667	0,5	0,046900
1,117000	0,5	0,037350
1,125333	0,5	0,034600
1,133667	0,5	0,042750
1,142000	0,5	0,056650
1,150333	0,5	0,071450
1,158667	0,5	0,058950
1,167000	0,5	0,047550
1,175333	0,5	0,060500
1,183667	0,5	0,063600
1,192000	0,5	0,055150
1,200333	0,5	0,056450
1,208667	0,5	0,054200
1,217000	0,5	0,050850
1,225333	0,5	0,050900
1,233667	0,5	0,042400
1,242000	0,5	0,043100
1,250333	0,5	0,053250
1,258667	0,5	0,043250
1,267000	0,5	0,039550
1,275333	0,5	0,041050
1,283667	0,5	0,045450
1,292000	0,5	0,055550
1,300333	0,5	0,058000
1,308667	0,5	0,062250
1,317000	0,5	0,048750
1,325333	0,5	0,051300
1,333667	0,5	0,043400
1,342000	0,5	0,043500
1,350333	0,5	0,035350
1,358667	0,5	0,034650
1,367000	0,5	0,034800
1,375333	0,5	0,031000
1,383667	0,5	0,022550
1,392000	0,5	0,025100
1,400333	0,5	0,022050
1,408667	0,5	0,010100
1,417000	0,5	0,004350
1,425333	0,5	0,004000
1,433667	0,5	0,010700
1,442000	0,5	0,016500
1,450333	0,5	0,015350
1,458667	0,5	0,011950
1,467000	0,5	0,011300
1,475333	0,5	0,000450
1,483667	0,5	-0,010450
1,492000	0,5	-0,017400
1,500333	0,5	-0,015650
1,508667	0,5	-0,028200
1,517000	0,5	-0,031800
1,525333	0,5	-0,037650
1,533667	0,5	-0,041200
1,542000	0,5	-0,031350
1,550333	0,5	-0,012850
1,558667	0,5	0,024500
1,567000	0,5	0,205500
1,575333	0,5	1,295500
1,583667	0,5	8,440100
1,592000	0,5	41,855551
1,600333	0,5	165,067002
1,608667	0,5	535,543308
1,617000	0,5	1 301,652969
1,625333	0,5	2 150,581882
1,633667	0,5	2 570,268938
1,642000	0,5	2 611,319189
1,650333	0,5	2 418,889086
1,658667	0,5	1 968,011229
1,667000	0,5	1 386,010821
1,675333	0,5	913,346664
1,683667	0,5	627,740409
1,692000	0,5	458,927807
1,700333	0,5	357,564905
1,708667	0,5	290,480654
1,717000	0,5	243,029504
1,725333	0,5	206,237703
1,733667	0,5	177,165203
1,742000	0,5	155,743402
1,750333	0,5	143,563952
1,758667	0,5	141,182952
1,767000	0,5	145,850752
1,775333	0,5	153,214602
1,783667	0,5	158,847402
1,792000	0,5	158,699102
1,800333	0,5	151,526702
1,808667	0,5	140,273352
1,817000	0,5	128,856052
1,825333	0,5	119,137902
1,833667	0,5	111,726552
1,842000	0,5	107,002202
1,850333	0,5	104,885802
1,858667	0,5	104,987752
1,867000	0,5	105,568002
1,875333	0,5	103,856852
1,883667	0,5	99,308151
