File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/947.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-NT_NA
Injection Number	45
Position	RE6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	13:00:51
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,855150
Signal Max.	2 857,509543
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,005700
0,008667	0,5	-0,056350
0,017000	0,5	-0,048100
0,025333	0,5	-0,045600
0,033667	0,5	-0,036600
0,042000	0,5	-0,016300
0,050333	0,5	-0,034250
0,058667	0,5	-0,036150
0,067000	0,5	-0,035150
0,075333	0,5	-0,015300
0,083667	0,5	0,000500
0,092000	0,5	-0,001700
0,100333	0,5	0,000600
0,108667	0,5	-0,008100
0,117000	0,5	0,000850
0,125333	0,5	-0,009300
0,133667	0,5	-0,006250
0,142000	0,5	-0,011700
0,150333	0,5	-0,004950
0,158667	0,5	-0,008150
0,167000	0,5	-0,017100
0,175333	0,5	-0,028250
0,183667	0,5	-0,003100
0,192000	0,5	-0,018450
0,200333	0,5	-0,028200
0,208667	0,5	-0,030050
0,217000	0,5	-0,026450
0,225333	0,5	-0,005150
0,233667	0,5	0,000550
0,242000	0,5	0,001900
0,250333	0,5	-0,005000
0,258667	0,5	-0,007050
0,267000	0,5	-0,011950
0,275333	0,5	-0,013600
0,283667	0,5	-0,014050
0,292000	0,5	-0,012650
0,300333	0,5	0,011750
0,308667	0,5	0,031650
0,317000	0,5	0,001200
0,325333	0,5	-0,025550
0,333667	0,5	-0,019950
0,342000	0,5	-0,032000
0,350333	0,5	-0,039400
0,358667	0,5	-0,037100
0,367000	0,5	-0,038550
0,375333	0,5	-0,013350
0,383667	0,5	-0,021300
0,392000	0,5	-0,025700
0,400333	0,5	-0,026100
0,408667	0,5	-0,022000
0,417000	0,5	-0,023750
0,425333	0,5	-0,018900
0,433667	0,5	-0,022100
0,442000	0,5	-0,028500
0,450333	0,5	-0,028300
0,458667	0,5	-0,028800
0,467000	0,5	-0,024500
0,475333	0,5	-0,036750
0,483667	0,5	-0,014700
0,492000	0,5	-0,041600
0,500333	0,5	-0,045750
0,508667	0,5	-0,046350
0,517000	0,5	-0,035550
0,525333	0,5	-0,008300
0,533667	0,5	-0,015050
0,542000	0,5	-0,026000
0,550333	0,5	-0,022400
0,558667	0,5	-0,027500
0,567000	0,5	-0,027100
0,575333	0,5	-0,031100
0,583667	0,5	-0,032750
0,592000	0,5	-0,034850
0,600333	0,5	-0,032750
0,608667	0,5	-0,024250
0,617000	0,5	-0,032350
0,625333	0,5	-0,025150
0,633667	0,5	-0,023450
0,642000	0,5	-0,043000
0,650333	0,5	-0,041500
0,658667	0,5	-0,035450
0,667000	0,5	-0,026300
0,675333	0,5	-0,013250
0,683667	0,5	-0,026100
0,692000	0,5	-0,022300
0,700333	0,5	-0,028650
0,708667	0,5	-0,020000
0,717000	0,5	-0,024400
0,725333	0,5	-0,017300
0,733667	0,5	-0,028900
0,742000	0,5	-0,027700
0,750333	0,5	-0,027200
0,758667	0,5	-0,027850
0,767000	0,5	-0,035600
0,775333	0,5	-0,024900
0,783667	0,5	-0,028200
0,792000	0,5	-0,039100
0,800333	0,5	-0,035950
0,808667	0,5	-0,028150
0,817000	0,5	-0,013100
0,825333	0,5	-0,005850
