File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/293.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_00.5h-EGS_1
Injection Number	113
Position	BB5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	21:29:24
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,340650
Signal Max.	918,460414
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,042350
0,008667	0,5	-0,030950
0,017000	0,5	-0,017300
0,025333	0,5	0,006700
0,033667	0,5	0,013400
0,042000	0,5	0,022250
0,050333	0,5	0,023250
0,058667	0,5	0,027600
0,067000	0,5	0,012200
0,075333	0,5	0,017850
0,083667	0,5	0,009550
0,092000	0,5	0,008950
0,100333	0,5	-0,007200
0,108667	0,5	0,035400
0,117000	0,5	0,008450
0,125333	0,5	-0,007400
0,133667	0,5	-0,010700
0,142000	0,5	0,002750
0,150333	0,5	0,031300
0,158667	0,5	0,042850
0,167000	0,5	0,031750
0,175333	0,5	0,031750
0,183667	0,5	0,031900
0,192000	0,5	0,029450
0,200333	0,5	0,022200
0,208667	0,5	0,014800
0,217000	0,5	0,013800
0,225333	0,5	0,012200
0,233667	0,5	0,018850
0,242000	0,5	0,014700
0,250333	0,5	0,005400
0,258667	0,5	0,036050
0,267000	0,5	0,005600
0,275333	0,5	-0,007700
0,283667	0,5	0,017000
0,292000	0,5	0,074600
0,300333	0,5	0,115300
0,308667	0,5	0,068050
0,317000	0,5	0,022850
0,325333	0,5	-0,013350
0,333667	0,5	-0,008700
0,342000	0,5	-0,007950
0,350333	0,5	-0,000500
0,358667	0,5	-0,000100
0,367000	0,5	-0,002900
0,375333	0,5	-0,003050
0,383667	0,5	0,001200
0,392000	0,5	0,015400
0,400333	0,5	-0,004050
0,408667	0,5	0,021300
0,417000	0,5	-0,017100
0,425333	0,5	-0,017550
