File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/913.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_00h-EGS_3
Injection Number	125
Position	BC8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	03:12:56
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,433100
Signal Max.	978,491615
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,040050
0,008667	0,5	-0,076700
0,017000	0,5	-0,061500
0,025333	0,5	-0,045100
0,033667	0,5	-0,049000
0,042000	0,5	-0,058800
0,050333	0,5	-0,040850
0,058667	0,5	-0,016550
0,067000	0,5	0,011750
0,075333	0,5	0,001650
0,083667	0,5	0,003150
0,092000	0,5	-0,006300
0,100333	0,5	0,004700
0,108667	0,5	-0,005150
0,117000	0,5	-0,004350
0,125333	0,5	-0,017200
0,133667	0,5	-0,024250
0,142000	0,5	-0,017800
0,150333	0,5	-0,019100
0,158667	0,5	-0,025450
0,167000	0,5	-0,007000
0,175333	0,5	-0,007600
0,183667	0,5	-0,034900
0,192000	0,5	-0,039750
0,200333	0,5	-0,037100
0,208667	0,5	-0,007550
0,217000	0,5	0,001250
0,225333	0,5	-0,003350
0,233667	0,5	-0,017750
0,242000	0,5	-0,012900
0,250333	0,5	-0,021650
0,258667	0,5	-0,018600
0,267000	0,5	-0,031400
0,275333	0,5	-0,030250
0,283667	0,5	-0,032300
0,292000	0,5	0,005150
0,300333	0,5	0,066050
0,308667	0,5	0,040200
0,317000	0,5	0,007350
0,325333	0,5	-0,045900
0,333667	0,5	-0,076700
0,342000	0,5	-0,080050
0,350333	0,5	-0,070600
0,358667	0,5	-0,044200
0,367000	0,5	-0,032450
0,375333	0,5	-0,048800
0,383667	0,5	-0,037900
0,392000	0,5	-0,045350
0,400333	0,5	-0,039150
0,408667	0,5	-0,050350
0,417000	0,5	-0,045700
0,425333	0,5	-0,059500
0,433667	0,5	-0,055750
0,442000	0,5	-0,057150
0,450333	0,5	-0,049450
0,458667	0,5	-0,070700
0,467000	0,5	-0,032900
0,475333	0,5	-0,076400
0,483667	0,5	-0,073250
0,492000	0,5	-0,083350
0,500333	0,5	-0,066750
0,508667	0,5	-0,036850
0,517000	0,5	-0,049800
0,525333	0,5	-0,053000
0,533667	0,5	-0,057650
0,542000	0,5	-0,047400
0,550333	0,5	-0,056950
0,558667	0,5	-0,054200
0,567000	0,5	-0,068050
0,575333	0,5	-0,062100
0,583667	0,5	-0,063350
0,592000	0,5	-0,052350
0,600333	0,5	-0,064200
0,608667	0,5	-0,063450
0,617000	0,5	-0,052900
0,625333	0,5	-0,078900
0,633667	0,5	-0,076900
0,642000	0,5	-0,067800
0,650333	0,5	-0,057500
0,658667	0,5	-0,020000
0,667000	0,5	-0,028350
0,675333	0,5	-0,027250
0,683667	0,5	-0,034400
0,692000	0,5	-0,035000
0,700333	0,5	-0,037200
0,708667	0,5	-0,040700
0,717000	0,5	-0,042250
0,725333	0,5	-0,047900
0,733667	0,5	-0,040600
0,742000	0,5	-0,042650
0,750333	0,5	-0,036200
0,758667	0,5	-0,032350
0,767000	0,5	-0,029650
0,775333	0,5	-0,054450
0,783667	0,5	-0,045000
0,792000	0,5	-0,043050
0,800333	0,5	-0,010900
0,808667	0,5	0,005100
0,817000	0,5	0,009100
0,825333	0,5	-0,001350
0,833667	0,5	0,001150
0,842000	0,5	-0,007450
0,850333	0,5	-0,005200
0,858667	0,5	-0,008450
0,867000	0,5	-0,009700
0,875333	0,5	-0,005300
0,883667	0,5	-0,005000
0,892000	0,5	0,006300
