File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/646.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_01h-EGS_2
Injection Number	105
Position	BA5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	17:39:08
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,687300
Signal Max.	879,363613
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,054800
0,008500	0,5	-0,099450
0,016833	0,5	-0,083400
0,025167	0,5	-0,068000
0,033500	0,5	-0,050650
0,041833	0,5	-0,046550
0,050167	0,5	-0,049700
0,058500	0,5	-0,037700
0,066833	0,5	-0,057050
0,075167	0,5	-0,053500
0,083500	0,5	-0,025750
0,091833	0,5	-0,041150
0,100167	0,5	-0,070900
0,108500	0,5	-0,057800
0,116833	0,5	-0,055200
0,125167	0,5	-0,005100
0,133500	0,5	-0,009500
0,141833	0,5	-0,011500
0,150167	0,5	-0,020250
0,158500	0,5	-0,016800
0,166833	0,5	-0,026900
0,175167	0,5	-0,025200
0,183500	0,5	-0,033050
0,191833	0,5	-0,040450
0,200167	0,5	-0,040350
0,208500	0,5	-0,037250
0,216833	0,5	-0,042650
0,225167	0,5	-0,056750
0,233500	0,5	-0,023300
0,241833	0,5	-0,055100
0,250167	0,5	-0,064650
0,258500	0,5	-0,062900
0,266833	0,5	-0,046500
0,275167	0,5	-0,020250
0,283500	0,5	-0,026100
0,291833	0,5	-0,018550
0,300167	0,5	0,044050
0,308500	0,5	0,038800
0,316833	0,5	0,003950
0,325167	0,5	-0,043450
0,333500	0,5	-0,062000
0,341833	0,5	-0,069850
0,350167	0,5	-0,066100
0,358500	0,5	-0,062550
0,366833	0,5	-0,075500
0,375167	0,5	-0,073050
0,383500	0,5	-0,046300
0,391833	0,5	-0,075150
0,400167	0,5	-0,076350
0,408500	0,5	-0,066700
0,416833	0,5	-0,050900
0,425167	0,5	-0,016550
0,433500	0,5	-0,043400
0,441833	0,5	-0,033150
0,450167	0,5	-0,035150
0,458500	0,5	-0,026900
0,466833	0,5	-0,040750
0,475167	0,5	-0,033900
0,483500	0,5	-0,048000
0,491833	0,5	-0,035700
0,500167	0,5	-0,038200
0,508500	0,5	-0,042450
0,516833	0,5	-0,063750
0,525167	0,5	-0,048100
0,533500	0,5	-0,043350
0,541833	0,5	-0,057750
0,550167	0,5	-0,056450
0,558500	0,5	-0,040250
0,566833	0,5	-0,017350
0,575167	0,5	0,007250
0,583500	0,5	-0,000400
0,591833	0,5	-0,003300
0,600167	0,5	0,003200
0,608500	0,5	0,001150
0,616833	0,5	0,007250
0,625167	0,5	0,001200
0,633500	0,5	0,006600
0,641833	0,5	-0,000700
0,650167	0,5	0,008600
0,658500	0,5	-0,001700
0,666833	0,5	-0,001550
0,675167	0,5	0,008750
0,683500	0,5	0,008700
0,691833	0,5	-0,002350
0,700167	0,5	0,006250
0,708500	0,5	0,015900
0,716833	0,5	0,046800
0,725167	0,5	0,061500
0,733500	0,5	0,055600
0,741833	0,5	0,057150
0,750167	0,5	0,060550
0,758500	0,5	0,061150
0,766833	0,5	0,057600
0,775167	0,5	0,062900
0,783500	0,5	0,059400
0,791833	0,5	0,068700
0,800167	0,5	0,064250
0,808500	0,5	0,066500
0,816833	0,5	0,065350
0,825167	0,5	0,090450
0,833500	0,5	0,063400
0,841833	0,5	0,063550
0,850167	0,5	0,063850
0,858500	0,5	0,094150
0,866833	0,5	0,120100
0,875167	0,5	0,134150
0,883500	0,5	0,118900
0,891833	0,5	0,127750
0,900167	0,5	0,123150
0,908500	0,5	0,127450
0,916833	0,5	0,123450
0,925167	0,5	0,122800
0,933500	0,5	0,127900
0,941833	0,5	0,126400
0,950167	0,5	0,128350
0,958500	0,5	0,110750
0,966833	0,5	0,124350
0,975167	0,5	0,136150
0,983500	0,5	0,120650
0,991833	0,5	0,120200
1,000167	0,5	0,124950
1,008500	0,5	0,146600
1,016833	0,5	0,171750
1,025167	0,5	0,164550
1,033500	0,5	0,176500
1,041833	0,5	0,164600
1,050167	0,5	0,176700
1,058500	0,5	0,166650
1,066833	0,5	0,177700
1,075167	0,5	0,167600
1,083500	0,5	0,165750
1,091833	0,5	0,168500
1,100167	0,5	0,153500
1,108500	0,5	0,142100
1,116833	0,5	0,176450
1,125167	0,5	0,165500
1,133500	0,5	0,149600
1,141833	0,5	0,155800
1,150167	0,5	0,161700
1,158500	0,5	0,204700
1,166833	0,5	0,201050
1,175167	0,5	0,204450
1,183500	0,5	0,200050
1,191833	0,5	0,207250
1,200167	0,5	0,195800
1,208500	0,5	0,200200
1,216833	0,5	0,194950
1,225167	0,5	0,198450
1,233500	0,5	0,193600
1,241833	0,5	0,200100
1,250167	0,5	0,183850
1,258500	0,5	0,183100
1,266833	0,5	0,211750
1,275167	0,5	0,194050
1,283500	0,5	0,184200
1,291833	0,5	0,191550
1,300167	0,5	0,196850
1,308500	0,5	0,234200
1,316833	0,5	0,226450
1,325167	0,5	0,207350
1,333500	0,5	0,215800
1,341833	0,5	0,219800
1,350167	0,5	0,227200
1,358500	0,5	0,226800
1,366833	0,5	0,225250
1,375167	0,5	0,217000
1,383500	0,5	0,221300
1,391833	0,5	0,222800
1,400167	0,5	0,221550
1,408500	0,5	0,210800
1,416833	0,5	0,241050
1,425167	0,5	0,208250
1,433500	0,5	0,208200
1,441833	0,5	0,208800
1,450167	0,5	0,227600
1,458500	0,5	0,256650
1,466833	0,5	0,240950
1,475167	0,5	0,240300
1,483500	0,5	0,246450
1,491833	0,5	0,244550
1,500167	0,5	0,244200
1,508500	0,5	0,241100
1,516833	0,5	0,232300
1,525167	0,5	0,235050
1,533500	0,5	0,229000
1,541833	0,5	0,241650
1,550167	0,5	0,235350
1,558500	0,5	0,299700
1,566833	0,5	0,474400
1,575167	0,5	0,806350
1,583500	0,5	1,251000
1,591833	0,5	2,784600
1,600167	0,5	10,626900
1,608500	0,5	40,577351
1,616833	0,5	132,772152
1,625167	0,5	338,422605
1,633500	0,5	619,506259
1,641833	0,5	833,525162
1,650167	0,5	879,363613
1,658500	0,5	766,846111
1,666833	0,5	578,724909
1,675167	0,5	403,398756
1,683500	0,5	279,333104
1,691833	0,5	200,133103
1,700167	0,5	150,546902
1,708500	0,5	119,505652
1,716833	0,5	99,989851
1,725167	0,5	86,966551
1,733500	0,5	77,133951
1,741833	0,5	69,323751
1,750167	0,5	63,310401
1,758500	0,5	58,240951
1,766833	0,5	53,310901
1,775167	0,5	48,732451
1,783500	0,5	45,640501
1,791833	0,5	45,032651
1,800167	0,5	47,172801
1,808500	0,5	51,033351
1,816833	0,5	54,986601
1,825167	0,5	57,734101
1,833500	0,5	58,547301
1,841833	0,5	57,140001
1,850167	0,5	54,071651
1,858500	0,5	50,370301
1,866833	0,5	46,824001
1,875167	0,5	43,851901
1,883500	0,5	41,493351
1,891833	0,5	39,644551
1,900167	0,5	38,029151
1,908500	0,5	36,484551
1,916833	0,5	35,037351
1,925167	0,5	33,908451
1,933500	0,5	33,010300
1,941833	0,5	32,134100
1,950167	0,5	31,122250
1,958500	0,5	30,128150
1,966833	0,5	29,344800
1,975167	0,5	28,955350
1,983500	0,5	29,058100
1,991833	0,5	29,557600
2,000167	0,5	30,010150
2,008500	0,5	29,852050
2,016833	0,5	29,000350
2,025167	0,5	27,922000
2,033500	0,5	26,990500
2,041833	0,5	26,380650
2,050167	0,5	26,081950
2,058500	0,5	26,035550
2,066833	0,5	26,333150
2,075167	0,5	27,061250
2,083500	0,5	28,265500
2,091833	0,5	29,561000
2,100167	0,5	30,700900
2,108500	0,5	32,058050
2,116833	0,5	34,464601
2,125167	0,5	37,903801
2,133500	0,5	41,126551
2,141833	0,5	42,712551
2,150167	0,5	42,601951
2,158500	0,5	41,252101
2,166833	0,5	38,880701
2,175167	0,5	35,562901
2,183500	0,5	31,995500
2,191833	0,5	29,027450
2,200167	0,5	26,938300
2,208500	0,5	25,746800
2,216833	0,5	25,503700
2,225167	0,5	26,339300
2,233500	0,5	28,135200
2,241833	0,5	29,920100
2,250167	0,5	30,329850
2,258500	0,5	29,031700
2,266833	0,5	26,941700
2,275167	0,5	25,053100
2,283500	0,5	23,648350
2,291833	0,5	22,664300
2,300167	0,5	22,013400
2,308500	0,5	21,564150
2,316833	0,5	21,282400
2,325167	0,5	21,078250
2,333500	0,5	20,888300
2,341833	0,5	20,852550
2,350167	0,5	20,978900
2,358500	0,5	21,298550
2,366833	0,5	21,613250
2,375167	0,5	21,776400
2,383500	0,5	21,876000
2,391833	0,5	22,191350
2,400167	0,5	22,795800
2,408500	0,5	23,370450
2,416833	0,5	23,426800
2,425167	0,5	22,887550
2,433500	0,5	22,127650
2,441833	0,5	21,465900
2,450167	0,5	21,054600
2,458500	0,5	20,728500
2,466833	0,5	20,525000
2,475167	0,5	20,394350
2,483500	0,5	20,339450
2,491833	0,5	20,322150
2,500167	0,5	20,246450
2,508500	0,5	20,123300
2,516833	0,5	19,996900
2,525167	0,5	19,856850
2,533500	0,5	19,753650
2,541833	0,5	19,650150
2,550167	0,5	19,534650
2,558500	0,5	19,415850
2,566833	0,5	19,475500
2,575167	0,5	20,393200
2,583500	0,5	21,604700
2,591833	0,5	21,349950
2,600167	0,5	19,994450
2,608500	0,5	18,926100
2,616833	0,5	18,358600
2,625167	0,5	18,059150
2,633500	0,5	17,884850
2,641833	0,5	17,782600
2,650167	0,5	17,664750
2,658500	0,5	17,588300
2,666833	0,5	17,506550
2,675167	0,5	17,452750
2,683500	0,5	17,383450
2,691833	0,5	17,325600
2,700167	0,5	17,248250
2,708500	0,5	17,170050
2,716833	0,5	17,078600
2,725167	0,5	16,966550
2,733500	0,5	16,852350
2,741833	0,5	16,770350
2,750167	0,5	16,668950
2,758500	0,5	16,591550
2,766833	0,5	16,560750
2,775167	0,5	16,587800
2,783500	0,5	16,731350
2,791833	0,5	17,010500
2,800167	0,5	17,470450
2,808500	0,5	18,110250
2,816833	0,5	18,862150
2,825167	0,5	19,581450
2,833500	0,5	20,191950
2,841833	0,5	20,596600
2,850167	0,5	20,784750
2,858500	0,5	20,721250
2,866833	0,5	20,446200
2,875167	0,5	20,033550
2,883500	0,5	19,679950
2,891833	0,5	19,571050
2,900167	0,5	19,904000
2,908500	0,5	20,866700
2,916833	0,5	22,481150
2,925167	0,5	24,461550
2,933500	0,5	26,318400
2,941833	0,5	27,508400
2,950167	0,5	27,844150
2,958500	0,5	27,637150
2,966833	0,5	27,515150
2,975167	0,5	28,137000
2,983500	0,5	29,777400
2,991833	0,5	32,091450
3,000167	0,5	34,298401
3,008500	0,5	35,643601
3,016833	0,5	35,680251
3,025167	0,5	34,416851
3,033500	0,5	32,180750
3,041833	0,5	29,424950
3,050167	0,5	26,581400
3,058500	0,5	24,039650
3,066833	0,5	21,988000
3,075167	0,5	20,531750
3,083500	0,5	19,672050
3,091833	0,5	19,452100
3,100167	0,5	19,934200
3,108500	0,5	21,088250
3,116833	0,5	22,718800
3,125167	0,5	24,441650
3,133500	0,5	25,793750
3,141833	0,5	26,383900
3,150167	0,5	26,072100
3,158500	0,5	24,918200
3,166833	0,5	23,200450
3,175167	0,5	21,204300
3,183500	0,5	19,291800
3,191833	0,5	17,573400
3,200167	0,5	16,186950
3,208500	0,5	15,136550
3,216833	0,5	14,372650
3,225167	0,5	13,838800
3,233500	0,5	13,433900
3,241833	0,5	13,113700
3,250167	0,5	12,887150
3,258500	0,5	12,690750
3,266833	0,5	12,541350
3,275167	0,5	12,405500
3,283500	0,5	12,305300
3,291833	0,5	12,221500
3,300167	0,5	12,176700
3,308500	0,5	12,182450
3,316833	0,5	12,241600
3,325167	0,5	12,383100
3,333500	0,5	12,644700
3,341833	0,5	12,902900
3,350167	0,5	13,168950
3,358500	0,5	13,363450
3,366833	0,5	13,417700
3,375167	0,5	13,333800
3,383500	0,5	13,045150
3,391833	0,5	12,679450
3,400167	0,5	12,280500
3,408500	0,5	11,927700
3,416833	0,5	11,617650
3,425167	0,5	11,387400
3,433500	0,5	11,198150
3,441833	0,5	11,064450
3,450167	0,5	10,952650
3,458500	0,5	10,871800
3,466833	0,5	10,801350
3,475167	0,5	10,749000
3,483500	0,5	10,724000
3,491833	0,5	10,668050
3,500167	0,5	10,639650
3,508500	0,5	10,621950
3,516833	0,5	10,619650
3,525167	0,5	10,646600
3,533500	0,5	10,661800
3,541833	0,5	10,704900
3,550167	0,5	10,826600
3,558500	0,5	10,995150
3,566833	0,5	11,224550
3,575167	0,5	11,463850
3,583500	0,5	11,673000
3,591833	0,5	11,784200
3,600167	0,5	11,769100
3,608500	0,5	11,615600
3,616833	0,5	11,358600
3,625167	0,5	11,044450
3,633500	0,5	10,747850
3,641833	0,5	10,459000
3,650167	0,5	10,254700
3,658500	0,5	10,107350
3,666833	0,5	10,020050
3,675167	0,5	9,967350
3,683500	0,5	9,904950
3,691833	0,5	9,865650
3,700167	0,5	9,837100
3,708500	0,5	9,823350
3,716833	0,5	9,807350
3,725167	0,5	9,791700
3,733500	0,5	9,764800
3,741833	0,5	9,742600
3,750167	0,5	9,700000
3,758500	0,5	9,672100
3,766833	0,5	9,638700
3,775167	0,5	9,642450
3,783500	0,5	9,632500
3,791833	0,5	9,639300
3,800167	0,5	9,662650
3,808500	0,5	9,690800
3,816833	0,5	9,711900
3,825167	0,5	9,702400
3,833500	0,5	9,654550
3,841833	0,5	9,609200
3,850167	0,5	9,545800
3,858500	0,5	9,490750
3,866833	0,5	9,433900
3,875167	0,5	9,387000
3,883500	0,5	9,359000
3,891833	0,5	9,333850
3,900167	0,5	9,324000
3,908500	0,5	9,288650
3,916833	0,5	9,274200
3,925167	0,5	9,259950
3,933500	0,5	9,210900
3,941833	0,5	9,159650
3,950167	0,5	9,123800
3,958500	0,5	9,099750
3,966833	0,5	9,090200
3,975167	0,5	9,056500
3,983500	0,5	9,038050
3,991833	0,5	9,019450
4,000167	0,5	9,016800
4,008500	0,5	9,005650
4,016833	0,5	9,005150
4,025167	0,5	8,988850
4,033500	0,5	8,967450
4,041833	0,5	8,947650
4,050167	0,5	8,911850
4,058500	0,5	8,866450
4,066833	0,5	8,838300
4,075167	0,5	8,797800
4,083500	0,5	8,750800
4,091833	0,5	8,721750
4,100167	0,5	8,697700
4,108500	0,5	8,699600
4,116833	0,5	8,680650
4,125167	0,5	8,668750
4,133500	0,5	8,642800
4,141833	0,5	8,635100
4,150167	0,5	8,611150
4,158500	0,5	8,598200
4,166833	0,5	8,580400
4,175167	0,5	8,568350
4,183500	0,5	8,555950
4,191833	0,5	8,545400
4,200167	0,5	8,549850
4,208500	0,5	8,538850
4,216833	0,5	8,552250
4,225167	0,5	8,537600
4,233500	0,5	8,522350
4,241833	0,5	8,515200
4,250167	0,5	8,513250
4,258500	0,5	8,525550
4,266833	0,5	8,516450
4,275167	0,5	8,482200
4,283500	0,5	8,475400
4,291833	0,5	8,451700
4,300167	0,5	8,436200
4,308500	0,5	8,403300
4,316833	0,5	8,390350
4,325167	0,5	8,361750
4,333500	0,5	8,346200
4,341833	0,5	8,325300
4,350167	0,5	8,315550
4,358500	0,5	8,275950
4,366833	0,5	8,289000
4,375167	0,5	8,252200
4,383500	0,5	8,238650
4,391833	0,5	8,228300
4,400167	0,5	8,230850
4,408500	0,5	8,259000
4,416833	0,5	8,246300
4,425167	0,5	8,238950
4,433500	0,5	8,240250
4,441833	0,5	8,245700
4,450167	0,5	8,246300
4,458500	0,5	8,250900
4,466833	0,5	8,239250
4,475167	0,5	8,234050
4,483500	0,5	8,214500
4,491833	0,5	8,200750
4,500167	0,5	8,160650
4,508500	0,5	8,137050
4,516833	0,5	8,124000
4,525167	0,5	8,079300
4,533500	0,5	8,051700
4,541833	0,5	8,033400
4,550167	0,5	8,027250
4,558500	0,5	8,032650
4,566833	0,5	8,008600
4,575167	0,5	7,994900
4,583500	0,5	7,980350
4,591833	0,5	7,970150
4,600167	0,5	7,954650
4,608500	0,5	7,947800
4,616833	0,5	7,933600
4,625167	0,5	7,918200
4,633500	0,5	7,916450
4,641833	0,5	7,899950
4,650167	0,5	7,896000
4,658500	0,5	7,885050
4,666833	0,5	7,878500
4,675167	0,5	7,841700
4,683500	0,5	7,834950
4,691833	0,5	7,824750
4,700167	0,5	7,841250
4,708500	0,5	7,847850
4,716833	0,5	7,839900
4,725167	0,5	7,820100
4,733500	0,5	7,817950
4,741833	0,5	7,802100
4,750167	0,5	7,798450
4,758500	0,5	7,790800
4,766833	0,5	7,778950
4,775167	0,5	7,773750
4,783500	0,5	7,767800
4,791833	0,5	7,758900
4,800167	0,5	7,754650
4,808500	0,5	7,764200
4,816833	0,5	7,757500
4,825167	0,5	7,750200
4,833500	0,5	7,760750
4,841833	0,5	7,783400
4,850167	0,5	7,824400
4,858500	0,5	7,867900
4,866833	0,5	7,896300
4,875167	0,5	7,960850
4,883500	0,5	8,020000
4,891833	0,5	8,114800
4,900167	0,5	8,208900
4,908500	0,5	8,318200
4,916833	0,5	8,424650
4,925167	0,5	8,540550
4,933500	0,5	8,648800
4,941833	0,5	8,729400
4,950167	0,5	8,806750
4,958500	0,5	8,886400
4,966833	0,5	8,913300
4,975167	0,5	8,935050
4,983500	0,5	8,956800
4,991833	0,5	8,984600
5,000167	0,5	9,022350
5,008500	0,5	9,025500
5,016833	0,5	9,039500
5,025167	0,5	9,046200
5,033500	0,5	9,054250
5,041833	0,5	9,032500
5,050167	0,5	9,007100
5,058500	0,5	8,945500
5,066833	0,5	8,876950
5,075167	0,5	8,779050
5,083500	0,5	8,669250
5,091833	0,5	8,531950
5,100167	0,5	8,416600
