File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/197.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_02h-EGS_1
Injection Number	94
Position	GE3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	12:24:13
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,509700
Signal Max.	900,174163
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,009050
0,008667	0,5	-0,040500
0,017000	0,5	-0,034700
0,025333	0,5	-0,021500
0,033667	0,5	-0,003550
0,042000	0,5	0,002500
0,050333	0,5	0,003900
0,058667	0,5	-0,006000
0,067000	0,5	-0,004350
0,075333	0,5	-0,011500
0,083667	0,5	0,005700
0,092000	0,5	-0,013850
0,100333	0,5	-0,026700
0,108667	0,5	0,005600
0,117000	0,5	-0,023350
0,125333	0,5	-0,033300
0,133667	0,5	-0,026950
0,142000	0,5	-0,018500
0,150333	0,5	0,019850
0,158667	0,5	0,004450
0,167000	0,5	-0,000650
0,175333	0,5	-0,009800
0,183667	0,5	-0,006100
0,192000	0,5	-0,012700
0,200333	0,5	-0,014150
0,208667	0,5	-0,019950
0,217000	0,5	-0,025650
0,225333	0,5	-0,020650
0,233667	0,5	-0,027700
0,242000	0,5	-0,024900
0,250333	0,5	-0,040750
0,258667	0,5	-0,019350
0,267000	0,5	-0,055100
0,275333	0,5	-0,054300
0,283667	0,5	-0,056500
0,292000	0,5	-0,006100
0,300333	0,5	0,047000
0,308667	0,5	0,036850
0,317000	0,5	-0,013750
0,325333	0,5	-0,040450
0,333667	0,5	-0,062000
0,342000	0,5	-0,061250
0,350333	0,5	-0,062450
0,358667	0,5	-0,063900
0,367000	0,5	-0,068050
0,375333	0,5	-0,068650
0,383667	0,5	-0,069650
0,392000	0,5	-0,083450
0,400333	0,5	-0,078450
0,408667	0,5	-0,064050
0,417000	0,5	-0,095900
0,425333	0,5	-0,091250
0,433667	0,5	-0,086400
0,442000	0,5	-0,066600
0,450333	0,5	-0,039900
0,458667	0,5	-0,056500
0,467000	0,5	-0,054350
0,475333	0,5	-0,067500
0,483667	0,5	-0,061100
0,492000	0,5	-0,074750
0,500333	0,5	-0,071100
0,508667	0,5	-0,078350
0,517000	0,5	-0,080950
0,525333	0,5	-0,081100
0,533667	0,5	-0,095850
0,542000	0,5	-0,107650
0,550333	0,5	-0,082750
0,558667	0,5	-0,093700
0,567000	0,5	-0,106450
0,575333	0,5	-0,098250
0,583667	0,5	-0,092450
0,592000	0,5	-0,062600
0,600333	0,5	-0,058350
0,608667	0,5	-0,052100
0,617000	0,5	-0,062500
0,625333	0,5	-0,057050
0,633667	0,5	-0,067850
0,642000	0,5	-0,060600
0,650333	0,5	-0,067800
0,658667	0,5	-0,068600
0,667000	0,5	-0,074700
0,675333	0,5	-0,072750
0,683667	0,5	-0,090900
0,692000	0,5	-0,082150
0,700333	0,5	-0,059800
0,708667	0,5	-0,074100
0,717000	0,5	-0,089450
0,725333	0,5	-0,080550
0,733667	0,5	-0,069250
0,742000	0,5	-0,037000
0,750333	0,5	-0,036400
0,758667	0,5	-0,043200
0,767000	0,5	-0,039500
0,775333	0,5	-0,040600
0,783667	0,5	-0,041750
0,792000	0,5	-0,047550
0,800333	0,5	-0,045500
0,808667	0,5	-0,048950
0,817000	0,5	-0,042500
0,825333	0,5	-0,042100
0,833667	0,5	-0,049400
0,842000	0,5	-0,047300
0,850333	0,5	-0,024000
0,858667	0,5	-0,050300
0,867000	0,5	-0,051150
0,875333	0,5	-0,044400
0,883667	0,5	-0,023550
0,892000	0,5	-0,006450
0,900333	0,5	-0,015950
0,908667	0,5	-0,021350
0,917000	0,5	-0,014450
0,925333	0,5	-0,015000
0,933667	0,5	-0,012100
0,942000	0,5	-0,008200
0,950333	0,5	-0,011100
0,958667	0,5	-0,009350
0,967000	0,5	-0,012800
0,975333	0,5	-0,007650
0,983667	0,5	-0,031200
0,992000	0,5	-0,005200
1,000333	0,5	-0,010600
1,008667	0,5	-0,020900
1,017000	0,5	-0,027350
1,025333	0,5	-0,012100
1,033667	0,5	0,006650
1,042000	0,5	0,017750
1,050333	0,5	0,004050
1,058667	0,5	0,017350
1,067000	0,5	0,012800
1,075333	0,5	0,019900
1,083667	0,5	0,008950
1,092000	0,5	0,015450
1,100333	0,5	0,010300
1,108667	0,5	0,008550
1,117000	0,5	0,014450
1,125333	0,5	-0,002000
1,133667	0,5	-0,011050
1,142000	0,5	0,016600
1,150333	0,5	0,001700
1,158667	0,5	-0,005950
1,167000	0,5	-0,001200
1,175333	0,5	0,009300
1,183667	0,5	0,045900
1,192000	0,5	0,037400
1,200333	0,5	0,035100
1,208667	0,5	0,030650
1,217000	0,5	0,038950
1,225333	0,5	0,030400
1,233667	0,5	0,039450
1,242000	0,5	0,030850
1,250333	0,5	0,033350
1,258667	0,5	0,034750
1,267000	0,5	0,032250
1,275333	0,5	0,024600
1,283667	0,5	0,019950
1,292000	0,5	0,042750
1,300333	0,5	0,020000
1,308667	0,5	0,020400
1,317000	0,5	0,020550
1,325333	0,5	0,038000
1,333667	0,5	0,059800
1,342000	0,5	0,070550
1,350333	0,5	0,058350
1,358667	0,5	0,064900
1,367000	0,5	0,056250
1,375333	0,5	0,063350
1,383667	0,5	0,054750
1,392000	0,5	0,061000
1,400333	0,5	0,049500
1,408667	0,5	0,052650
1,417000	0,5	0,053850
1,425333	0,5	0,056600
1,433667	0,5	0,057850
1,442000	0,5	0,067050
1,450333	0,5	0,040050
1,458667	0,5	0,047000
1,467000	0,5	0,046700
1,475333	0,5	0,069550
1,483667	0,5	0,091100
1,492000	0,5	0,083250
1,500333	0,5	0,084100
1,508667	0,5	0,078050
1,517000	0,5	0,078200
1,525333	0,5	0,068100
1,533667	0,5	0,072800
1,542000	0,5	0,066800
1,550333	0,5	0,085550
1,558667	0,5	0,145500
1,567000	0,5	0,312450
1,575333	0,5	0,573800
1,583667	0,5	1,125650
1,592000	0,5	4,220550
1,600333	0,5	18,313400
1,608667	0,5	67,189451
1,617000	0,5	202,416103
1,625333	0,5	455,404857
1,633667	0,5	738,377211
1,642000	0,5	900,174163
1,650333	0,5	875,271513
1,658667	0,5	712,306661
1,667000	0,5	513,943408
1,675333	0,5	355,494705
1,683667	0,5	249,449354
1,692000	0,5	182,287653
1,700333	0,5	140,345102
1,708667	0,5	114,738852
1,717000	0,5	99,059701
1,725333	0,5	88,024301
1,733667	0,5	78,662301
1,742000	0,5	70,456401
1,750333	0,5	63,450901
1,758667	0,5	57,257351
1,767000	0,5	51,918801
1,775333	0,5	48,455901
1,783667	0,5	47,855801
1,792000	0,5	50,182251
1,800333	0,5	53,996651
1,808667	0,5	57,505001
1,817000	0,5	59,469301
1,825333	0,5	59,267401
1,833667	0,5	56,961701
1,842000	0,5	53,423601
1,850333	0,5	49,742701
1,858667	0,5	46,574401
1,867000	0,5	44,002051
1,875333	0,5	41,750351
1,883667	0,5	39,636551
1,892000	0,5	37,649551
1,900333	0,5	36,041151
1,908667	0,5	34,833101
1,917000	0,5	33,878001
1,925333	0,5	32,948550
1,933667	0,5	31,971300
1,942000	0,5	31,157750
1,950333	0,5	30,799150
1,958667	0,5	30,907900
1,967000	0,5	31,052800
1,975333	0,5	30,690350
1,983667	0,5	29,861450
1,992000	0,5	28,975500
2,000333	0,5	28,362050
2,008667	0,5	28,069900
2,017000	0,5	28,032650
2,025333	0,5	28,425950
2,033667	0,5	29,478000
2,042000	0,5	31,267050
2,050333	0,5	33,337650
2,058667	0,5	35,203701
2,067000	0,5	37,344401
2,075333	0,5	40,665501
2,083667	0,5	44,866701
2,092000	0,5	48,267401
2,100333	0,5	49,057101
2,108667	0,5	46,786551
2,117000	0,5	42,440851
2,125333	0,5	37,697151
2,133667	0,5	33,701501
2,142000	0,5	30,946650
2,150333	0,5	29,537900
2,158667	0,5	29,587700
2,167000	0,5	31,014050
2,175333	0,5	32,876900
2,183667	0,5	33,447450
2,192000	0,5	32,135700
2,200333	0,5	29,812350
2,208667	0,5	27,636550
2,217000	0,5	26,024700
2,225333	0,5	24,826250
2,233667	0,5	23,919600
2,242000	0,5	23,259350
2,250333	0,5	22,779200
2,258667	0,5	22,403100
2,267000	0,5	22,219400
2,275333	0,5	22,243000
2,283667	0,5	22,385550
2,292000	0,5	22,452050
2,300333	0,5	22,526450
2,308667	0,5	22,801700
2,317000	0,5	23,305900
2,325333	0,5	23,636550
2,333667	0,5	23,410250
2,342000	0,5	22,838800
2,350333	0,5	22,353200
2,358667	0,5	22,179850
2,367000	0,5	22,295100
2,375333	0,5	22,533200
2,383667	0,5	22,815700
2,392000	0,5	23,087200
2,400333	0,5	23,259850
2,408667	0,5	23,263900
2,417000	0,5	23,087800
2,425333	0,5	22,826550
2,433667	0,5	22,569150
2,442000	0,5	22,381400
2,450333	0,5	22,230800
2,458667	0,5	22,188000
2,467000	0,5	22,635800
2,475333	0,5	23,815450
2,483667	0,5	23,975000
2,492000	0,5	22,639350
2,500333	0,5	21,296700
2,508667	0,5	20,531750
2,517000	0,5	20,122350
2,525333	0,5	19,850200
2,533667	0,5	19,646250
2,542000	0,5	19,495600
2,550333	0,5	19,371350
2,558667	0,5	19,265200
2,567000	0,5	19,166350
2,575333	0,5	19,079150
2,583667	0,5	18,998050
2,592000	0,5	18,920850
2,600333	0,5	18,845850
2,608667	0,5	18,774500
2,617000	0,5	18,752900
2,625333	0,5	18,727400
2,633667	0,5	18,739050
2,642000	0,5	18,822300
2,650333	0,5	19,019500
2,658667	0,5	19,403300
2,667000	0,5	20,022400
2,675333	0,5	20,852400
2,683667	0,5	21,827950
2,692000	0,5	22,751100
2,700333	0,5	23,490150
2,708667	0,5	23,904950
2,717000	0,5	23,947050
2,725333	0,5	23,630250
2,733667	0,5	23,078500
2,742000	0,5	22,497450
2,750333	0,5	22,096750
2,758667	0,5	22,157900
2,767000	0,5	22,940900
2,775333	0,5	24,574500
2,783667	0,5	27,171900
2,792000	0,5	30,528300
2,800333	0,5	34,079151
2,808667	0,5	37,191251
2,817000	0,5	39,320751
2,825333	0,5	40,557451
2,833667	0,5	41,173401
2,842000	0,5	41,340201
2,850333	0,5	40,862951
2,858667	0,5	39,492101
2,867000	0,5	37,128051
2,875333	0,5	34,058301
2,883667	0,5	30,750850
2,892000	0,5	27,675900
2,900333	0,5	25,145100
2,908667	0,5	23,344850
2,917000	0,5	22,344450
2,925333	0,5	22,141900
2,933667	0,5	22,830000
2,942000	0,5	24,314000
2,950333	0,5	26,241850
2,958667	0,5	28,066500
2,967000	0,5	29,171200
2,975333	0,5	29,204050
2,983667	0,5	28,148400
2,992000	0,5	26,243850
3,000333	0,5	23,938350
3,008667	0,5	21,635000
3,017000	0,5	19,638950
3,025333	0,5	18,051400
3,033667	0,5	16,886450
3,042000	0,5	16,049300
3,050333	0,5	15,431700
3,058667	0,5	14,992350
3,067000	0,5	14,659500
3,075333	0,5	14,372650
3,083667	0,5	14,156200
3,092000	0,5	13,981100
3,100333	0,5	13,852400
3,108667	0,5	13,763600
3,117000	0,5	13,706650
3,125333	0,5	13,755800
3,133667	0,5	13,911300
3,142000	0,5	14,170850
3,150333	0,5	14,468550
3,158667	0,5	14,716750
3,167000	0,5	14,802700
3,175333	0,5	14,684550
3,183667	0,5	14,364750
3,192000	0,5	13,936100
3,200333	0,5	13,451150
3,208667	0,5	13,046800
3,217000	0,5	12,685300
3,225333	0,5	12,401350
3,233667	0,5	12,190250
3,242000	0,5	12,041600
3,250333	0,5	11,938000
3,258667	0,5	11,849800
3,267000	0,5	11,769750
3,275333	0,5	11,730750
3,283667	0,5	11,704800
3,292000	0,5	11,707400
3,300333	0,5	11,742300
3,308667	0,5	11,840100
3,317000	0,5	12,040150
3,325333	0,5	12,360050
3,333667	0,5	12,805950
3,342000	0,5	13,278800
3,350333	0,5	13,695200
3,358667	0,5	13,919300
3,367000	0,5	13,850900
3,375333	0,5	13,528400
3,383667	0,5	13,041300
3,392000	0,5	12,507650
3,400333	0,5	12,025650
3,408667	0,5	11,611500
3,417000	0,5	11,303550
3,425333	0,5	11,083900
3,433667	0,5	10,953500
3,442000	0,5	10,862750
3,450333	0,5	10,807000
3,458667	0,5	10,767600
3,467000	0,5	10,725850
3,475333	0,5	10,683050
3,483667	0,5	10,617050
3,492000	0,5	10,546050
3,500333	0,5	10,469250
3,508667	0,5	10,391750
3,517000	0,5	10,299050
3,525333	0,5	10,246600
3,533667	0,5	10,213000
3,542000	0,5	10,219750
3,550333	0,5	10,220100
3,558667	0,5	10,213050
3,567000	0,5	10,172550
3,575333	0,5	10,126650
3,583667	0,5	10,058450
3,592000	0,5	9,993500
3,600333	0,5	9,920600
3,608667	0,5	9,866600
3,617000	0,5	9,821350
3,625333	0,5	9,794100
3,633667	0,5	9,778350
3,642000	0,5	9,762850
3,650333	0,5	9,777550
3,658667	0,5	9,769950
3,667000	0,5	9,747850
3,675333	0,5	9,730200
3,683667	0,5	9,706000
3,692000	0,5	9,689250
3,700333	0,5	9,657800
3,708667	0,5	9,610350
3,717000	0,5	9,583050
3,725333	0,5	9,554550
3,733667	0,5	9,537000
3,742000	0,5	9,495750
3,750333	0,5	9,461050
3,758667	0,5	9,402450
3,767000	0,5	9,349700
3,775333	0,5	9,287650
3,783667	0,5	9,220300
3,792000	0,5	9,157750
3,800333	0,5	9,133550
3,808667	0,5	9,066500
3,817000	0,5	9,023700
3,825333	0,5	8,986050
3,833667	0,5	8,953200
3,842000	0,5	8,951850
3,850333	0,5	8,910800
3,858667	0,5	8,890250
3,867000	0,5	8,860700
3,875333	0,5	8,847000
3,883667	0,5	8,825500
3,892000	0,5	8,809450
3,900333	0,5	8,786700
3,908667	0,5	8,770600
3,917000	0,5	8,749850
3,925333	0,5	8,731300
3,933667	0,5	8,695300
3,942000	0,5	8,674450
3,950333	0,5	8,670150
3,958667	0,5	8,625950
3,967000	0,5	8,594500
3,975333	0,5	8,575800
3,983667	0,5	8,558500
3,992000	0,5	8,550500
4,000333	0,5	8,509650
4,008667	0,5	8,469150
4,017000	0,5	8,447950
4,025333	0,5	8,425400
4,033667	0,5	8,414550
4,042000	0,5	8,404700
4,050333	0,5	8,404550
4,058667	0,5	8,400100
4,067000	0,5	8,402250
4,075333	0,5	8,395000
4,083667	0,5	8,381650
4,092000	0,5	8,365550
4,100333	0,5	8,345450
4,108667	0,5	8,290800
4,117000	0,5	8,254750
