File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/960.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_04h-EGS_2
Injection Number	86
Position	GD3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	08:34:13
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,569850
Signal Max.	901,644563
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,074650
0,008667	0,5	-0,083900
0,017000	0,5	-0,076500
0,025333	0,5	-0,063550
0,033667	0,5	-0,068150
0,042000	0,5	-0,064350
0,050333	0,5	-0,043000
0,058667	0,5	-0,041150
0,067000	0,5	-0,072450
0,075333	0,5	-0,059950
0,083667	0,5	-0,058300
0,092000	0,5	-0,021050
0,100333	0,5	-0,017850
0,108667	0,5	-0,023350
0,117000	0,5	-0,033800
0,125333	0,5	-0,035950
0,133667	0,5	-0,039950
0,142000	0,5	-0,042250
0,150333	0,5	-0,043050
0,158667	0,5	-0,050300
0,167000	0,5	-0,045400
0,175333	0,5	-0,058650
0,183667	0,5	-0,070300
0,192000	0,5	-0,078600
0,200333	0,5	-0,049400
0,208667	0,5	-0,074200
0,217000	0,5	-0,086150
0,225333	0,5	-0,085350
0,233667	0,5	-0,072450
0,242000	0,5	-0,049300
0,250333	0,5	-0,049850
0,258667	0,5	-0,064150
0,267000	0,5	-0,056750
0,275333	0,5	-0,062900
0,283667	0,5	-0,054300
0,292000	0,5	-0,030450
0,300333	0,5	-0,012650
0,308667	0,5	-0,031250
0,317000	0,5	-0,075250
0,325333	0,5	-0,100050
0,333667	0,5	-0,123200
0,342000	0,5	-0,118100
0,350333	0,5	-0,104950
0,358667	0,5	-0,117700
0,367000	0,5	-0,125250
0,375333	0,5	-0,113500
0,383667	0,5	-0,102200
0,392000	0,5	-0,073050
0,400333	0,5	-0,089950
0,408667	0,5	-0,086300
0,417000	0,5	-0,098700
0,425333	0,5	-0,096100
0,433667	0,5	-0,103000
0,442000	0,5	-0,096850
0,450333	0,5	-0,108250
0,458667	0,5	-0,110950
0,467000	0,5	-0,107250
0,475333	0,5	-0,112650
0,483667	0,5	-0,127800
0,492000	0,5	-0,111650
0,500333	0,5	-0,112400
0,508667	0,5	-0,125600
0,517000	0,5	-0,125350
0,525333	0,5	-0,118700
0,533667	0,5	-0,093350
0,542000	0,5	-0,090150
0,550333	0,5	-0,093500
0,558667	0,5	-0,099900
0,567000	0,5	-0,086000
0,575333	0,5	-0,093700
0,583667	0,5	-0,088100
0,592000	0,5	-0,097100
0,600333	0,5	-0,099050
0,608667	0,5	-0,102900
0,617000	0,5	-0,100500
0,625333	0,5	-0,095600
0,633667	0,5	-0,106200
0,642000	0,5	-0,089250
0,650333	0,5	-0,098250
0,658667	0,5	-0,110300
0,667000	0,5	-0,114700
0,675333	0,5	-0,104000
0,683667	0,5	-0,074600
0,692000	0,5	-0,067300
0,700333	0,5	-0,082500
0,708667	0,5	-0,072750
0,717000	0,5	-0,081350
0,725333	0,5	-0,078550
0,733667	0,5	-0,086050
0,742000	0,5	-0,080250
0,750333	0,5	-0,089950
0,758667	0,5	-0,078200
0,767000	0,5	-0,082050
0,775333	0,5	-0,081950
0,783667	0,5	-0,099300
