File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/104.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_06h-EGS_1
Injection Number	75
Position	GC1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	03:19:40
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,237600
Signal Max.	982,053865
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,025550
0,008667	0,5	-0,076000
0,017000	0,5	-0,072600
0,025333	0,5	-0,062600
0,033667	0,5	-0,033950
0,042000	0,5	-0,024500
0,050333	0,5	-0,023400
0,058667	0,5	-0,017400
0,067000	0,5	-0,020700
0,075333	0,5	-0,023300
0,083667	0,5	-0,023350
0,092000	0,5	-0,030250
0,100333	0,5	-0,031600
0,108667	0,5	-0,037600
0,117000	0,5	-0,035050
0,125333	0,5	-0,054750
0,133667	0,5	-0,032050
0,142000	0,5	-0,024050
0,150333	0,5	-0,040900
0,158667	0,5	-0,056050
0,167000	0,5	-0,046750
0,175333	0,5	-0,036400
0,183667	0,5	-0,020050
0,192000	0,5	-0,032500
0,200333	0,5	-0,032700
0,208667	0,5	-0,037100
0,217000	0,5	-0,036400
0,225333	0,5	-0,044150
0,233667	0,5	-0,047550
0,242000	0,5	-0,048750
0,250333	0,5	-0,054550
0,258667	0,5	-0,051600
0,267000	0,5	-0,056000
0,275333	0,5	-0,061950
0,283667	0,5	-0,048150
0,292000	0,5	-0,054150
0,300333	0,5	-0,047750
0,308667	0,5	-0,009450
0,317000	0,5	-0,025800
0,325333	0,5	-0,049850
0,333667	0,5	-0,069550
0,342000	0,5	-0,079950
0,350333	0,5	-0,083750
0,358667	0,5	-0,077450
0,367000	0,5	-0,082450
0,375333	0,5	-0,077550
0,383667	0,5	-0,084800
0,392000	0,5	-0,085800
0,400333	0,5	-0,084200
0,408667	0,5	-0,086100
0,417000	0,5	-0,065450
0,425333	0,5	-0,084450
