File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/396.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGI-pH6_2
Injection Number	20
Position	RB7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	01:05:29
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,556000
Signal Max.	2 461,331237
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,015050
0,008500	0,5	-0,040350
0,016833	0,5	-0,033350
0,025167	0,5	-0,026100
0,033500	0,5	-0,019450
0,041833	0,5	0,002100
0,050167	0,5	0,011300
0,058500	0,5	0,016400
0,066833	0,5	0,012350
0,075167	0,5	0,021500
0,083500	0,5	0,018000
0,091833	0,5	0,019400
0,100167	0,5	0,012300
0,108500	0,5	0,015350
0,116833	0,5	0,011800
0,125167	0,5	0,014800
0,133500	0,5	0,000750
0,141833	0,5	0,008950
0,150167	0,5	0,012750
0,158500	0,5	0,001500
0,166833	0,5	-0,001500
0,175167	0,5	0,007650
0,183500	0,5	0,022850
0,191833	0,5	0,031100
0,200167	0,5	0,031450
0,208500	0,5	0,024550
0,216833	0,5	0,028350
0,225167	0,5	0,025500
0,233500	0,5	0,024200
0,241833	0,5	0,019400
0,250167	0,5	0,019800
0,258500	0,5	0,015500
0,266833	0,5	0,024450
0,275167	0,5	0,018600
0,283500	0,5	0,011000
0,291833	0,5	0,029300
0,300167	0,5	0,051600
0,308500	0,5	0,055400
0,316833	0,5	0,039000
0,325167	0,5	0,011950
0,333500	0,5	0,013450
0,341833	0,5	0,012950
0,350167	0,5	0,013150
0,358500	0,5	0,014850
0,366833	0,5	0,022800
0,375167	0,5	0,020500
0,383500	0,5	0,019800
0,391833	0,5	0,016450
0,400167	0,5	0,011750
0,408500	0,5	0,017250
0,416833	0,5	0,014000
0,425167	0,5	0,016900
0,433500	0,5	0,001650
0,441833	0,5	0,021850
0,450167	0,5	0,005150
0,458500	0,5	0,008250
0,466833	0,5	0,005750
0,475167	0,5	0,011350
0,483500	0,5	0,029200
0,491833	0,5	0,028150
0,500167	0,5	0,017200
0,508500	0,5	0,025850
0,516833	0,5	0,022050
0,525167	0,5	0,025050
0,533500	0,5	0,028050
0,541833	0,5	0,023200
0,550167	0,5	0,026550
0,558500	0,5	0,030950
0,566833	0,5	0,030200
0,575167	0,5	0,010750
0,583500	0,5	0,009800
0,591833	0,5	0,029700
0,600167	0,5	0,015000
0,608500	0,5	0,014550
0,616833	0,5	0,021300
0,625167	0,5	0,023300
0,633500	0,5	0,050200
0,641833	0,5	0,033850
0,650167	0,5	0,044200
0,658500	0,5	0,040100
0,666833	0,5	0,047000
0,675167	0,5	0,039800
0,683500	0,5	0,040000
0,691833	0,5	0,036950
0,700167	0,5	0,038350
0,708500	0,5	0,041000
0,716833	0,5	0,040200
0,725167	0,5	0,033400
0,733500	0,5	0,037750
0,741833	0,5	0,048700
0,750167	0,5	0,033450
0,758500	0,5	0,036500
0,766833	0,5	0,036200
0,775167	0,5	0,049750
0,783500	0,5	0,068150
0,791833	0,5	0,068400
0,800167	0,5	0,060350
0,808500	0,5	0,064500
0,816833	0,5	0,059350
0,825167	0,5	0,065100
0,833500	0,5	0,060750
0,841833	0,5	0,063200
0,850167	0,5	0,063350
0,858500	0,5	0,067350
0,866833	0,5	0,064900
0,875167	0,5	0,060550
0,883500	0,5	0,069100
0,891833	0,5	0,071500
0,900167	0,5	0,059850
0,908500	0,5	0,059600
0,916833	0,5	0,067400
0,925167	0,5	0,077900
0,933500	0,5	0,100500
0,941833	0,5	0,092750
0,950167	0,5	0,093200
0,958500	0,5	0,090950
0,966833	0,5	0,094550
0,975167	0,5	0,089450
0,983500	0,5	0,094400
0,991833	0,5	0,089800
1,000167	0,5	0,093050
1,008500	0,5	0,090400
1,016833	0,5	0,087200
1,025167	0,5	0,085500
1,033500	0,5	0,106450
1,041833	0,5	0,092000
1,050167	0,5	0,083650
1,058500	0,5	0,090050
1,066833	0,5	0,096150
1,075167	0,5	0,113350
1,083500	0,5	0,120350
1,091833	0,5	0,121100
1,100167	0,5	0,121450
1,108500	0,5	0,122700
1,116833	0,5	0,119750
1,125167	0,5	0,124250
1,133500	0,5	0,121800
1,141833	0,5	0,124500
1,150167	0,5	0,118250
1,158500	0,5	0,121350
1,166833	0,5	0,105250
1,175167	0,5	0,116550
1,183500	0,5	0,117450
1,191833	0,5	0,114550
1,200167	0,5	0,107700
1,208500	0,5	0,116000
1,216833	0,5	0,124950
1,225167	0,5	0,144550
1,233500	0,5	0,143600
1,241833	0,5	0,135650
1,250167	0,5	0,134850
1,258500	0,5	0,138000
1,266833	0,5	0,134350
1,275167	0,5	0,132250
1,283500	0,5	0,131800
1,291833	0,5	0,126350
1,300167	0,5	0,127650
1,308500	0,5	0,123650
1,316833	0,5	0,117550
1,325167	0,5	0,128750
1,333500	0,5	0,127650
1,341833	0,5	0,112600
1,350167	0,5	0,112500
1,358500	0,5	0,110800
1,366833	0,5	0,124700
1,375167	0,5	0,125950
1,383500	0,5	0,125000
1,391833	0,5	0,119700
1,400167	0,5	0,121500
1,408500	0,5	0,116600
1,416833	0,5	0,117350
1,425167	0,5	0,110750
1,433500	0,5	0,104700
1,441833	0,5	0,102400
1,450167	0,5	0,099550
1,458500	0,5	0,104750
1,466833	0,5	0,087550
1,475167	0,5	0,111300
1,483500	0,5	0,091450
1,491833	0,5	0,085950
1,500167	0,5	0,080550
1,508500	0,5	0,086100
1,516833	0,5	0,097000
