File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/892.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGI-pH6_NA
Injection Number	22
Position	RC1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	02:03:00
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,669400
Signal Max.	3 000,825995
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,052000
0,008500	0,5	-0,044900
0,016833	0,5	-0,041200
0,025167	0,5	-0,030750
0,033500	0,5	-0,033250
0,041833	0,5	-0,016050
0,050167	0,5	-0,008400
0,058500	0,5	-0,024650
0,066833	0,5	-0,034500
0,075167	0,5	-0,019100
0,083500	0,5	-0,009550
0,091833	0,5	0,008900
0,100167	0,5	-0,006100
0,108500	0,5	-0,000850
0,116833	0,5	-0,005050
0,125167	0,5	0,005650
0,133500	0,5	-0,000150
0,141833	0,5	0,005500
0,150167	0,5	-0,001300
0,158500	0,5	0,000350
0,166833	0,5	0,001950
0,175167	0,5	-0,007700
0,183500	0,5	-0,015700
0,191833	0,5	-0,004000
0,200167	0,5	-0,009650
0,208500	0,5	-0,017100
0,216833	0,5	-0,016050
0,225167	0,5	-0,009950
0,233500	0,5	0,011350
0,241833	0,5	0,014500
0,250167	0,5	0,010150
0,258500	0,5	0,004950
0,266833	0,5	0,008200
0,275167	0,5	0,002850
0,283500	0,5	0,014050
0,291833	0,5	0,031450
0,300167	0,5	0,046850
0,308500	0,5	0,020750
0,316833	0,5	-0,001850
0,325167	0,5	-0,012450
0,333500	0,5	-0,017550
0,341833	0,5	-0,009050
0,350167	0,5	-0,016800
0,358500	0,5	-0,019500
0,366833	0,5	-0,017800
0,375167	0,5	-0,010000
0,383500	0,5	0,005600
0,391833	0,5	0,014800
0,400167	0,5	0,008600
0,408500	0,5	0,009050
0,416833	0,5	0,007450
0,425167	0,5	0,012750
0,433500	0,5	0,007400
0,441833	0,5	0,007350
0,450167	0,5	0,000950
0,458500	0,5	0,004550
0,466833	0,5	-0,000850
0,475167	0,5	0,000700
0,483500	0,5	0,000550
0,491833	0,5	0,013550
0,500167	0,5	-0,005950
0,508500	0,5	-0,005650
0,516833	0,5	-0,003400
0,525167	0,5	0,016100
0,533500	0,5	0,025300
0,541833	0,5	0,025550
0,550167	0,5	0,022300
0,558500	0,5	0,020750
0,566833	0,5	0,024850
0,575167	0,5	0,027100
0,583500	0,5	0,022700
0,591833	0,5	0,017150
0,600167	0,5	0,022900
0,608500	0,5	0,020800
0,616833	0,5	0,021000
0,625167	0,5	0,010850
0,633500	0,5	0,027450
0,641833	0,5	0,021300
0,650167	0,5	0,012000
0,658500	0,5	0,013550
0,666833	0,5	0,020200
0,675167	0,5	0,037600
0,683500	0,5	0,045000
0,691833	0,5	0,041250
0,700167	0,5	0,042350
0,708500	0,5	0,040100
0,716833	0,5	0,052000
0,725167	0,5	0,043200
0,733500	0,5	0,043500
0,741833	0,5	0,043250
0,750167	0,5	0,038200
0,758500	0,5	0,044700
0,766833	0,5	0,039500
0,775167	0,5	0,038150
0,783500	0,5	0,060100
0,791833	0,5	0,048350
0,800167	0,5	0,036000
0,808500	0,5	0,043450
0,816833	0,5	0,048600
0,825167	0,5	0,068250
0,833500	0,5	0,061300
0,841833	0,5	0,063400
0,850167	0,5	0,060800
0,858500	0,5	0,068950
0,866833	0,5	0,063050
0,875167	0,5	0,066550
0,883500	0,5	0,066000
0,891833	0,5	0,064950
0,900167	0,5	0,072300
0,908500	0,5	0,073600
0,916833	0,5	0,074900
0,925167	0,5	0,072750
0,933500	0,5	0,086300
0,941833	0,5	0,070950
0,950167	0,5	0,067250
0,958500	0,5	0,071900
0,966833	0,5	0,079750
0,975167	0,5	0,093800
0,983500	0,5	0,089050
0,991833	0,5	0,081300
1,000167	0,5	0,096850
1,008500	0,5	0,094400
1,016833	0,5	0,098750
1,025167	0,5	0,091450
1,033500	0,5	0,095000
1,041833	0,5	0,094800
1,050167	0,5	0,092350
1,058500	0,5	0,097950
1,066833	0,5	0,091850
1,075167	0,5	0,096600
1,083500	0,5	0,104600
1,091833	0,5	0,091000
1,100167	0,5	0,091700
1,108500	0,5	0,094700
1,116833	0,5	0,102800
1,125167	0,5	0,117750
1,133500	0,5	0,106450
1,141833	0,5	0,108950
1,150167	0,5	0,105650
1,158500	0,5	0,111350
1,166833	0,5	0,102500
1,175167	0,5	0,109450
1,183500	0,5	0,100300
1,191833	0,5	0,105500
1,200167	0,5	0,105750
1,208500	0,5	0,106500
1,216833	0,5	0,091750
1,225167	0,5	0,106200
1,233500	0,5	0,095500
1,241833	0,5	0,087100
1,250167	0,5	0,087250
1,258500	0,5	0,091650
1,266833	0,5	0,101950
1,275167	0,5	0,105100
1,283500	0,5	0,106550
1,291833	0,5	0,102700
1,300167	0,5	0,096850
1,308500	0,5	0,092950
1,316833	0,5	0,091450
1,325167	0,5	0,086200
1,333500	0,5	0,086000
1,341833	0,5	0,078450
1,350167	0,5	0,078150
1,358500	0,5	0,067650
1,366833	0,5	0,069650
1,375167	0,5	0,071450
1,383500	0,5	0,062850
1,391833	0,5	0,054000
1,400167	0,5	0,053300
1,408500	0,5	0,055850
1,416833	0,5	0,068800
1,425167	0,5	0,064500
1,433500	0,5	0,059250
1,441833	0,5	0,058750
1,450167	0,5	0,052800
1,458500	0,5	0,047850
1,466833	0,5	0,042350
1,475167	0,5	0,044400
1,483500	0,5	0,036100
1,491833	0,5	0,032000
1,500167	0,5	0,027050
1,508500	0,5	0,027650
1,516833	0,5	0,023050
1,525167	0,5	0,024500
1,533500	0,5	0,001750
1,541833	0,5	0,003100
1,550167	0,5	0,008450
1,558500	0,5	0,061200
1,566833	0,5	0,214800
1,575167	0,5	1,122700
1,583500	0,5	6,889000
1,591833	0,5	33,235950
1,600167	0,5	128,976852
1,608500	0,5	418,280556
1,616833	0,5	1 037,149015
