File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/727.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGI_NA
Injection Number	59
Position	GA7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	19:40:08
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,233000
Signal Max.	2 381,092735
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,073500
0,008667	0,5	-0,063850
0,017000	0,5	-0,057250
0,025333	0,5	-0,048800
0,033667	0,5	-0,031950
0,042000	0,5	-0,045450
0,050333	0,5	-0,036400
0,058667	0,5	-0,031800
0,067000	0,5	-0,046200
0,075333	0,5	-0,051250
0,083667	0,5	-0,049650
0,092000	0,5	-0,028000
0,100333	0,5	-0,006500
0,108667	0,5	-0,007750
0,117000	0,5	-0,012250
0,125333	0,5	-0,012750
0,133667	0,5	-0,011050
0,142000	0,5	-0,015700
0,150333	0,5	-0,019200
0,158667	0,5	-0,022650
0,167000	0,5	-0,028750
0,175333	0,5	-0,022350
0,183667	0,5	-0,036250
0,192000	0,5	-0,040200
0,200333	0,5	-0,032350
0,208667	0,5	-0,025250
0,217000	0,5	-0,049500
0,225333	0,5	-0,043650
0,233667	0,5	-0,049650
0,242000	0,5	-0,026550
0,250333	0,5	-0,012750
0,258667	0,5	-0,013200
0,267000	0,5	-0,020350
0,275333	0,5	-0,019500
0,283667	0,5	-0,026050
0,292000	0,5	0,002550
0,300333	0,5	0,016850
0,308667	0,5	-0,002300
0,317000	0,5	-0,035550
0,325333	0,5	-0,047250
0,333667	0,5	-0,050500
0,342000	0,5	-0,056400
0,350333	0,5	-0,044050
0,358667	0,5	-0,056050
0,367000	0,5	-0,064750
0,375333	0,5	-0,065050
0,383667	0,5	-0,057200
0,392000	0,5	-0,040500
0,400333	0,5	-0,040450
0,408667	0,5	-0,047350
0,417000	0,5	-0,033950
0,425333	0,5	-0,040500
0,433667	0,5	-0,038600
0,442000	0,5	-0,050800
0,450333	0,5	-0,045250
0,458667	0,5	-0,051900
0,467000	0,5	-0,049600
0,475333	0,5	-0,048550
0,483667	0,5	-0,059100
0,492000	0,5	-0,065200
0,500333	0,5	-0,043050
0,508667	0,5	-0,062950
0,517000	0,5	-0,064650
0,525333	0,5	-0,062200
0,533667	0,5	-0,061200
0,542000	0,5	-0,025600
0,550333	0,5	-0,039350
0,558667	0,5	-0,036250
0,567000	0,5	-0,038250
0,575333	0,5	-0,028100
0,583667	0,5	-0,036650
0,592000	0,5	-0,036250
0,600333	0,5	-0,046900
0,608667	0,5	-0,038950
0,617000	0,5	-0,036000
0,625333	0,5	-0,034550
0,633667	0,5	-0,044850
0,642000	0,5	-0,041350
0,650333	0,5	-0,029850
0,658667	0,5	-0,049500
0,667000	0,5	-0,053050
0,675333	0,5	-0,046100
0,683667	0,5	-0,035700
0,692000	0,5	-0,016550
0,700333	0,5	-0,024650
0,708667	0,5	-0,025500
0,717000	0,5	-0,022050
0,725333	0,5	-0,028550
0,733667	0,5	-0,023200
0,742000	0,5	-0,028800
0,750333	0,5	-0,028750
0,758667	0,5	-0,047200
0,767000	0,5	-0,032500
0,775333	0,5	-0,021950
0,783667	0,5	-0,031000
0,792000	0,5	-0,028200
0,800333	0,5	-0,026000
0,808667	0,5	-0,041450
0,817000	0,5	-0,040200
0,825333	0,5	-0,037000
0,833667	0,5	-0,018850
0,842000	0,5	-0,009550
0,850333	0,5	-0,017950
0,858667	0,5	-0,014000
0,867000	0,5	-0,014750
0,875333	0,5	-0,014000
0,883667	0,5	-0,018450
0,892000	0,5	-0,015450
0,900333	0,5	-0,021600
0,908667	0,5	-0,014350
0,917000	0,5	-0,019900
0,925333	0,5	-0,017050
0,933667	0,5	-0,029950
0,942000	0,5	-0,006150
0,950333	0,5	-0,023350
0,958667	0,5	-0,030200
0,967000	0,5	-0,031100
0,975333	0,5	-0,018000
0,983667	0,5	-0,004550
0,992000	0,5	0,009300
1,000333	0,5	0,009100
1,008667	0,5	0,005950
1,017000	0,5	0,002800
1,025333	0,5	-0,000800
1,033667	0,5	0,000150
1,042000	0,5	-0,005150
1,050333	0,5	-0,005350
1,058667	0,5	-0,001300
1,067000	0,5	0,002300
1,075333	0,5	-0,008550
1,083667	0,5	-0,009600
1,092000	0,5	0,001750
1,100333	0,5	-0,009850
