File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/770.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGS-pH6-Dil1-5_3
Injection Number	54
Position	RA8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	17:18:09
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,181700
Signal Max.	147,965402
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,001800
0,008500	0,5	-0,062200
0,016833	0,5	-0,056850
0,025167	0,5	-0,049650
0,033500	0,5	-0,043650
0,041833	0,5	-0,033950
0,050167	0,5	-0,020650
0,058500	0,5	-0,022700
0,066833	0,5	-0,001000
0,075167	0,5	-0,026650
0,083500	0,5	-0,034950
0,091833	0,5	-0,031450
0,100167	0,5	-0,018750
0,108500	0,5	0,000650
0,116833	0,5	-0,006050
0,125167	0,5	-0,005850
0,133500	0,5	-0,011350
0,141833	0,5	-0,001100
0,150167	0,5	-0,008600
0,158500	0,5	-0,008850
0,166833	0,5	-0,015550
0,175167	0,5	-0,010750
0,183500	0,5	-0,014500
0,191833	0,5	-0,009300
0,200167	0,5	-0,029500
0,208500	0,5	-0,012050
0,216833	0,5	-0,011850
0,225167	0,5	-0,030350
0,233500	0,5	-0,035450
0,241833	0,5	-0,024100
0,250167	0,5	-0,015300
0,258500	0,5	-0,004900
0,266833	0,5	-0,015500
0,275167	0,5	-0,010950
0,283500	0,5	-0,014400
0,291833	0,5	-0,009800
0,300167	0,5	-0,002900
0,308500	0,5	0,001450
0,316833	0,5	-0,009550
0,325167	0,5	-0,027100
0,333500	0,5	-0,023300
0,341833	0,5	-0,023950
0,350167	0,5	-0,028450
0,358500	0,5	-0,018050
0,366833	0,5	-0,026350
0,375167	0,5	-0,037050
0,383500	0,5	-0,039700
0,391833	0,5	-0,034850
0,400167	0,5	-0,014750
0,408500	0,5	-0,016200
0,416833	0,5	-0,017100
0,425167	0,5	-0,019000
0,433500	0,5	-0,010950
0,441833	0,5	-0,021550
0,450167	0,5	-0,019500
0,458500	0,5	-0,021350
0,466833	0,5	-0,026450
0,475167	0,5	-0,023750
0,483500	0,5	-0,025850
0,491833	0,5	-0,021600
0,500167	0,5	-0,037450
0,508500	0,5	-0,021550
0,516833	0,5	-0,040150
0,525167	0,5	-0,035550
0,533500	0,5	-0,035300
0,541833	0,5	-0,024700
0,550167	0,5	-0,006700
0,558500	0,5	-0,008150
0,566833	0,5	-0,018400
0,575167	0,5	-0,009000
0,583500	0,5	-0,014200
0,591833	0,5	-0,009350
0,600167	0,5	-0,017600
0,608500	0,5	-0,014600
0,616833	0,5	-0,016400
0,625167	0,5	-0,008850
0,633500	0,5	-0,012200
0,641833	0,5	-0,023050
0,650167	0,5	-0,024050
0,658500	0,5	-0,007000
0,666833	0,5	-0,026000
0,675167	0,5	-0,021000
0,683500	0,5	-0,021500
0,691833	0,5	-0,009200
0,700167	0,5	0,015250
0,708500	0,5	0,009900
0,716833	0,5	0,020700
0,725167	0,5	0,012750
0,733500	0,5	0,014850
0,741833	0,5	0,010250
0,750167	0,5	0,011700
0,758500	0,5	0,000250
0,766833	0,5	0,007450
0,775167	0,5	0,011500
0,783500	0,5	-0,000850
0,791833	0,5	-0,006950
0,800167	0,5	0,001950
0,808500	0,5	0,002300
0,816833	0,5	-0,006300
0,825167	0,5	-0,000800
0,833500	0,5	-0,001250
0,841833	0,5	0,019450
0,850167	0,5	0,031850
0,858500	0,5	0,036800
0,866833	0,5	0,032000
0,875167	0,5	0,036600
0,883500	0,5	0,026500
0,891833	0,5	0,033250
0,900167	0,5	0,028250
0,908500	0,5	0,031550
0,916833	0,5	0,029350
0,925167	0,5	0,031900
0,933500	0,5	0,015500
0,941833	0,5	0,014700
0,950167	0,5	0,026750
0,958500	0,5	0,023900
0,966833	0,5	0,012600
0,975167	0,5	0,020050
0,983500	0,5	0,021050
0,991833	0,5	0,044000
1,000167	0,5	0,049650
1,008500	0,5	0,049400
1,016833	0,5	0,052050
1,025167	0,5	0,051050
1,033500	0,5	0,052600
1,041833	0,5	0,045000
1,050167	0,5	0,047650
1,058500	0,5	0,039600
1,066833	0,5	0,046950
1,075167	0,5	0,045750
1,083500	0,5	0,040600
1,091833	0,5	0,039450
1,100167	0,5	0,065450
1,108500	0,5	0,044400
1,116833	0,5	0,040700
1,125167	0,5	0,039750
1,133500	0,5	0,052600
1,141833	0,5	0,069700
1,150167	0,5	0,067400
1,158500	0,5	0,061150
1,166833	0,5	0,065800
1,175167	0,5	0,062250
1,183500	0,5	0,063650
1,191833	0,5	0,064950
1,200167	0,5	0,067050
1,208500	0,5	0,067250
1,216833	0,5	0,063050
1,225167	0,5	0,064500
1,233500	0,5	0,047550
1,241833	0,5	0,054950
1,250167	0,5	0,065050
1,258500	0,5	0,051450
1,266833	0,5	0,044200
1,275167	0,5	0,054900
1,283500	0,5	0,059300
1,291833	0,5	0,078950
1,300167	0,5	0,068500
1,308500	0,5	0,071700
1,316833	0,5	0,068500
1,325167	0,5	0,068550
1,333500	0,5	0,066600
1,341833	0,5	0,064650
1,350167	0,5	0,054950
1,358500	0,5	0,051950
1,366833	0,5	0,050850
1,375167	0,5	0,040450
1,383500	0,5	0,027950
1,391833	0,5	0,049150
1,400167	0,5	0,038800
1,408500	0,5	0,023650
1,416833	0,5	0,023900
1,425167	0,5	0,024900
1,433500	0,5	0,044200
1,441833	0,5	0,044250
1,450167	0,5	0,040700
1,458500	0,5	0,030350
1,466833	0,5	0,032200
1,475167	0,5	0,023550
1,483500	0,5	0,026650
1,491833	0,5	0,017750
1,500167	0,5	0,014150
1,508500	0,5	0,010550
1,516833	0,5	0,007700
1,525167	0,5	-0,003600
1,533500	0,5	-0,015100
1,541833	0,5	-0,010000
1,550167	0,5	-0,026900
1,558500	0,5	-0,043300
1,566833	0,5	-0,107500
1,575167	0,5	-0,303450
1,583500	0,5	-0,732300
1,591833	0,5	-1,046400
1,600167	0,5	-0,098100
1,608500	0,5	4,587400
1,616833	0,5	18,358850
1,625167	0,5	49,184251
1,633500	0,5	95,445851
1,641833	0,5	136,145102
1,650167	0,5	147,965402
1,658500	0,5	130,215102
1,666833	0,5	100,186701
1,675167	0,5	72,455951
1,683500	0,5	51,883201
1,691833	0,5	37,958901
1,700167	0,5	28,811450
1,708500	0,5	22,918400
1,716833	0,5	19,090950
1,725167	0,5	16,438750
1,733500	0,5	14,386200
1,741833	0,5	12,713100
1,750167	0,5	11,389850
1,758500	0,5	10,381550
1,766833	0,5	9,705550
1,775167	0,5	9,402900
1,783500	0,5	9,516250
1,791833	0,5	9,881400
1,800167	0,5	10,199400
1,808500	0,5	10,159100
1,816833	0,5	9,707750
1,825167	0,5	9,025800
1,833500	0,5	8,351800
1,841833	0,5	7,753100
1,850167	0,5	7,266500
1,858500	0,5	6,904300
1,866833	0,5	6,665300
1,875167	0,5	6,554900
1,883500	0,5	6,590450
1,891833	0,5	6,749500
1,900167	0,5	6,875500
1,908500	0,5	6,765950
1,916833	0,5	6,453200
1,925167	0,5	6,107850
1,933500	0,5	5,841350
1,941833	0,5	5,717100
1,950167	0,5	5,736700
1,958500	0,5	5,937700
1,966833	0,5	6,292800
1,975167	0,5	6,817200
1,983500	0,5	7,430200
1,991833	0,5	7,808650
2,000167	0,5	7,737450
2,008500	0,5	7,361800
2,016833	0,5	6,979600
2,025167	0,5	6,800350
2,033500	0,5	6,775100
2,041833	0,5	6,874400
2,050167	0,5	7,109950
2,058500	0,5	7,562550
2,066833	0,5	8,080150
2,075167	0,5	8,310600
2,083500	0,5	8,067750
2,091833	0,5	7,547800
2,100167	0,5	7,051800
2,108500	0,5	6,686450
2,116833	0,5	6,491400
2,125167	0,5	6,509300
2,133500	0,5	6,875850
2,141833	0,5	7,638550
2,150167	0,5	8,667900
2,158500	0,5	9,382650
2,166833	0,5	9,366850
2,175167	0,5	8,797500
2,183500	0,5	8,110150
2,191833	0,5	7,572600
2,200167	0,5	7,227100
2,208500	0,5	7,008600
2,216833	0,5	6,898300
2,225167	0,5	6,848300
2,233500	0,5	6,829500
2,241833	0,5	6,822800
2,250167	0,5	6,846550
2,258500	0,5	6,893750
2,266833	0,5	6,947100
2,275167	0,5	7,051550
2,283500	0,5	7,235950
2,291833	0,5	7,509350
2,300167	0,5	7,891000
2,308500	0,5	8,272250
2,316833	0,5	8,482900
2,325167	0,5	8,410500
2,333500	0,5	8,102400
2,341833	0,5	7,824050
2,350167	0,5	7,667550
2,358500	0,5	7,629600
2,366833	0,5	7,647650
2,375167	0,5	7,718850
2,383500	0,5	7,823900
2,391833	0,5	7,982050
2,400167	0,5	8,185750
2,408500	0,5	8,430650
2,416833	0,5	8,745450
2,425167	0,5	9,245500
2,433500	0,5	9,983900
2,441833	0,5	10,958600
2,450167	0,5	11,892250
2,458500	0,5	12,433200
2,466833	0,5	12,411400
2,475167	0,5	11,951500
2,483500	0,5	11,365450
2,491833	0,5	10,890150
2,500167	0,5	10,665400
2,508500	0,5	10,741500
2,516833	0,5	11,209950
2,525167	0,5	12,224350
2,533500	0,5	14,022250
2,541833	0,5	16,741150
2,550167	0,5	20,207350
2,558500	0,5	23,606750
2,566833	0,5	25,676600
2,575167	0,5	25,507450
2,583500	0,5	23,298000
2,591833	0,5	20,204300
2,600167	0,5	17,400650
2,608500	0,5	15,580000
2,616833	0,5	15,001700
2,625167	0,5	15,645650
2,633500	0,5	17,165050
2,641833	0,5	18,813350
2,650167	0,5	19,747350
2,658500	0,5	19,516750
2,666833	0,5	18,226200
2,675167	0,5	16,333000
2,683500	0,5	14,325800
2,691833	0,5	12,585850
2,700167	0,5	11,236750
2,708500	0,5	10,278700
2,716833	0,5	9,610200
2,725167	0,5	9,157750
2,733500	0,5	8,810950
2,741833	0,5	8,575400
2,750167	0,5	8,389600
2,758500	0,5	8,262650
2,766833	0,5	8,177050
2,775167	0,5	8,148350
2,783500	0,5	8,207550
2,791833	0,5	8,379700
2,800167	0,5	8,607400
2,808500	0,5	8,786200
2,816833	0,5	8,802700
2,825167	0,5	8,621350
2,833500	0,5	8,277550
2,841833	0,5	7,866000
2,850167	0,5	7,486850
2,858500	0,5	7,180800
2,866833	0,5	6,992350
2,875167	0,5	6,883150
2,883500	0,5	6,896650
2,891833	0,5	7,094350
2,900167	0,5	7,528200
2,908500	0,5	8,235200
2,916833	0,5	9,100900
2,925167	0,5	9,850950
2,933500	0,5	10,210700
2,941833	0,5	10,012700
2,950167	0,5	9,356050
2,958500	0,5	8,456750
2,966833	0,5	7,564250
2,975167	0,5	6,822900
2,983500	0,5	6,261000
2,991833	0,5	5,860150
3,000167	0,5	5,544800
3,008500	0,5	5,317000
3,016833	0,5	5,149450
3,025167	0,5	4,987500
3,033500	0,5	4,845550
3,041833	0,5	4,731050
3,050167	0,5	4,626600
3,058500	0,5	4,554000
3,066833	0,5	4,464700
3,075167	0,5	4,402300
3,083500	0,5	4,333750
3,091833	0,5	4,284950
3,100167	0,5	4,232700
3,108500	0,5	4,199300
3,116833	0,5	4,164350
3,125167	0,5	4,118550
3,133500	0,5	4,067300
3,141833	0,5	3,993000
3,150167	0,5	3,901600
3,158500	0,5	3,800400
3,166833	0,5	3,711450
3,175167	0,5	3,602250
3,183500	0,5	3,511350
3,191833	0,5	3,432950
3,200167	0,5	3,369350
3,208500	0,5	3,324400
3,216833	0,5	3,269150
3,225167	0,5	3,209800
3,233500	0,5	3,177100
3,241833	0,5	3,140450
3,250167	0,5	3,120350
3,258500	0,5	3,099600
3,266833	0,5	3,089450
3,275167	0,5	3,062000
3,283500	0,5	3,029150
3,291833	0,5	2,970250
3,300167	0,5	2,899850
3,308500	0,5	2,832700
3,316833	0,5	2,766550
3,325167	0,5	2,690700
3,333500	0,5	2,632450
3,341833	0,5	2,587800
3,350167	0,5	2,547300
3,358500	0,5	2,516450
3,366833	0,5	2,465650
3,375167	0,5	2,430400
3,383500	0,5	2,390950
3,391833	0,5	2,359500
3,400167	0,5	2,325850
3,408500	0,5	2,299200
3,416833	0,5	2,263800
3,425167	0,5	2,238650
3,433500	0,5	2,212250
3,441833	0,5	2,192350
3,450167	0,5	2,161650
3,458500	0,5	2,153400
3,466833	0,5	2,123800
3,475167	0,5	2,100550
3,483500	0,5	2,080850
3,491833	0,5	2,070900
3,500167	0,5	2,077050
3,508500	0,5	2,066250
3,516833	0,5	2,045500
3,525167	0,5	2,026050
3,533500	0,5	2,009250
3,541833	0,5	1,989500
3,550167	0,5	1,964550
3,558500	0,5	1,943200
3,566833	0,5	1,924800
3,575167	0,5	1,906800
3,583500	0,5	1,895150
3,591833	0,5	1,872650
3,600167	0,5	1,866250
3,608500	0,5	1,859600
3,616833	0,5	1,844050
3,625167	0,5	1,834400
3,633500	0,5	1,830450
3,641833	0,5	1,836700
3,650167	0,5	1,854500
3,658500	0,5	1,863700
3,666833	0,5	1,870750
3,675167	0,5	1,885000
3,683500	0,5	1,916600
3,691833	0,5	1,967150
3,700167	0,5	2,041050
3,708500	0,5	2,134400
3,716833	0,5	2,245900
3,725167	0,5	2,381450
3,733500	0,5	2,499250
3,741833	0,5	2,601200
3,750167	0,5	2,661150
3,758500	0,5	2,670800
3,766833	0,5	2,607450
3,775167	0,5	2,517900
3,783500	0,5	2,398350
3,791833	0,5	2,289450
3,800167	0,5	2,183150
3,808500	0,5	2,087600
3,816833	0,5	2,002600
3,825167	0,5	1,943600
3,833500	0,5	1,893500
3,841833	0,5	1,864150
3,850167	0,5	1,839650
3,858500	0,5	1,822050
3,866833	0,5	1,808750
3,875167	0,5	1,801850
3,883500	0,5	1,800450
3,891833	0,5	1,798150
3,900167	0,5	1,807650
3,908500	0,5	1,796050
3,916833	0,5	1,783000
3,925167	0,5	1,783150
3,933500	0,5	1,783200
3,941833	0,5	1,792400
3,950167	0,5	1,795650
3,958500	0,5	1,786300
3,966833	0,5	1,784600
3,975167	0,5	1,772900
3,983500	0,5	1,770150
3,991833	0,5	1,767050
4,000167	0,5	1,765300
4,008500	0,5	1,758900
4,016833	0,5	1,759550
4,025167	0,5	1,757900
4,033500	0,5	1,747900
4,041833	0,5	1,751400
4,050167	0,5	1,764700
4,058500	0,5	1,754300
4,066833	0,5	1,749900
4,075167	0,5	1,751800
4,083500	0,5	1,759750
4,091833	0,5	1,778600
4,100167	0,5	1,772750
4,108500	0,5	1,782250
4,116833	0,5	1,782700
4,125167	0,5	1,791750
4,133500	0,5	1,799000
4,141833	0,5	1,813650
4,150167	0,5	1,825750
4,158500	0,5	1,847700
4,166833	0,5	1,871900
4,175167	0,5	1,896000
4,183500	0,5	1,907200
4,191833	0,5	1,918450
4,200167	0,5	1,923300
4,208500	0,5	1,893950
4,216833	0,5	1,868100
4,225167	0,5	1,843100
4,233500	0,5	1,821250
4,241833	0,5	1,806250
4,250167	0,5	1,782050
4,258500	0,5	1,761900
4,266833	0,5	1,751050
4,275167	0,5	1,735400
4,283500	0,5	1,735800
4,291833	0,5	1,726050
4,300167	0,5	1,721150
4,308500	0,5	1,716750
4,316833	0,5	1,718800
4,325167	0,5	1,730200
4,333500	0,5	1,731350
4,341833	0,5	1,733750
4,350167	0,5	1,738300
4,358500	0,5	1,729050
4,366833	0,5	1,732250
4,375167	0,5	1,738050
4,383500	0,5	1,751700
4,391833	0,5	1,760400
4,400167	0,5	1,754850
4,408500	0,5	1,755350
4,416833	0,5	1,756050
4,425167	0,5	1,758600
4,433500	0,5	1,756150
4,441833	0,5	1,761100
4,450167	0,5	1,759150
4,458500	0,5	1,765700
4,466833	0,5	1,760250
4,475167	0,5	1,768100
4,483500	0,5	1,761900
4,491833	0,5	1,778600
4,500167	0,5	1,767300
4,508500	0,5	1,762500
4,516833	0,5	1,760950
4,525167	0,5	1,772050
4,533500	0,5	1,786150
4,541833	0,5	1,791800
4,550167	0,5	1,791200
4,558500	0,5	1,791050
4,566833	0,5	1,786350
4,575167	0,5	1,785450
4,583500	0,5	1,769900
4,591833	0,5	1,747450
4,600167	0,5	1,726950
4,608500	0,5	1,700050
4,616833	0,5	1,669600
4,625167	0,5	1,626450
4,633500	0,5	1,590650
4,641833	0,5	1,553350
4,650167	0,5	1,509550
4,658500	0,5	1,469100
4,666833	0,5	1,445000
4,675167	0,5	1,425300
4,683500	0,5	1,419950
4,691833	0,5	1,408750
4,700167	0,5	1,396250
4,708500	0,5	1,378500
