File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/531.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGS-pH6-Std0.0025_1
Injection Number	52
Position	RA6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	16:20:37
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,087800
Signal Max.	155,158652
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,008050
0,008500	0,5	-0,048600
0,016833	0,5	-0,048700
0,025167	0,5	-0,043400
0,033500	0,5	-0,040350
0,041833	0,5	-0,021650
0,050167	0,5	0,003400
0,058500	0,5	0,013850
0,066833	0,5	0,006000
0,075167	0,5	0,007250
0,083500	0,5	0,012150
0,091833	0,5	0,016850
0,100167	0,5	0,006850
0,108500	0,5	0,010450
0,116833	0,5	-0,000150
0,125167	0,5	0,007650
0,133500	0,5	0,005600
0,141833	0,5	0,008550
0,150167	0,5	0,015050
0,158500	0,5	0,019100
0,166833	0,5	-0,003850
0,175167	0,5	-0,000650
0,183500	0,5	0,005200
0,191833	0,5	0,026900
0,200167	0,5	0,033000
0,208500	0,5	0,030150
0,216833	0,5	0,032250
0,225167	0,5	0,031550
0,233500	0,5	0,030450
0,241833	0,5	0,024950
0,250167	0,5	0,030100
0,258500	0,5	0,020850
0,266833	0,5	0,026350
0,275167	0,5	0,031550
0,283500	0,5	0,032300
0,291833	0,5	0,019100
0,300167	0,5	0,060250
0,308500	0,5	0,046300
0,316833	0,5	0,024200
0,325167	0,5	0,014800
0,333500	0,5	0,017900
0,341833	0,5	0,035250
0,350167	0,5	0,039150
0,358500	0,5	0,037200
0,366833	0,5	0,040350
0,375167	0,5	0,045300
0,383500	0,5	0,045800
0,391833	0,5	0,042950
0,400167	0,5	0,039050
0,408500	0,5	0,042800
0,416833	0,5	0,038400
0,425167	0,5	0,044550
0,433500	0,5	0,031000
0,441833	0,5	0,027550
0,450167	0,5	0,052800
0,458500	0,5	0,039000
0,466833	0,5	0,039450
0,475167	0,5	0,046950
0,483500	0,5	0,045650
0,491833	0,5	0,077300
0,500167	0,5	0,064800
0,508500	0,5	0,073500
0,516833	0,5	0,064100
0,525167	0,5	0,073300
0,533500	0,5	0,071300
0,541833	0,5	0,073050
0,550167	0,5	0,069200
0,558500	0,5	0,072150
0,566833	0,5	0,081800
0,575167	0,5	0,081950
0,583500	0,5	0,076700
0,591833	0,5	0,080800
0,600167	0,5	0,100350
0,608500	0,5	0,073850
0,616833	0,5	0,075050
0,625167	0,5	0,080200
0,633500	0,5	0,097650
0,641833	0,5	0,113700
0,650167	0,5	0,115050
0,658500	0,5	0,113250
0,666833	0,5	0,120950
0,675167	0,5	0,112250
0,683500	0,5	0,115350
0,691833	0,5	0,114300
0,700167	0,5	0,118500
0,708500	0,5	0,117700
0,716833	0,5	0,119650
0,725167	0,5	0,127400
0,733500	0,5	0,127000
0,741833	0,5	0,133100
0,750167	0,5	0,137450
0,758500	0,5	0,125750
0,766833	0,5	0,126600
0,775167	0,5	0,136850
0,783500	0,5	0,151550
0,791833	0,5	0,168800
0,800167	0,5	0,155000
0,808500	0,5	0,163450
0,816833	0,5	0,163550
0,825167	0,5	0,171100
0,833500	0,5	0,165850
0,841833	0,5	0,168650
0,850167	0,5	0,169850
0,858500	0,5	0,177100
0,866833	0,5	0,173800
0,875167	0,5	0,178350
0,883500	0,5	0,168950
0,891833	0,5	0,190250
0,900167	0,5	0,180250
0,908500	0,5	0,174750
0,916833	0,5	0,177550
0,925167	0,5	0,190000
0,933500	0,5	0,206200
0,941833	0,5	0,219400
0,950167	0,5	0,227550
0,958500	0,5	0,221200
0,966833	0,5	0,219650
0,975167	0,5	0,218000
0,983500	0,5	0,221800
0,991833	0,5	0,217800
1,000167	0,5	0,225150
1,008500	0,5	0,227700
1,016833	0,5	0,233000
1,025167	0,5	0,218700
1,033500	0,5	0,226300
1,041833	0,5	0,236800
1,050167	0,5	0,227150
1,058500	0,5	0,227700
1,066833	0,5	0,233750
1,075167	0,5	0,242650
1,083500	0,5	0,260450
1,091833	0,5	0,268200
1,100167	0,5	0,269000
1,108500	0,5	0,267650
1,116833	0,5	0,266600
1,125167	0,5	0,268950
1,133500	0,5	0,271600
1,141833	0,5	0,273250
1,150167	0,5	0,271650
1,158500	0,5	0,274650
1,166833	0,5	0,267150
1,175167	0,5	0,267700
1,183500	0,5	0,280750
1,191833	0,5	0,284000
1,200167	0,5	0,267800
1,208500	0,5	0,271250
1,216833	0,5	0,268000
1,225167	0,5	0,290300
1,233500	0,5	0,301300
1,241833	0,5	0,305450
1,250167	0,5	0,299150
1,258500	0,5	0,304600
1,266833	0,5	0,301250
1,275167	0,5	0,299150
1,283500	0,5	0,293100
1,291833	0,5	0,288700
1,300167	0,5	0,291100
1,308500	0,5	0,289700
1,316833	0,5	0,295600
1,325167	0,5	0,283450
1,333500	0,5	0,306450
1,341833	0,5	0,287300
1,350167	0,5	0,277850
1,358500	0,5	0,272300
1,366833	0,5	0,279300
1,375167	0,5	0,294150
1,383500	0,5	0,299050
1,391833	0,5	0,287400
1,400167	0,5	0,292850
1,408500	0,5	0,284650
1,416833	0,5	0,285050
1,425167	0,5	0,286750
1,433500	0,5	0,286750
1,441833	0,5	0,276350
1,450167	0,5	0,275550
1,458500	0,5	0,275750
1,466833	0,5	0,265600
1,475167	0,5	0,260000
1,483500	0,5	0,281800
1,491833	0,5	0,259350
1,500167	0,5	0,255350
1,508500	0,5	0,255950
1,516833	0,5	0,256300
1,525167	0,5	0,280050
1,533500	0,5	0,265200
1,541833	0,5	0,266300
1,550167	0,5	0,255500
1,558500	0,5	0,240000
1,566833	0,5	0,146750
1,575167	0,5	-0,117050
1,583500	0,5	-0,583500
1,591833	0,5	-0,629750
1,600167	0,5	1,236000
1,608500	0,5	8,297250
1,616833	0,5	27,504550
1,625167	0,5	66,199351
1,633500	0,5	116,665702
1,641833	0,5	152,755602
1,650167	0,5	155,158652
1,658500	0,5	130,553502
1,666833	0,5	98,291951
