File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/432.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGS-pH6_1
Injection Number	11
Position	RA6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	20:46:24
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,398300
Signal Max.	614,452809
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,008250
0,008667	0,5	-0,036700
0,017000	0,5	-0,023250
0,025333	0,5	-0,015200
0,033667	0,5	-0,012050
0,042000	0,5	0,001300
0,050333	0,5	0,001850
0,058667	0,5	0,007850
0,067000	0,5	0,001800
0,075333	0,5	0,007850
0,083667	0,5	0,005900
0,092000	0,5	0,008050
0,100333	0,5	0,017100
0,108667	0,5	0,014900
0,117000	0,5	0,006750
0,125333	0,5	0,025200
0,133667	0,5	-0,002300
0,142000	0,5	0,003000
0,150333	0,5	0,012800
0,158667	0,5	0,021200
0,167000	0,5	0,040000
0,175333	0,5	0,025050
0,183667	0,5	0,030750
0,192000	0,5	0,028850
0,200333	0,5	0,032450
0,208667	0,5	0,024600
0,217000	0,5	0,031500
0,225333	0,5	0,023250
0,233667	0,5	0,022950
0,242000	0,5	0,026350
0,250333	0,5	0,027200
0,258667	0,5	0,013000
0,267000	0,5	0,025250
0,275333	0,5	0,027650
0,283667	0,5	0,013900
0,292000	0,5	0,025000
0,300333	0,5	0,055400
0,308667	0,5	0,074350
0,317000	0,5	0,062250
0,325333	0,5	0,038750
0,333667	0,5	0,025850
0,342000	0,5	0,028700
0,350333	0,5	0,028600
0,358667	0,5	0,031800
0,367000	0,5	0,029000
0,375333	0,5	0,028950
0,383667	0,5	0,028800
0,392000	0,5	0,033950
0,400333	0,5	0,030850
0,408667	0,5	0,033800
0,417000	0,5	0,034650
0,425333	0,5	0,029300
0,433667	0,5	0,019900
0,442000	0,5	0,030200
0,450333	0,5	0,033400
0,458667	0,5	0,049200
0,467000	0,5	0,059800
0,475333	0,5	0,049250
0,483667	0,5	0,048750
0,492000	0,5	0,047150
0,500333	0,5	0,051050
0,508667	0,5	0,045200
0,517000	0,5	0,049100
0,525333	0,5	0,040700
0,533667	0,5	0,047700
0,542000	0,5	0,048650
0,550333	0,5	0,051500
0,558667	0,5	0,052500
0,567000	0,5	0,067800
0,575333	0,5	0,048800
0,583667	0,5	0,042150
0,592000	0,5	0,049400
0,600333	0,5	0,061850
0,608667	0,5	0,071550
0,617000	0,5	0,071000
0,625333	0,5	0,068000
0,633667	0,5	0,077000
0,642000	0,5	0,075950
0,650333	0,5	0,074950
0,658667	0,5	0,074250
0,667000	0,5	0,073350
0,675333	0,5	0,074450
0,683667	0,5	0,071450
0,692000	0,5	0,083550
0,700333	0,5	0,069450
0,708667	0,5	0,088800
0,717000	0,5	0,086500
0,725333	0,5	0,073050
0,733667	0,5	0,075100
0,742000	0,5	0,083050
0,750333	0,5	0,094800
0,758667	0,5	0,109150
0,767000	0,5	0,096150
0,775333	0,5	0,104100
0,783667	0,5	0,096300
0,792000	0,5	0,104400
0,800333	0,5	0,102350
0,808667	0,5	0,109150
0,817000	0,5	0,106350
0,825333	0,5	0,105700
0,833667	0,5	0,117050
0,842000	0,5	0,113300
0,850333	0,5	0,105800
0,858667	0,5	0,124850
0,867000	0,5	0,118000
0,875333	0,5	0,113250
0,883667	0,5	0,116250
0,892000	0,5	0,119000
0,900333	0,5	0,144600
0,908667	0,5	0,136800
0,917000	0,5	0,139250
0,925333	0,5	0,137150
0,933667	0,5	0,151250
0,942000	0,5	0,144150
0,950333	0,5	0,149400
0,958667	0,5	0,148600
0,967000	0,5	0,148850
0,975333	0,5	0,148050
0,983667	0,5	0,150550
0,992000	0,5	0,161050
1,000333	0,5	0,150900
1,008667	0,5	0,169750
1,017000	0,5	0,151100
1,025333	0,5	0,151600
1,033667	0,5	0,154350
1,042000	0,5	0,167750
1,050333	0,5	0,186900
1,058667	0,5	0,182600
1,067000	0,5	0,174700
1,075333	0,5	0,185300
1,083667	0,5	0,180900
1,092000	0,5	0,184750
1,100333	0,5	0,179250
1,108667	0,5	0,183050
1,117000	0,5	0,181350
1,125333	0,5	0,187850
1,133667	0,5	0,189900
1,142000	0,5	0,186800
1,150333	0,5	0,184250
1,158667	0,5	0,197850
1,167000	0,5	0,180000
1,175333	0,5	0,181000
1,183667	0,5	0,182550
1,192000	0,5	0,198050
1,200333	0,5	0,214800
1,208667	0,5	0,202050
1,217000	0,5	0,205450
1,225333	0,5	0,207650
1,233667	0,5	0,211050
1,242000	0,5	0,202450
1,250333	0,5	0,205800
1,258667	0,5	0,195450
1,267000	0,5	0,197850
1,275333	0,5	0,195750
1,283667	0,5	0,191900
1,292000	0,5	0,184350
1,300333	0,5	0,192500
1,308667	0,5	0,185450
1,317000	0,5	0,179500
1,325333	0,5	0,181300
1,333667	0,5	0,182550
1,342000	0,5	0,193500
1,350333	0,5	0,198150
1,358667	0,5	0,198400
1,367000	0,5	0,192950
1,375333	0,5	0,191750
1,383667	0,5	0,184600
1,392000	0,5	0,183550
1,400333	0,5	0,173400
1,408667	0,5	0,175000
1,417000	0,5	0,171550
1,425333	0,5	0,172350
1,433667	0,5	0,159100
1,442000	0,5	0,157850
1,450333	0,5	0,167850
1,458667	0,5	0,160100
1,467000	0,5	0,152850
1,475333	0,5	0,162350
1,483667	0,5	0,161600
1,492000	0,5	0,180500
1,500333	0,5	0,167750
1,508667	0,5	0,161700
1,517000	0,5	0,161750
1,525333	0,5	0,155250
1,533667	0,5	0,147300
1,542000	0,5	0,141750
1,550333	0,5	0,138150
1,558667	0,5	0,138750
1,567000	0,5	0,152250
1,575333	0,5	0,145850
1,583667	0,5	0,292600
1,592000	0,5	2,101900
1,600333	0,5	10,768650
1,608667	0,5	40,602551
1,617000	0,5	124,567452
1,625333	0,5	290,442104
1,633667	0,5	489,893707
1,642000	0,5	614,452809
1,650333	0,5	606,123559
1,658667	0,5	499,761207
1,667000	0,5	368,495855
1,675333	0,5	259,511954
1,683667	0,5	183,760453
1,692000	0,5	135,387852
1,700333	0,5	106,027602
1,708667	0,5	88,584151
1,717000	0,5	77,097851
1,725333	0,5	67,882751
1,733667	0,5	60,102751
1,742000	0,5	54,542601
1,750333	0,5	52,049901
1,758667	0,5	52,650401
1,767000	0,5	55,128801
1,775333	0,5	57,331651
1,783667	0,5	57,511901
1,792000	0,5	55,189851
1,800333	0,5	51,031501
1,808667	0,5	46,402251
1,817000	0,5	42,244251
1,825333	0,5	38,986151
1,833667	0,5	36,808151
1,842000	0,5	35,976351
1,850333	0,5	36,272951
1,858667	0,5	36,514351
1,867000	0,5	35,522051
1,875333	0,5	33,737851
1,883667	0,5	32,704200
1,892000	0,5	33,947301
1,900333	0,5	38,881101
1,908667	0,5	47,979501
1,917000	0,5	58,081351
1,925333	0,5	63,912751
1,933667	0,5	63,329301
1,942000	0,5	57,794701
1,950333	0,5	50,138251
1,958667	0,5	43,129801
1,967000	0,5	38,315401
1,975333	0,5	35,549851
1,983667	0,5	34,200001
1,992000	0,5	34,279801
2,000333	0,5	35,586151
2,008667	0,5	36,059151
2,017000	0,5	34,182251
2,025333	0,5	30,988550
2,033667	0,5	28,127650
2,042000	0,5	26,377150
2,050333	0,5	26,447300
2,058667	0,5	29,201100
2,067000	0,5	33,575001
2,075333	0,5	35,864101
2,083667	0,5	33,987651
2,092000	0,5	29,878050
2,100333	0,5	26,071500
2,108667	0,5	23,356200
2,117000	0,5	21,541950
2,125333	0,5	20,334700
2,133667	0,5	19,426400
2,142000	0,5	18,674450
2,150333	0,5	18,074450
2,158667	0,5	17,706650
2,167000	0,5	17,557450
2,175333	0,5	17,794850
2,183667	0,5	18,990350
2,192000	0,5	22,165350
2,200333	0,5	24,513850
2,208667	0,5	22,362800
2,217000	0,5	18,611250
2,225333	0,5	16,490550
2,233667	0,5	15,585850
2,242000	0,5	15,223750
2,250333	0,5	15,148100
2,258667	0,5	15,291350
2,267000	0,5	15,674900
2,275333	0,5	16,504250
2,283667	0,5	18,281950
2,292000	0,5	21,475550
2,300333	0,5	25,813700
2,308667	0,5	29,791150
2,317000	0,5	31,811650
2,325333	0,5	31,390450
2,333667	0,5	29,407350
2,342000	0,5	27,213800
2,350333	0,5	26,071100
