File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/373.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGS-pH6_NA
Injection Number	14
Position	RB1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	22:12:53
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,532550
Signal Max.	1 246,693519
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,058600
0,008667	0,5	-0,045950
0,017000	0,5	-0,038550
0,025333	0,5	-0,034300
0,033667	0,5	-0,022950
0,042000	0,5	-0,024550
0,050333	0,5	-0,004050
0,058667	0,5	-0,004600
0,067000	0,5	-0,023500
0,075333	0,5	-0,025150
0,083667	0,5	-0,018450
0,092000	0,5	-0,002000
0,100333	0,5	0,009450
0,108667	0,5	-0,001050
0,117000	0,5	0,006500
0,125333	0,5	0,002900
0,133667	0,5	0,002950
0,142000	0,5	0,003200
0,150333	0,5	0,008750
0,158667	0,5	0,001350
0,167000	0,5	0,005200
0,175333	0,5	0,005350
0,183667	0,5	0,003900
0,192000	0,5	-0,011850
0,200333	0,5	0,011600
0,208667	0,5	-0,008100
0,217000	0,5	-0,010200
0,225333	0,5	-0,011050
0,233667	0,5	-0,001400
0,242000	0,5	0,019550
0,250333	0,5	0,018550
0,258667	0,5	0,013000
0,267000	0,5	0,010400
0,275333	0,5	0,011200
0,283667	0,5	0,015400
0,292000	0,5	0,035300
0,300333	0,5	0,051100
0,308667	0,5	0,035500
0,317000	0,5	0,010650
0,325333	0,5	-0,000300
0,333667	0,5	-0,008150
0,342000	0,5	-0,007300
0,350333	0,5	-0,000650
0,358667	0,5	-0,005950
0,367000	0,5	-0,006650
0,375333	0,5	-0,005600
0,383667	0,5	0,001450
0,392000	0,5	0,024700
0,400333	0,5	0,019350
0,408667	0,5	0,014900
0,417000	0,5	0,015600
0,425333	0,5	0,024250
0,433667	0,5	0,021600
0,442000	0,5	0,019500
0,450333	0,5	0,015750
0,458667	0,5	0,014050
0,467000	0,5	0,020500
0,475333	0,5	0,012800
0,483667	0,5	0,011700
0,492000	0,5	0,006800
0,500333	0,5	0,016350
0,508667	0,5	0,000850
0,517000	0,5	0,006500
0,525333	0,5	0,010550
0,533667	0,5	0,028400
0,542000	0,5	0,040300
0,550333	0,5	0,041650
0,558667	0,5	0,037200
0,567000	0,5	0,041800
0,575333	0,5	0,036400
0,583667	0,5	0,040950
0,592000	0,5	0,039850
0,600333	0,5	0,039350
0,608667	0,5	0,038650
0,617000	0,5	0,040950
0,625333	0,5	0,035400
0,633667	0,5	0,024950
0,642000	0,5	0,037350
0,650333	0,5	0,037850
0,658667	0,5	0,030650
0,667000	0,5	0,034800
0,675333	0,5	0,041350
0,683667	0,5	0,053400
0,692000	0,5	0,067350
0,700333	0,5	0,063250
0,708667	0,5	0,070250
0,717000	0,5	0,069600
0,725333	0,5	0,073250
0,733667	0,5	0,066450
0,742000	0,5	0,068500
0,750333	0,5	0,066700
0,758667	0,5	0,065550
0,767000	0,5	0,070800
0,775333	0,5	0,057750
0,783667	0,5	0,058550
0,792000	0,5	0,081500
0,800333	0,5	0,069250
0,808667	0,5	0,066750
0,817000	0,5	0,071600
0,825333	0,5	0,070750
0,833667	0,5	0,097400
0,842000	0,5	0,092800
0,850333	0,5	0,097800
