File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/955.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGS_3
Injection Number	26
Position	RC4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	03:56:14
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,680350
Signal Max.	777,179612
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,049100
0,008667	0,5	-0,052700
0,017000	0,5	-0,044350
0,025333	0,5	-0,034650
0,033667	0,5	-0,036200
0,042000	0,5	-0,031400
0,050333	0,5	-0,021900
0,058667	0,5	-0,034200
0,067000	0,5	-0,038300
0,075333	0,5	-0,033000
0,083667	0,5	-0,019400
0,092000	0,5	0,001400
0,100333	0,5	0,003850
0,108667	0,5	0,008500
0,117000	0,5	-0,000250
0,125333	0,5	0,000150
0,133667	0,5	-0,005800
0,142000	0,5	-0,004500
0,150333	0,5	-0,007850
0,158667	0,5	-0,008500
0,167000	0,5	-0,003250
0,175333	0,5	-0,012700
0,183667	0,5	-0,013000
0,192000	0,5	-0,005750
0,200333	0,5	-0,001050
0,208667	0,5	-0,018000
0,217000	0,5	-0,014350
0,225333	0,5	-0,018600
0,233667	0,5	0,006550
0,242000	0,5	0,011850
0,250333	0,5	0,012450
0,258667	0,5	0,000850
0,267000	0,5	0,006800
0,275333	0,5	0,001500
0,283667	0,5	0,007400
0,292000	0,5	0,016000
0,300333	0,5	0,042100
0,308667	0,5	0,031350
0,317000	0,5	0,005400
0,325333	0,5	-0,010450
0,333667	0,5	-0,019600
0,342000	0,5	-0,006450
0,350333	0,5	-0,010350
0,358667	0,5	-0,015250
0,367000	0,5	-0,017650
0,375333	0,5	-0,014350
0,383667	0,5	0,004600
0,392000	0,5	0,010250
0,400333	0,5	0,006500
0,408667	0,5	0,012400
0,417000	0,5	0,004500
0,425333	0,5	0,010150
0,433667	0,5	0,002200
0,442000	0,5	0,005450
0,450333	0,5	-0,001500
0,458667	0,5	0,000450
0,467000	0,5	-0,000400
0,475333	0,5	-0,004550
0,483667	0,5	-0,006050
0,492000	0,5	0,017000
0,500333	0,5	-0,004650
0,508667	0,5	-0,010000
0,517000	0,5	-0,002550
0,525333	0,5	0,003700
0,533667	0,5	0,025550
0,542000	0,5	0,016350
0,550333	0,5	0,019900
0,558667	0,5	0,016950
0,567000	0,5	0,019000
0,575333	0,5	0,014950
0,583667	0,5	0,022450
0,592000	0,5	0,016800
0,600333	0,5	0,020650
0,608667	0,5	0,018350
0,617000	0,5	0,015550
0,625333	0,5	0,008500
0,633667	0,5	0,014200
0,642000	0,5	0,019100
0,650333	0,5	0,011200
0,658667	0,5	0,011100
0,667000	0,5	0,017650
0,675333	0,5	0,025150
0,683667	0,5	0,043500
0,692000	0,5	0,035400
0,700333	0,5	0,031750
0,708667	0,5	0,035650
0,717000	0,5	0,036850
0,725333	0,5	0,040400
0,733667	0,5	0,035450
0,742000	0,5	0,036750
0,750333	0,5	0,033400
0,758667	0,5	0,039800
0,767000	0,5	0,036800
0,775333	0,5	0,035300
0,783667	0,5	0,045700
0,792000	0,5	0,045200
0,800333	0,5	0,031300
0,808667	0,5	0,032300
0,817000	0,5	0,036250
0,825333	0,5	0,054450
0,833667	0,5	0,068900
0,842000	0,5	0,063050
0,850333	0,5	0,063450
0,858667	0,5	0,063700
0,867000	0,5	0,062050
0,875333	0,5	0,067500
0,883667	0,5	0,066600
0,892000	0,5	0,061850
0,900333	0,5	0,068400
0,908667	0,5	0,064550
0,917000	0,5	0,062300
0,925333	0,5	0,055700
0,933667	0,5	0,070250
0,942000	0,5	0,059800
0,950333	0,5	0,059500
0,958667	0,5	0,059400
0,967000	0,5	0,075000
0,975333	0,5	0,089400
0,983667	0,5	0,098250
0,992000	0,5	0,087400
1,000333	0,5	0,091800
1,008667	0,5	0,091650
1,017000	0,5	0,095800
1,025333	0,5	0,095750
1,033667	0,5	0,092200
1,042000	0,5	0,092900
1,050333	0,5	0,093550
1,058667	0,5	0,091850
1,067000	0,5	0,082000
1,075333	0,5	0,089100
1,083667	0,5	0,095100
1,092000	0,5	0,082200
1,100333	0,5	0,081550
1,108667	0,5	0,085350
1,117000	0,5	0,095200
1,125333	0,5	0,113200
1,133667	0,5	0,112800
1,142000	0,5	0,117500
1,150333	0,5	0,109800
1,158667	0,5	0,118950
1,167000	0,5	0,113600
1,175333	0,5	0,113200
1,183667	0,5	0,106300
1,192000	0,5	0,104800
1,200333	0,5	0,105550
1,208667	0,5	0,095550
1,217000	0,5	0,092900
1,225333	0,5	0,099700
1,233667	0,5	0,095500
1,242000	0,5	0,085650
1,250333	0,5	0,084650
1,258667	0,5	0,087550
1,267000	0,5	0,104150
1,275333	0,5	0,104950
1,283667	0,5	0,109200
1,292000	0,5	0,097750
1,300333	0,5	0,098750
1,308667	0,5	0,094100
1,317000	0,5	0,096100
1,325333	0,5	0,087250
1,333667	0,5	0,084650
1,342000	0,5	0,077550
1,350333	0,5	0,080550
1,358667	0,5	0,069450
1,367000	0,5	0,066350
1,375333	0,5	0,073700
1,383667	0,5	0,062550
1,392000	0,5	0,052850
1,400333	0,5	0,050850
1,408667	0,5	0,050050
1,417000	0,5	0,061700
1,425333	0,5	0,056800
1,433667	0,5	0,050650
1,442000	0,5	0,046150
1,450333	0,5	0,051000
1,458667	0,5	0,051250
1,467000	0,5	0,039950
1,475333	0,5	0,043650
1,483667	0,5	0,031450
