File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/602.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-EGS_NA
Injection Number	27
Position	RC5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	04:25:00
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,729900
Signal Max.	1 432,046121
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,034750
0,008667	0,5	-0,030900
0,017000	0,5	-0,026800
0,025333	0,5	-0,016900
0,033667	0,5	0,007200
0,042000	0,5	0,013150
0,050333	0,5	0,006200
0,058667	0,5	0,009550
0,067000	0,5	0,009050
0,075333	0,5	0,012700
0,083667	0,5	0,010900
0,092000	0,5	0,010500
0,100333	0,5	0,014050
0,108667	0,5	0,013700
0,117000	0,5	0,018700
0,125333	0,5	0,009100
0,133667	0,5	0,002550
0,142000	0,5	0,020700
0,150333	0,5	0,006750
0,158667	0,5	0,003050
0,167000	0,5	0,006600
0,175333	0,5	0,010350
0,183667	0,5	0,036600
0,192000	0,5	0,025800
0,200333	0,5	0,027150
0,208667	0,5	0,021150
0,217000	0,5	0,030250
0,225333	0,5	0,026350
0,233667	0,5	0,027800
0,242000	0,5	0,021650
0,250333	0,5	0,014550
0,258667	0,5	0,014900
0,267000	0,5	0,015000
0,275333	0,5	0,013150
0,283667	0,5	0,008950
0,292000	0,5	0,045500
0,300333	0,5	0,044300
0,308667	0,5	0,037850
0,317000	0,5	0,014750
0,325333	0,5	0,008550
0,333667	0,5	0,014150
0,342000	0,5	0,015100
0,350333	0,5	0,013000
0,358667	0,5	0,018600
0,367000	0,5	0,015300
0,375333	0,5	0,022050
0,383667	0,5	0,013850
0,392000	0,5	0,017500
0,400333	0,5	0,015900
0,408667	0,5	0,018050
0,417000	0,5	0,019250
0,425333	0,5	0,005100
0,433667	0,5	0,009800
0,442000	0,5	0,015650
0,450333	0,5	-0,002000
0,458667	0,5	-0,000350
0,467000	0,5	0,005350
0,475333	0,5	0,015750
0,483667	0,5	0,034800
0,492000	0,5	0,024850
0,500333	0,5	0,024500
0,508667	0,5	0,026000
0,517000	0,5	0,034750
0,525333	0,5	0,022100
0,533667	0,5	0,028400
0,542000	0,5	0,022700
0,550333	0,5	0,025500
0,558667	0,5	0,022850
0,567000	0,5	0,007600
0,575333	0,5	0,004750
0,583667	0,5	0,016400
