File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/457.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-NT-pH6_2
Injection Number	16
Position	RB3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	23:10:26
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,532200
Signal Max.	435,510206
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,040100
0,008667	0,5	-0,040600
0,017000	0,5	-0,032600
0,025333	0,5	-0,025150
0,033667	0,5	-0,022100
0,042000	0,5	-0,017750
0,050333	0,5	-0,013450
0,058667	0,5	-0,023500
0,067000	0,5	-0,003200
0,075333	0,5	-0,015050
0,083667	0,5	-0,019850
0,092000	0,5	-0,016100
0,100333	0,5	-0,001250
0,108667	0,5	0,012800
0,117000	0,5	0,017850
0,125333	0,5	0,010700
0,133667	0,5	0,017000
0,142000	0,5	0,014050
0,150333	0,5	0,017350
0,158667	0,5	0,004250
0,167000	0,5	0,011900
0,175333	0,5	0,005250
0,183667	0,5	0,013150
0,192000	0,5	0,009900
0,200333	0,5	-0,003000
0,208667	0,5	-0,003350
0,217000	0,5	0,014200
0,225333	0,5	-0,004800
0,233667	0,5	0,001550
0,242000	0,5	-0,003050
0,250333	0,5	0,011750
0,258667	0,5	0,030500
0,267000	0,5	0,030600
0,275333	0,5	0,027350
0,283667	0,5	0,028950
0,292000	0,5	0,045900
0,300333	0,5	0,061700
0,308667	0,5	0,057200
0,317000	0,5	0,028050
0,325333	0,5	0,015800
0,333667	0,5	0,008500
0,342000	0,5	0,005950
0,350333	0,5	-0,000350
0,358667	0,5	0,011200
0,367000	0,5	0,007700
0,375333	0,5	0,004450
0,383667	0,5	0,004600
0,392000	0,5	0,006000
0,400333	0,5	0,019450
0,408667	0,5	0,030700
0,417000	0,5	0,033300
0,425333	0,5	0,031200
0,433667	0,5	0,033950
0,442000	0,5	0,033550
0,450333	0,5	0,030900
0,458667	0,5	0,029700
0,467000	0,5	0,027950
0,475333	0,5	0,026650
0,483667	0,5	0,029000
0,492000	0,5	0,020800
0,500333	0,5	0,022200
0,508667	0,5	0,035700
0,517000	0,5	0,028950
0,525333	0,5	0,017900
0,533667	0,5	0,025650
0,542000	0,5	0,027400
0,550333	0,5	0,054000
0,558667	0,5	0,052200
0,567000	0,5	0,057350
0,575333	0,5	0,052750
0,583667	0,5	0,056600
0,592000	0,5	0,052550
0,600333	0,5	0,050350
0,608667	0,5	0,051700
0,617000	0,5	0,047100
0,625333	0,5	0,055200
0,633667	0,5	0,054050
0,642000	0,5	0,057750
0,650333	0,5	0,052600
0,658667	0,5	0,076600
0,667000	0,5	0,056850
0,675333	0,5	0,055050
0,683667	0,5	0,052550
0,692000	0,5	0,063500
0,700333	0,5	0,081100
0,708667	0,5	0,076900
0,717000	0,5	0,069550
0,725333	0,5	0,078750
0,733667	0,5	0,077350
0,742000	0,5	0,084550
0,750333	0,5	0,083400
0,758667	0,5	0,087100
0,767000	0,5	0,085900
0,775333	0,5	0,086650
0,783667	0,5	0,089550
