File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/390.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-NT-pH6_NA
Injection Number	18
Position	RB5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	00:07:58
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,613450
Signal Max.	995,758265
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,001000
0,008500	0,5	-0,036700
0,016833	0,5	-0,027850
0,025167	0,5	-0,021700
0,033500	0,5	-0,008500
0,041833	0,5	-0,005900
0,050167	0,5	-0,004550
0,058500	0,5	-0,004500
0,066833	0,5	-0,001350
0,075167	0,5	0,005600
0,083500	0,5	0,004850
0,091833	0,5	0,003000
0,100167	0,5	-0,005450
0,108500	0,5	0,016800
0,116833	0,5	-0,008500
0,125167	0,5	-0,005000
0,133500	0,5	-0,004750
0,141833	0,5	0,008750
0,150167	0,5	0,028150
0,158500	0,5	0,024300
0,166833	0,5	0,018000
0,175167	0,5	0,026550
0,183500	0,5	0,020350
0,191833	0,5	0,026850
0,200167	0,5	0,019800
0,208500	0,5	0,020550
0,216833	0,5	0,013400
0,225167	0,5	0,016600
0,233500	0,5	0,017150
0,241833	0,5	0,008000
0,250167	0,5	0,012400
0,258500	0,5	0,015900
0,266833	0,5	0,003700
0,275167	0,5	0,005000
0,283500	0,5	0,010050
0,291833	0,5	0,037600
0,300167	0,5	0,068150
0,308500	0,5	0,065650
0,316833	0,5	0,046100
0,325167	0,5	0,025250
0,333500	0,5	0,018800
0,341833	0,5	0,013800
0,350167	0,5	0,016050
0,358500	0,5	0,017300
0,366833	0,5	0,021600
0,375167	0,5	0,021550
0,383500	0,5	0,013550
0,391833	0,5	0,006100
0,400167	0,5	0,020850
0,408500	0,5	0,010850
0,416833	0,5	0,008500
0,425167	0,5	0,008700
0,433500	0,5	0,019850
0,441833	0,5	0,032800
0,450167	0,5	0,041500
0,458500	0,5	0,042450
0,466833	0,5	0,038150
0,475167	0,5	0,038100
0,483500	0,5	0,033850
0,491833	0,5	0,036750
0,500167	0,5	0,031500
0,508500	0,5	0,033650
0,516833	0,5	0,029400
0,525167	0,5	0,029750
0,533500	0,5	0,019400
0,541833	0,5	0,029300
0,550167	0,5	0,036500
0,558500	0,5	0,028850
0,566833	0,5	0,022300
0,575167	0,5	0,026250
0,583500	0,5	0,035700
0,591833	0,5	0,051000
0,600167	0,5	0,057400
0,608500	0,5	0,058050
0,616833	0,5	0,055550
0,625167	0,5	0,054350
0,633500	0,5	0,053850
0,641833	0,5	0,050950
0,650167	0,5	0,054900
0,658500	0,5	0,048050
0,666833	0,5	0,055100
0,675167	0,5	0,052400
0,683500	0,5	0,049700
0,691833	0,5	0,061500
0,700167	0,5	0,061950
0,708500	0,5	0,046500
0,716833	0,5	0,048350
0,725167	0,5	0,052700
0,733500	0,5	0,073150
0,741833	0,5	0,082050
0,750167	0,5	0,080150
0,758500	0,5	0,078500
0,766833	0,5	0,082100
0,775167	0,5	0,082850
0,783500	0,5	0,085250
0,791833	0,5	0,083850
0,800167	0,5	0,082400
0,808500	0,5	0,086500
0,816833	0,5	0,081400
0,825167	0,5	0,079000
