File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/592.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-NT_1
Injection Number	38
Position	RD7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	09:39:33
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,765650
Signal Max.	671,555010
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,028300
0,008500	0,5	-0,038450
0,016833	0,5	-0,032900
0,025167	0,5	-0,024850
0,033500	0,5	-0,012000
0,041833	0,5	0,015350
0,050167	0,5	0,015200
0,058500	0,5	0,014650
0,066833	0,5	0,012250
0,075167	0,5	0,016200
0,083500	0,5	0,015350
0,091833	0,5	0,019500
0,100167	0,5	0,015900
0,108500	0,5	0,009000
0,116833	0,5	0,014900
0,125167	0,5	0,017300
0,133500	0,5	0,025550
0,141833	0,5	0,022100
0,150167	0,5	0,034350
0,158500	0,5	0,007250
0,166833	0,5	0,014200
0,175167	0,5	0,012650
0,183500	0,5	0,031050
0,191833	0,5	0,047800
0,200167	0,5	0,047200
0,208500	0,5	0,038000
0,216833	0,5	0,047000
0,225167	0,5	0,048250
0,233500	0,5	0,046350
0,241833	0,5	0,038300
0,250167	0,5	0,040400
0,258500	0,5	0,038450
0,266833	0,5	0,038250
0,275167	0,5	0,032950
0,283500	0,5	0,027600
0,291833	0,5	0,061500
0,300167	0,5	0,081800
0,308500	0,5	0,050750
0,316833	0,5	0,034950
0,325167	0,5	0,030800
0,333500	0,5	0,034650
0,341833	0,5	0,046050
0,350167	0,5	0,044100
0,358500	0,5	0,050550
0,366833	0,5	0,050500
0,375167	0,5	0,054100
0,383500	0,5	0,048550
0,391833	0,5	0,051450
0,400167	0,5	0,046750
0,408500	0,5	0,047650
0,416833	0,5	0,054050
0,425167	0,5	0,032400
0,433500	0,5	0,034600
0,441833	0,5	0,052200
0,450167	0,5	0,039850
0,458500	0,5	0,036050
0,466833	0,5	0,043050
0,475167	0,5	0,046800
0,483500	0,5	0,067200
0,491833	0,5	0,066800
0,500167	0,5	0,073850
0,508500	0,5	0,070950
0,516833	0,5	0,079350
0,525167	0,5	0,068300
0,533500	0,5	0,072450
0,541833	0,5	0,063650
0,550167	0,5	0,066000
0,558500	0,5	0,067950
0,566833	0,5	0,069800
0,575167	0,5	0,063400
0,583500	0,5	0,074800
0,591833	0,5	0,082800
0,600167	0,5	0,072750
0,608500	0,5	0,069100
0,616833	0,5	0,075300
0,625167	0,5	0,088500
0,633500	0,5	0,102400
0,641833	0,5	0,098900
0,650167	0,5	0,095900
0,658500	0,5	0,103600
0,666833	0,5	0,098900
0,675167	0,5	0,102600
0,683500	0,5	0,098800
0,691833	0,5	0,103500
0,700167	0,5	0,105350
0,708500	0,5	0,111500
0,716833	0,5	0,105150
0,725167	0,5	0,098300
0,733500	0,5	0,112500
0,741833	0,5	0,117650
0,750167	0,5	0,103200
0,758500	0,5	0,106150
0,766833	0,5	0,110950
0,775167	0,5	0,131450
0,783500	0,5	0,135350
0,791833	0,5	0,135450
0,800167	0,5	0,141550
0,808500	0,5	0,138550
0,816833	0,5	0,146800
0,825167	0,5	0,142900
0,833500	0,5	0,144500
0,841833	0,5	0,140600
0,850167	0,5	0,145050
0,858500	0,5	0,145400
0,866833	0,5	0,147800
0,875167	0,5	0,138500
0,883500	0,5	0,163050
0,891833	0,5	0,155050
0,900167	0,5	0,153900
0,908500	0,5	0,150100
0,916833	0,5	0,163400
0,925167	0,5	0,179550
0,933500	0,5	0,184100
0,941833	0,5	0,180800
0,950167	0,5	0,187900
0,958500	0,5	0,184900
0,966833	0,5	0,188250
0,975167	0,5	0,187000
0,983500	0,5	0,196000
0,991833	0,5	0,198250
1,000167	0,5	0,195650
1,008500	0,5	0,202300
1,016833	0,5	0,190750
1,025167	0,5	0,192550
1,033500	0,5	0,205050
1,041833	0,5	0,198100
1,050167	0,5	0,195550
1,058500	0,5	0,201000
1,066833	0,5	0,212400
1,075167	0,5	0,238750
1,083500	0,5	0,237950
1,091833	0,5	0,242200
1,100167	0,5	0,237700
1,108500	0,5	0,243400
1,116833	0,5	0,240050
1,125167	0,5	0,246700
1,133500	0,5	0,244550
1,141833	0,5	0,244750
1,150167	0,5	0,247150
1,158500	0,5	0,243850
1,166833	0,5	0,242550
1,175167	0,5	0,253050
1,183500	0,5	0,264750
1,191833	0,5	0,244150
1,200167	0,5	0,253750
1,208500	0,5	0,250450
1,216833	0,5	0,268950
1,225167	0,5	0,285700
1,233500	0,5	0,292450
1,241833	0,5	0,282700
1,250167	0,5	0,285900
1,258500	0,5	0,282650
1,266833	0,5	0,290000
1,275167	0,5	0,286100
1,283500	0,5	0,288200
1,291833	0,5	0,286550
1,300167	0,5	0,290950
1,308500	0,5	0,286050
1,316833	0,5	0,286650
1,325167	0,5	0,294700
1,333500	0,5	0,290550
1,341833	0,5	0,280700
1,350167	0,5	0,286050
1,358500	0,5	0,288750
1,366833	0,5	0,311350
1,375167	0,5	0,317650
1,383500	0,5	0,309850
1,391833	0,5	0,312650
1,400167	0,5	0,309100
1,408500	0,5	0,309550
1,416833	0,5	0,307600
1,425167	0,5	0,308500
1,433500	0,5	0,300500
1,441833	0,5	0,299900
1,450167	0,5	0,297250
1,458500	0,5	0,294450
1,466833	0,5	0,292750
1,475167	0,5	0,315200
1,483500	0,5	0,297450
1,491833	0,5	0,289400
1,500167	0,5	0,290000
1,508500	0,5	0,296850
1,516833	0,5	0,309700
1,525167	0,5	0,306150
1,533500	0,5	0,305400
1,541833	0,5	0,306350
1,550167	0,5	0,323600
1,558500	0,5	0,342300
1,566833	0,5	0,371650
1,575167	0,5	0,361100
1,583500	0,5	0,898700
1,591833	0,5	5,093300
1,600167	0,5	22,429800
1,608500	0,5	78,526551
1,616833	0,5	215,304253
1,625167	0,5	425,713806
1,633500	0,5	610,172159
1,641833	0,5	671,555010
1,650167	0,5	601,791259
1,658500	0,5	466,751007
1,666833	0,5	335,157705
1,675167	0,5	236,009454
1,683500	0,5	169,671353
1,691833	0,5	127,759052
1,700167	0,5	102,430902
1,708500	0,5	87,230351
1,716833	0,5	76,873401
1,725167	0,5	68,504401
1,733500	0,5	61,387401
1,741833	0,5	55,805901
1,750167	0,5	52,630351
1,758500	0,5	52,506151
1,766833	0,5	54,553901
1,775167	0,5	56,786801
1,783500	0,5	57,628851
1,791833	0,5	56,547151
1,800167	0,5	53,835901
1,808500	0,5	50,325001
1,816833	0,5	46,726851
1,825167	0,5	43,488101
1,833500	0,5	40,835051
1,841833	0,5	38,922401
1,850167	0,5	37,721501
1,858500	0,5	37,017451
1,866833	0,5	36,285801
1,875167	0,5	35,081351
1,883500	0,5	33,466750
1,891833	0,5	31,882150
1,900167	0,5	30,766750
1,908500	0,5	30,438250
1,916833	0,5	31,354650
1,925167	0,5	33,876651
1,933500	0,5	38,285151
1,941833	0,5	43,987351
1,950167	0,5	48,847151
1,958500	0,5	50,105001
1,966833	0,5	47,114351
1,975167	0,5	42,265101
1,983500	0,5	38,741401
1,991833	0,5	37,368301
2,000167	0,5	36,320251
