File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/540.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-NT_3
Injection Number	40
Position	RE1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	10:37:04
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,119900
Signal Max.	626,843559
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,040050
0,008667	0,5	-0,052900
0,017000	0,5	-0,049300
0,025333	0,5	-0,040650
0,033667	0,5	-0,038050
0,042000	0,5	-0,026550
0,050333	0,5	-0,031000
0,058667	0,5	-0,019700
0,067000	0,5	-0,027900
0,075333	0,5	-0,009100
0,083667	0,5	-0,013050
0,092000	0,5	-0,023000
0,100333	0,5	-0,033950
0,108667	0,5	-0,022250
0,117000	0,5	-0,012650
0,125333	0,5	0,001650
0,133667	0,5	-0,005000
0,142000	0,5	-0,011250
0,150333	0,5	-0,006100
0,158667	0,5	-0,012900
0,167000	0,5	-0,009600
0,175333	0,5	-0,009500
0,183667	0,5	-0,013750
0,192000	0,5	-0,011200
0,200333	0,5	-0,006950
0,208667	0,5	-0,008450
0,217000	0,5	-0,014100
0,225333	0,5	-0,006200
0,233667	0,5	-0,006500
0,242000	0,5	-0,024250
0,250333	0,5	-0,023200
0,258667	0,5	-0,025150
0,267000	0,5	-0,007200
0,275333	0,5	-0,004150
0,283667	0,5	-0,005600
0,292000	0,5	0,012350
0,300333	0,5	0,036050
0,308667	0,5	0,029350
0,317000	0,5	0,003150
0,325333	0,5	-0,016800
0,333667	0,5	-0,027200
0,342000	0,5	-0,026150
0,350333	0,5	-0,025000
0,358667	0,5	-0,015550
0,367000	0,5	-0,033250
0,375333	0,5	-0,009450
0,383667	0,5	-0,025900
0,392000	0,5	-0,026750
0,400333	0,5	-0,032700
0,408667	0,5	-0,019100
0,417000	0,5	-0,005400
0,425333	0,5	-0,005850
0,433667	0,5	-0,013600
0,442000	0,5	-0,008600
0,450333	0,5	-0,014300
0,458667	0,5	-0,014500
0,467000	0,5	-0,015600
0,475333	0,5	-0,014900
0,483667	0,5	-0,013200
0,492000	0,5	-0,016000
0,500333	0,5	-0,013950
0,508667	0,5	-0,026000
0,517000	0,5	-0,026600
0,525333	0,5	-0,007500
0,533667	0,5	-0,025650
0,542000	0,5	-0,027150
0,550333	0,5	-0,021600
0,558667	0,5	-0,015500
0,567000	0,5	0,004850
0,575333	0,5	0,008200
0,583667	0,5	0,011150
0,592000	0,5	0,004350
0,600333	0,5	0,008750
0,608667	0,5	-0,000600
0,617000	0,5	0,003750
0,625333	0,5	-0,005900
0,633667	0,5	-0,005950
0,642000	0,5	-0,005400
0,650333	0,5	-0,006850
0,658667	0,5	-0,010750
0,667000	0,5	0,004900
0,675333	0,5	0,008800
0,683667	0,5	-0,011900
0,692000	0,5	-0,010550
0,700333	0,5	-0,008250
0,708667	0,5	0,007900
0,717000	0,5	0,021700
0,725333	0,5	0,024650
0,733667	0,5	0,016450
0,742000	0,5	0,017850
0,750333	0,5	0,014650
0,758667	0,5	0,016850
0,767000	0,5	0,013800
0,775333	0,5	0,014650
0,783667	0,5	0,010200
0,792000	0,5	0,015150
0,800333	0,5	0,013800
0,808667	0,5	0,017800
0,817000	0,5	0,026950
0,825333	0,5	0,017600
0,833667	0,5	0,003800
0,842000	0,5	0,010100
0,850333	0,5	0,012800
0,858667	0,5	0,034450
0,867000	0,5	0,043700
0,875333	0,5	0,036550
0,883667	0,5	0,037650
0,892000	0,5	0,037300
0,900333	0,5	0,038450
0,908667	0,5	0,036400
0,917000	0,5	0,036100
0,925333	0,5	0,032850
0,933667	0,5	0,036850
0,942000	0,5	0,031750
0,950333	0,5	0,028400
0,958667	0,5	0,034600
0,967000	0,5	0,053400
0,975333	0,5	0,033350
0,983667	0,5	0,026450
0,992000	0,5	0,030650
1,000333	0,5	0,040850
1,008667	0,5	0,056650
1,017000	0,5	0,056200
1,025333	0,5	0,052800
1,033667	0,5	0,055150
1,042000	0,5	0,057350
1,050333	0,5	0,061600
1,058667	0,5	0,058450
1,067000	0,5	0,053550
1,075333	0,5	0,054900
1,083667	0,5	0,052000
1,092000	0,5	0,056050
1,100333	0,5	0,042150
1,108667	0,5	0,051500
1,117000	0,5	0,060500
1,125333	0,5	0,051650
1,133667	0,5	0,044800
1,142000	0,5	0,054100
1,150333	0,5	0,066800
1,158667	0,5	0,080600
1,167000	0,5	0,069100
1,175333	0,5	0,070150
1,183667	0,5	0,067450
1,192000	0,5	0,067550
1,200333	0,5	0,066200
1,208667	0,5	0,068400
1,217000	0,5	0,064750
1,225333	0,5	0,059050
1,233667	0,5	0,065350
1,242000	0,5	0,064000
1,250333	0,5	0,056400
1,258667	0,5	0,065950
1,267000	0,5	0,060250
1,275333	0,5	0,049400
1,283667	0,5	0,045600
1,292000	0,5	0,047100
1,300333	0,5	0,063700
1,308667	0,5	0,063500
1,317000	0,5	0,060300
1,325333	0,5	0,054650
1,333667	0,5	0,058650
1,342000	0,5	0,055750
1,350333	0,5	0,051350
1,358667	0,5	0,047750
1,367000	0,5	0,045950
1,375333	0,5	0,039950
1,383667	0,5	0,036300
1,392000	0,5	0,045850
1,400333	0,5	0,032900
1,408667	0,5	0,043200
1,417000	0,5	0,021450
1,425333	0,5	0,018150
1,433667	0,5	0,011550
1,442000	0,5	0,018450
1,450333	0,5	0,031450
1,458667	0,5	0,031250
1,467000	0,5	0,017350
1,475333	0,5	0,018750
1,483667	0,5	0,011750
1,492000	0,5	0,011450
1,500333	0,5	0,005400
1,508667	0,5	-0,001550
1,517000	0,5	-0,008250
1,525333	0,5	-0,009100
1,533667	0,5	-0,011450
1,542000	0,5	-0,017100
1,550333	0,5	-0,017450
1,558667	0,5	0,011650
1,567000	0,5	0,024450
1,575333	0,5	0,022600
1,583667	0,5	0,316400
1,592000	0,5	3,333800
1,600333	0,5	16,666100
1,608667	0,5	61,207151
1,617000	0,5	176,155103
1,625333	0,5	367,632305
1,633667	0,5	551,238958
1,642000	0,5	626,843559
1,650333	0,5	574,858759
1,658667	0,5	452,341107
1,667000	0,5	326,817055
1,675333	0,5	230,210503
1,683667	0,5	165,067952
1,692000	0,5	124,106652
1,700333	0,5	100,146201
1,708667	0,5	86,674851
1,717000	0,5	77,588051
1,725333	0,5	69,414051
1,733667	0,5	61,619201
1,742000	0,5	55,025651
1,750333	0,5	50,880651
1,758667	0,5	50,065801
1,767000	0,5	51,866101
1,775333	0,5	54,272751
1,783667	0,5	55,504251
1,792000	0,5	54,809651
1,800333	0,5	52,374801
1,808667	0,5	48,983501
1,817000	0,5	45,424251
1,825333	0,5	42,195151
1,833667	0,5	39,481001
1,842000	0,5	37,456701
1,850333	0,5	36,145801
1,858667	0,5	35,363651
1,867000	0,5	34,712151
1,875333	0,5	33,742601
1,883667	0,5	32,306700
1,892000	0,5	30,772500
1,900333	0,5	29,522900
1,908667	0,5	28,901000
1,917000	0,5	29,227600
1,925333	0,5	30,919100
1,933667	0,5	34,321851
1,942000	0,5	39,468751
1,950333	0,5	45,020901
1,958667	0,5	48,136651
1,967000	0,5	46,936301
1,975333	0,5	42,609551
1,983667	0,5	38,328901
1,992000	0,5	36,198401
2,000333	0,5	35,508451
2,008667	0,5	34,146401
2,017000	0,5	31,862650
2,025333	0,5	29,658900
2,033667	0,5	27,711250
2,042000	0,5	25,686800
2,050333	0,5	23,722400
2,058667	0,5	22,063950
2,067000	0,5	20,745650
2,075333	0,5	19,740100
2,083667	0,5	19,058800
2,092000	0,5	18,714200
2,100333	0,5	18,604100
2,108667	0,5	18,335500
2,117000	0,5	17,699550
2,125333	0,5	16,934400
2,133667	0,5	16,270800
2,142000	0,5	15,818800
2,150333	0,5	15,505350
2,158667	0,5	15,286300
2,167000	0,5	15,120150
2,175333	0,5	14,939750
2,183667	0,5	14,712550
2,192000	0,5	14,509750
2,200333	0,5	14,333500
2,208667	0,5	14,241450
2,217000	0,5	14,256750
2,225333	0,5	14,577700
2,233667	0,5	15,645900
2,242000	0,5	16,708750
2,250333	0,5	16,244050
2,258667	0,5	15,033100
2,267000	0,5	14,294750
2,275333	0,5	13,990600
2,283667	0,5	13,882550
2,292000	0,5	13,900600
2,300333	0,5	13,990050
2,308667	0,5	14,187950
2,317000	0,5	14,548750
2,325333	0,5	15,180350
2,333667	0,5	16,378650
2,342000	0,5	18,525850
2,350333	0,5	21,835750
2,358667	0,5	25,727750
2,367000	0,5	29,043850
2,375333	0,5	30,746500
2,383667	0,5	30,666150
2,392000	0,5	29,375700
2,400333	0,5	27,837900
2,408667	0,5	26,858050
2,417000	0,5	26,852550
2,425333	0,5	27,933700
2,433667	0,5	30,482650
2,442000	0,5	35,872901
