File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/618.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_00h-EGS_
Injection Number	135
Position	BE2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	08:00:49
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,418700
Signal Max.	125,756552
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,011700
0,008667	0,5	-0,041000
0,017000	0,5	-0,033700
0,025333	0,5	-0,023800
0,033667	0,5	0,004800
0,042000	0,5	0,010500
0,050333	0,5	0,014800
0,058667	0,5	0,008800
0,067000	0,5	0,009700
0,075333	0,5	0,003050
0,083667	0,5	0,015800
0,092000	0,5	0,017700
0,100333	0,5	0,010800
0,108667	0,5	0,013800
0,117000	0,5	0,023000
0,125333	0,5	-0,015300
0,133667	0,5	-0,008700
0,142000	0,5	-0,001600
0,150333	0,5	0,031050
0,158667	0,5	0,044300
0,167000	0,5	0,033200
0,175333	0,5	0,022700
0,183667	0,5	0,020550
0,192000	0,5	0,020650
0,200333	0,5	0,018650
0,208667	0,5	0,017750
0,217000	0,5	0,008850
0,225333	0,5	0,011750
0,233667	0,5	0,004500
0,242000	0,5	0,007250
0,250333	0,5	-0,012500
0,258667	0,5	0,011950
0,267000	0,5	-0,009100
0,275333	0,5	-0,016800
0,283667	0,5	-0,022850
0,292000	0,5	0,028100
0,300333	0,5	0,090150
0,308667	0,5	0,095400
0,317000	0,5	0,046850
0,325333	0,5	0,011950
0,333667	0,5	-0,015400
0,342000	0,5	-0,015450
0,350333	0,5	-0,014350
0,358667	0,5	-0,010950
0,367000	0,5	-0,010000
0,375333	0,5	-0,015150
