File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/886.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_24h-EGI_
Injection Number	68
Position	GB8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	00:00:02
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,092400
Signal Max.	1 880,630878
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,040750
0,008500	0,5	-0,032150
0,016833	0,5	-0,017550
0,025167	0,5	-0,012050
0,033500	0,5	0,002850
0,041833	0,5	-0,000250
0,050167	0,5	0,004650
0,058500	0,5	-0,001600
0,066833	0,5	0,004250
0,075167	0,5	0,005550
0,083500	0,5	0,011350
0,091833	0,5	-0,002250
0,100167	0,5	-0,017550
0,108500	0,5	-0,020550
0,116833	0,5	0,006200
0,125167	0,5	-0,017500
0,133500	0,5	-0,026300
0,141833	0,5	-0,019300
0,150167	0,5	-0,007050
0,158500	0,5	0,012300
0,166833	0,5	0,008450
0,175167	0,5	0,015100
0,183500	0,5	0,015900
0,191833	0,5	0,006600
0,200167	0,5	0,002400
0,208500	0,5	0,001050
0,216833	0,5	-0,008100
0,225167	0,5	-0,009450
0,233500	0,5	-0,011600
0,241833	0,5	-0,014300
0,250167	0,5	-0,037250
0,258500	0,5	-0,023300
0,266833	0,5	-0,008850
0,275167	0,5	-0,021900
0,283500	0,5	-0,035000
0,291833	0,5	0,005650
0,300167	0,5	0,040350
0,308500	0,5	0,039550
0,316833	0,5	-0,005350
0,325167	0,5	-0,025450
0,333500	0,5	-0,038200
0,341833	0,5	-0,034650
0,350167	0,5	-0,037400
0,358500	0,5	-0,034150
0,366833	0,5	-0,031150
0,375167	0,5	-0,036950
0,383500	0,5	-0,032400
0,391833	0,5	-0,041700
0,400167	0,5	-0,049250
0,408500	0,5	-0,040550
0,416833	0,5	-0,043950
0,425167	0,5	-0,057100
0,433500	0,5	-0,059650
0,441833	0,5	-0,051150
0,450167	0,5	-0,026150
0,458500	0,5	-0,027600
0,466833	0,5	-0,025550
0,475167	0,5	-0,038350
0,483500	0,5	-0,028200
0,491833	0,5	-0,037000
0,500167	0,5	-0,034350
0,508500	0,5	-0,041650
0,516833	0,5	-0,043750
0,525167	0,5	-0,045250
0,533500	0,5	-0,048150
0,541833	0,5	-0,043600
0,550167	0,5	-0,059550
0,558500	0,5	-0,030650
0,566833	0,5	-0,045800
0,575167	0,5	-0,053350
0,583500	0,5	-0,059650
0,591833	0,5	-0,048350
0,600167	0,5	-0,025100
0,608500	0,5	-0,021450
0,616833	0,5	-0,038850
0,625167	0,5	-0,028450
0,633500	0,5	-0,034350
0,641833	0,5	-0,029050
0,650167	0,5	-0,040000
0,658500	0,5	-0,030350
0,666833	0,5	-0,043150
0,675167	0,5	-0,036600
0,683500	0,5	-0,035900
0,691833	0,5	-0,044000
0,700167	0,5	-0,051500
0,708500	0,5	-0,031850
0,716833	0,5	-0,055600
0,725167	0,5	-0,053500
0,733500	0,5	-0,052150
0,741833	0,5	-0,042000
0,750167	0,5	-0,011150
0,758500	0,5	-0,014300
0,766833	0,5	-0,014850
0,775167	0,5	-0,021200
0,783500	0,5	-0,019150
0,791833	0,5	-0,025600
0,800167	0,5	-0,022350
0,808500	0,5	-0,026650
0,816833	0,5	-0,025950
