File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/380.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_24h-EGS_
Injection Number	36
Position	RD6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	08:43:51
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,852050
Signal Max.	149,289352
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,049800
0,008667	0,5	-0,049300
0,017000	0,5	-0,044100
0,025333	0,5	-0,038650
0,033667	0,5	-0,022500
0,042000	0,5	-0,039750
0,050333	0,5	-0,037050
0,058667	0,5	-0,031300
0,067000	0,5	-0,010900
0,075333	0,5	-0,000250
0,083667	0,5	0,001200
0,092000	0,5	0,005800
0,100333	0,5	0,001750
0,108667	0,5	-0,001150
0,117000	0,5	-0,001000
0,125333	0,5	0,002200
0,133667	0,5	-0,008350
0,142000	0,5	-0,003650
0,150333	0,5	-0,005900
0,158667	0,5	-0,006600
0,167000	0,5	-0,024800
0,175333	0,5	-0,004400
0,183667	0,5	-0,007200
0,192000	0,5	-0,017350
0,200333	0,5	-0,021000
0,208667	0,5	-0,015100
0,217000	0,5	0,002000
0,225333	0,5	0,012100
0,233667	0,5	0,003650
0,242000	0,5	0,004450
0,250333	0,5	0,012000
0,258667	0,5	0,008800
0,267000	0,5	0,003400
0,275333	0,5	-0,001450
0,283667	0,5	-0,000100
0,292000	0,5	0,014100
0,300333	0,5	0,038700
0,308667	0,5	0,012550
0,317000	0,5	-0,010300
0,325333	0,5	-0,010800
0,333667	0,5	-0,024050
0,342000	0,5	-0,028800
0,350333	0,5	-0,025550
0,358667	0,5	-0,026700
0,367000	0,5	-0,004100
0,375333	0,5	-0,008000
0,383667	0,5	-0,002900
0,392000	0,5	-0,007800
0,400333	0,5	-0,001850
0,408667	0,5	-0,009100
0,417000	0,5	-0,008450
0,425333	0,5	-0,010150
0,433667	0,5	-0,013350
0,442000	0,5	-0,008300
0,450333	0,5	-0,012100
0,458667	0,5	-0,017300
0,467000	0,5	-0,022150
0,475333	0,5	-0,005500
0,483667	0,5	-0,025100
0,492000	0,5	-0,029050
0,500333	0,5	-0,028450
0,508667	0,5	-0,021300
0,517000	0,5	-0,004250
0,525333	0,5	-0,006650
0,533667	0,5	-0,014750
0,542000	0,5	-0,003500
0,550333	0,5	-0,007950
0,558667	0,5	-0,007000
0,567000	0,5	-0,011000
0,575333	0,5	-0,010750
0,583667	0,5	-0,016150
0,592000	0,5	-0,016200
0,600333	0,5	-0,011900
0,608667	0,5	-0,024250
0,617000	0,5	-0,024600
0,625333	0,5	-0,006900
0,633667	0,5	-0,020400
0,642000	0,5	-0,026500
0,650333	0,5	-0,020400
0,658667	0,5	-0,014700
0,667000	0,5	0,008600
0,675333	0,5	-0,008250
0,683667	0,5	-0,000850
0,692000	0,5	-0,002800
0,700333	0,5	0,001950
0,708667	0,5	-0,007800
0,717000	0,5	-0,002950
0,725333	0,5	-0,005300
0,733667	0,5	-0,000450
0,742000	0,5	-0,004450
0,750333	0,5	-0,010450
0,758667	0,5	-0,021800
0,767000	0,5	-0,005800
0,775333	0,5	-0,011450
0,783667	0,5	-0,020100
0,792000	0,5	-0,017800
0,800333	0,5	-0,009450
0,808667	0,5	0,005400
0,817000	0,5	0,019000
0,825333	0,5	0,020500
0,833667	0,5	0,014950
0,842000	0,5	0,018400
0,850333	0,5	0,012900
0,858667	0,5	0,016600
0,867000	0,5	0,009750
0,875333	0,5	0,012050
0,883667	0,5	0,007450
0,892000	0,5	0,010750
0,900333	0,5	0,004300
0,908667	0,5	0,004450
0,917000	0,5	0,017800
0,925333	0,5	0,013000
0,933667	0,5	-0,000600
0,942000	0,5	0,006250
0,950333	0,5	0,013100
0,958667	0,5	0,029300
0,967000	0,5	0,040350
0,975333	0,5	0,037400
0,983667	0,5	0,034550
0,992000	0,5	0,032550
1,000333	0,5	0,032400
1,008667	0,5	0,035750
1,017000	0,5	0,037600
1,025333	0,5	0,029200
1,033667	0,5	0,031000
1,042000	0,5	0,029000
1,050333	0,5	0,029200
1,058667	0,5	0,030750
1,067000	0,5	0,043150
1,075333	0,5	0,024650
1,083667	0,5	0,024700
1,092000	0,5	0,021550
1,100333	0,5	0,041200
1,108667	0,5	0,056050
1,117000	0,5	0,058500
1,125333	0,5	0,052350
1,133667	0,5	0,058000
1,142000	0,5	0,053000
1,150333	0,5	0,052850
1,158667	0,5	0,053300
1,167000	0,5	0,052100
1,175333	0,5	0,051300
1,183667	0,5	0,049300
1,192000	0,5	0,049050
1,200333	0,5	0,037200
1,208667	0,5	0,054450
1,217000	0,5	0,050000
1,225333	0,5	0,042950
1,233667	0,5	0,041250
1,242000	0,5	0,044200
1,250333	0,5	0,059450
1,258667	0,5	0,068450
1,267000	0,5	0,063300
1,275333	0,5	0,067350
1,283667	0,5	0,063450
1,292000	0,5	0,071450
1,300333	0,5	0,067150
1,308667	0,5	0,063750
1,317000	0,5	0,057500
1,325333	0,5	0,059600
1,333667	0,5	0,056650
1,342000	0,5	0,044450
1,350333	0,5	0,035950
1,358667	0,5	0,055650
1,367000	0,5	0,042650
1,375333	0,5	0,038600
1,383667	0,5	0,038750
1,392000	0,5	0,041700
1,400333	0,5	0,061450
1,408667	0,5	0,051150
1,417000	0,5	0,055450
1,425333	0,5	0,043850
1,433667	0,5	0,051950
1,442000	0,5	0,040300
1,450333	0,5	0,043900
1,458667	0,5	0,038550
1,467000	0,5	0,036550
1,475333	0,5	0,035850
1,483667	0,5	0,037950
1,492000	0,5	0,026900
1,500333	0,5	0,020800
1,508667	0,5	0,031950
1,517000	0,5	0,012300
1,525333	0,5	0,007100
1,533667	0,5	0,004600
1,542000	0,5	0,009750
1,550333	0,5	0,038150
1,558667	0,5	0,052150
1,567000	0,5	0,059850
1,575333	0,5	-0,047700
1,583667	0,5	-0,148200
1,592000	0,5	0,888900
1,600333	0,5	5,532050
1,608667	0,5	19,370300
1,617000	0,5	50,545701
1,625333	0,5	96,315201
1,633667	0,5	135,530602
1,642000	0,5	149,289352
1,650333	0,5	136,724452
1,658667	0,5	110,136552
1,667000	0,5	82,313051
1,675333	0,5	59,987051
1,683667	0,5	44,227351
1,692000	0,5	33,652951
1,700333	0,5	26,574350
1,708667	0,5	21,699850
1,717000	0,5	18,297950
1,725333	0,5	15,899900
1,733667	0,5	14,217700
1,742000	0,5	13,078150
1,750333	0,5	12,489850
1,758667	0,5	12,526100
1,767000	0,5	13,123300
1,775333	0,5	13,866100
1,783667	0,5	14,338600
1,792000	0,5	14,306650
1,800333	0,5	13,873500
1,808667	0,5	13,203300
1,817000	0,5	12,445750
1,825333	0,5	11,694000
1,833667	0,5	11,087450
1,842000	0,5	10,812600
1,850333	0,5	11,011300
1,858667	0,5	11,501800
1,867000	0,5	11,829800
1,875333	0,5	11,798650
1,883667	0,5	11,885100
1,892000	0,5	12,833700
1,900333	0,5	15,381450
1,908667	0,5	20,353050
1,917000	0,5	28,722350
1,925333	0,5	41,165601
1,933667	0,5	55,582551
1,942000	0,5	65,815251
1,950333	0,5	66,782601
1,958667	0,5	60,071301
1,967000	0,5	50,980201
1,975333	0,5	43,315351
1,983667	0,5	38,398801
1,992000	0,5	36,638801
2,000333	0,5	39,100401
2,008667	0,5	47,401401
2,017000	0,5	58,926451
2,025333	0,5	65,605001
2,033667	0,5	63,862201
2,042000	0,5	57,603701
2,050333	0,5	49,743101
2,058667	0,5	40,989551
2,067000	0,5	32,864800
2,075333	0,5	26,784700
2,083667	0,5	22,868800
2,092000	0,5	20,466250
2,100333	0,5	18,873550
2,108667	0,5	17,662250
2,117000	0,5	16,689850
2,125333	0,5	15,876300
2,133667	0,5	15,190650
2,142000	0,5	14,608100
2,150333	0,5	14,124600
2,158667	0,5	13,719450
2,167000	0,5	13,403100
2,175333	0,5	13,154700
2,183667	0,5	12,984400
2,192000	0,5	12,907700
2,200333	0,5	12,934000
2,208667	0,5	13,143550
2,217000	0,5	13,799650
2,225333	0,5	15,180750
2,233667	0,5	15,702600
2,242000	0,5	14,628100
2,250333	0,5	13,464600
2,258667	0,5	12,930600
2,267000	0,5	12,707700
2,275333	0,5	12,572350
2,283667	0,5	12,509900
2,292000	0,5	12,553500
2,300333	0,5	12,731650
2,308667	0,5	13,117000
2,317000	0,5	13,808050
2,325333	0,5	15,058350
2,333667	0,5	17,012250
2,342000	0,5	19,471800
2,350333	0,5	21,773100
2,358667	0,5	23,276550
2,367000	0,5	23,743750
2,375333	0,5	23,502450
2,383667	0,5	23,130600
2,392000	0,5	23,154150
2,400333	0,5	23,771750
2,408667	0,5	25,241950
2,417000	0,5	27,949750
2,425333	0,5	32,452000
2,433667	0,5	39,117051
2,442000	0,5	47,187401
2,450333	0,5	54,223751
2,458667	0,5	57,054701
2,467000	0,5	54,418701
