File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/425.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_24h-NT_
Injection Number	50
Position	GA3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	15:24:52
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,998800
Signal Max.	101,961652
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,018100
0,008667	0,5	-0,063750
0,017000	0,5	-0,051900
0,025333	0,5	-0,047800
0,033667	0,5	-0,044100
0,042000	0,5	-0,032400
0,050333	0,5	-0,036450
0,058667	0,5	-0,022300
0,067000	0,5	-0,016900
0,075333	0,5	-0,018450
0,083667	0,5	-0,015000
0,092000	0,5	-0,019850
0,100333	0,5	-0,039000
0,108667	0,5	-0,038050
0,117000	0,5	-0,030700
0,125333	0,5	-0,009850
0,133667	0,5	0,002550
0,142000	0,5	0,000700
0,150333	0,5	-0,005450
0,158667	0,5	-0,004550
0,167000	0,5	-0,002100
0,175333	0,5	-0,004700
0,183667	0,5	-0,008200
0,192000	0,5	-0,016550
0,200333	0,5	-0,011650
0,208667	0,5	-0,016600
0,217000	0,5	-0,023800
0,225333	0,5	-0,030450
0,233667	0,5	-0,016350
0,242000	0,5	-0,031350
0,250333	0,5	-0,034350
0,258667	0,5	-0,033600
0,267000	0,5	-0,014650
0,275333	0,5	-0,005400
0,283667	0,5	0,002250
0,292000	0,5	-0,000800
0,300333	0,5	0,027500
0,308667	0,5	0,032400
0,317000	0,5	0,009750
0,325333	0,5	-0,018150
0,333667	0,5	-0,028250
0,342000	0,5	-0,031500
0,350333	0,5	-0,034300
0,358667	0,5	-0,027500
0,367000	0,5	-0,044100
0,375333	0,5	-0,038200
0,383667	0,5	-0,034000
0,392000	0,5	-0,044150
0,400333	0,5	-0,049600
0,408667	0,5	-0,045000
0,417000	0,5	-0,033900
0,425333	0,5	-0,014400
0,433667	0,5	-0,019300
0,442000	0,5	-0,013950
0,450333	0,5	-0,017550
0,458667	0,5	-0,008550
0,467000	0,5	-0,023500
0,475333	0,5	-0,022350
0,483667	0,5	-0,029600
0,492000	0,5	-0,028050
0,500333	0,5	-0,028650
0,508667	0,5	-0,035650
0,517000	0,5	-0,044550
0,525333	0,5	-0,026500
0,533667	0,5	-0,035850
0,542000	0,5	-0,042950
0,550333	0,5	-0,037500
0,558667	0,5	-0,038950
0,567000	0,5	-0,010800
0,575333	0,5	-0,011600
0,583667	0,5	-0,011500
0,592000	0,5	-0,018700
0,600333	0,5	-0,014850
0,608667	0,5	-0,018800
0,617000	0,5	-0,010600
0,625333	0,5	-0,021250
0,633667	0,5	-0,019150
0,642000	0,5	-0,019900
0,650333	0,5	-0,012600
0,658667	0,5	-0,021450
0,667000	0,5	-0,026550
0,675333	0,5	-0,006800
0,683667	0,5	-0,024050
0,692000	0,5	-0,028800
0,700333	0,5	-0,028750
0,708667	0,5	-0,025500
0,717000	0,5	-0,004900
0,725333	0,5	-0,007200
0,733667	0,5	-0,011350
0,742000	0,5	0,001850
0,750333	0,5	-0,001900
0,758667	0,5	-0,002100
0,767000	0,5	-0,007450
0,775333	0,5	-0,004850
0,783667	0,5	-0,012600
0,792000	0,5	-0,006800
0,800333	0,5	-0,009350
0,808667	0,5	-0,011350
0,817000	0,5	-0,018900
0,825333	0,5	0,005600
0,833667	0,5	-0,016300
0,842000	0,5	-0,012250
0,850333	0,5	-0,011900
0,858667	0,5	-0,004450
0,867000	0,5	0,020100
0,875333	0,5	0,011600
0,883667	0,5	0,008900
0,892000	0,5	0,013650
0,900333	0,5	0,015450
0,908667	0,5	0,012250
0,917000	0,5	0,015800
0,925333	0,5	0,010350
0,933667	0,5	0,020500
0,942000	0,5	0,014900
0,950333	0,5	0,017200
0,958667	0,5	-0,001000
0,967000	0,5	0,003950
0,975333	0,5	0,010550
0,983667	0,5	0,002600
0,992000	0,5	0,001450
1,000333	0,5	0,010500
1,008667	0,5	0,016000
1,017000	0,5	0,035800
1,025333	0,5	0,029850
1,033667	0,5	0,035650
1,042000	0,5	0,032850
1,050333	0,5	0,034450
1,058667	0,5	0,034250
1,067000	0,5	0,032700
1,075333	0,5	0,029800
1,083667	0,5	0,024100
1,092000	0,5	0,033200
1,100333	0,5	0,026850
1,108667	0,5	0,025900
1,117000	0,5	0,033450
1,125333	0,5	0,035650
1,133667	0,5	0,019850
1,142000	0,5	0,023850
1,150333	0,5	0,024050
1,158667	0,5	0,045100
1,167000	0,5	0,050750
1,175333	0,5	0,057150
1,183667	0,5	0,049500
1,192000	0,5	0,055650
1,200333	0,5	0,047550
1,208667	0,5	0,047200
1,217000	0,5	0,046000
1,225333	0,5	0,045850
1,233667	0,5	0,044000
1,242000	0,5	0,039950
1,250333	0,5	0,036950
1,258667	0,5	0,037100
1,267000	0,5	0,047200
1,275333	0,5	0,033950
1,283667	0,5	0,026200
1,292000	0,5	0,026950
1,300333	0,5	0,037750
1,308667	0,5	0,051200
1,317000	0,5	0,064000
1,325333	0,5	0,048600
1,333667	0,5	0,049800
1,342000	0,5	0,042750
1,350333	0,5	0,045900
1,358667	0,5	0,038900
1,367000	0,5	0,036000
1,375333	0,5	0,029750
1,383667	0,5	0,027300
1,392000	0,5	0,023000
