File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/408.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_00.5h-EGS_1
Injection Number	119
Position	BC3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	00:22:06
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-3,052700
Signal Max.	31,244500
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,087600
0,008667	0,5	-0,103500
0,017000	0,5	-0,088200
0,025333	0,5	-0,079250
0,033667	0,5	-0,070300
0,042000	0,5	-0,061200
0,050333	0,5	-0,063700
0,058667	0,5	-0,052450
0,067000	0,5	-0,070750
0,075333	0,5	-0,048350
0,083667	0,5	-0,038000
0,092000	0,5	-0,067350
0,100333	0,5	-0,073250
0,108667	0,5	-0,065900
0,117000	0,5	-0,038450
0,125333	0,5	-0,011250
0,133667	0,5	-0,027800
0,142000	0,5	-0,022100
0,150333	0,5	-0,037900
0,158667	0,5	-0,027850
0,167000	0,5	-0,038550
0,175333	0,5	-0,035250
0,183667	0,5	-0,046300
0,192000	0,5	-0,042850
0,200333	0,5	-0,041650
0,208667	0,5	-0,054500
0,217000	0,5	-0,070650
0,225333	0,5	-0,038650
0,233667	0,5	-0,061550
0,242000	0,5	-0,074800
0,250333	0,5	-0,075200
0,258667	0,5	-0,068200
0,267000	0,5	-0,032100
0,275333	0,5	-0,035650
0,283667	0,5	-0,034150
0,292000	0,5	-0,034850
0,300333	0,5	-0,012100
0,308667	0,5	-0,026500
0,317000	0,5	-0,044150
0,325333	0,5	-0,064700
0,333667	0,5	-0,069200
0,342000	0,5	-0,076350
0,350333	0,5	-0,073150
0,358667	0,5	-0,080300
0,367000	0,5	-0,080100
0,375333	0,5	-0,051800
0,383667	0,5	-0,074100
0,392000	0,5	-0,086400
0,400333	0,5	-0,085050
0,408667	0,5	-0,080300
0,417000	0,5	-0,040300
0,425333	0,5	-0,048850
0,433667	0,5	-0,063600
0,442000	0,5	-0,062000
0,450333	0,5	-0,059450
0,458667	0,5	-0,061100
0,467000	0,5	-0,063400
0,475333	0,5	-0,067600
0,483667	0,5	-0,072600
0,492000	0,5	-0,065900
0,500333	0,5	-0,066100
0,508667	0,5	-0,056650
0,517000	0,5	-0,076250
0,525333	0,5	-0,044550
0,533667	0,5	-0,082950
0,542000	0,5	-0,079400
0,550333	0,5	-0,074700
0,558667	0,5	-0,057350
0,567000	0,5	-0,020450
0,575333	0,5	-0,033600
0,583667	0,5	-0,043900
0,592000	0,5	-0,041400
0,600333	0,5	-0,044900
