File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/966.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_00h-EGS_1
Injection Number	131
Position	BD6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	06:05:41
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,961700
Signal Max.	49,437451
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,015500
0,008667	0,5	-0,070000
0,017000	0,5	-0,062150
0,025333	0,5	-0,031900
0,033667	0,5	-0,013200
0,042000	0,5	-0,012400
0,050333	0,5	-0,004750
0,058667	0,5	0,001500
0,067000	0,5	0,005750
0,075333	0,5	-0,005000
0,083667	0,5	-0,000750
0,092000	0,5	-0,016300
0,100333	0,5	-0,004200
0,108667	0,5	-0,008550
0,117000	0,5	-0,005850
0,125333	0,5	-0,029500
0,133667	0,5	0,014300
0,142000	0,5	-0,029050
0,150333	0,5	-0,028650
0,158667	0,5	-0,030350
0,167000	0,5	-0,017450
0,175333	0,5	0,011950
0,183667	0,5	0,002650
0,192000	0,5	-0,004200
0,200333	0,5	-0,000100
0,208667	0,5	-0,006550
0,217000	0,5	-0,007200
0,225333	0,5	-0,010250
0,233667	0,5	-0,011900
0,242000	0,5	-0,013800
0,250333	0,5	-0,020800
0,258667	0,5	-0,017600
0,267000	0,5	-0,034950
0,275333	0,5	-0,033100
0,283667	0,5	-0,021650
0,292000	0,5	-0,043350
0,300333	0,5	-0,038850
