File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/171.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_00h-EGS_NA
Injection Number	134
Position	BE1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	07:32:02
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,566000
Signal Max.	51,857951
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,019800
0,008667	0,5	-0,045450
0,017000	0,5	-0,043200
0,025333	0,5	-0,031950
0,033667	0,5	-0,016950
0,042000	0,5	0,026700
0,050333	0,5	0,016750
0,058667	0,5	0,026900
0,067000	0,5	0,015000
0,075333	0,5	0,026250
0,083667	0,5	0,014750
0,092000	0,5	0,028400
0,100333	0,5	0,015100
0,108667	0,5	0,011700
0,117000	0,5	0,008750
0,125333	0,5	0,010250
0,133667	0,5	-0,005000
0,142000	0,5	0,004200
0,150333	0,5	0,026800
0,158667	0,5	-0,008650
0,167000	0,5	-0,015000
0,175333	0,5	-0,007050
0,183667	0,5	0,006650
0,192000	0,5	0,032150
0,200333	0,5	0,025100
0,208667	0,5	0,015050
0,217000	0,5	0,018450
0,225333	0,5	0,008250
0,233667	0,5	0,013350
0,242000	0,5	0,004100
0,250333	0,5	0,006050
0,258667	0,5	-0,005400
0,267000	0,5	0,000550
0,275333	0,5	0,004400
0,283667	0,5	-0,003700
0,292000	0,5	0,019000
0,300333	0,5	0,038250
0,308667	0,5	0,002450
0,317000	0,5	-0,018700
0,325333	0,5	-0,023300
0,333667	0,5	-0,011100
0,342000	0,5	0,007500
0,350333	0,5	-0,012700
0,358667	0,5	-0,013050
0,367000	0,5	-0,009700
0,375333	0,5	-0,004900
0,383667	0,5	-0,007850
0,392000	0,5	-0,009050
0,400333	0,5	-0,018650
0,408667	0,5	-0,014400
0,417000	0,5	-0,020800
0,425333	0,5	-0,015200
0,433667	0,5	-0,033950
0,442000	0,5	0,001350
0,450333	0,5	-0,028600
0,458667	0,5	-0,036200
0,467000	0,5	-0,039950
0,475333	0,5	-0,022000
0,483667	0,5	0,002250
0,492000	0,5	0,009700
