File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/456.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_01h-EGS_1
Injection Number	110
Position	BB2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	20:03:03
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-3,175550
Signal Max.	36,824651
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,067350
0,008667	0,5	-0,092950
0,017000	0,5	-0,082100
0,025333	0,5	-0,048650
0,033667	0,5	-0,039250
0,042000	0,5	-0,043850
0,050333	0,5	-0,024950
0,058667	0,5	-0,023100
0,067000	0,5	-0,019550
0,075333	0,5	-0,020850
0,083667	0,5	-0,021950
0,092000	0,5	-0,029000
0,100333	0,5	-0,033000
0,108667	0,5	-0,019400
0,117000	0,5	-0,032450
0,125333	0,5	-0,032050
0,133667	0,5	-0,009500
0,142000	0,5	-0,048550
0,150333	0,5	-0,051900
0,158667	0,5	-0,042900
0,167000	0,5	-0,034700
0,175333	0,5	0,008350
0,183667	0,5	-0,017300
0,192000	0,5	-0,012450
0,200333	0,5	-0,022450
0,208667	0,5	-0,014900
0,217000	0,5	-0,031550
0,225333	0,5	-0,024700
0,233667	0,5	-0,031650
0,242000	0,5	-0,029700
0,250333	0,5	-0,032900
0,258667	0,5	-0,040600
0,267000	0,5	-0,054900
0,275333	0,5	-0,041800
0,283667	0,5	-0,043550
0,292000	0,5	-0,058550
0,300333	0,5	-0,040800
0,308667	0,5	-0,025300
0,317000	0,5	-0,013350
0,325333	0,5	-0,017750
0,333667	0,5	-0,035050
0,342000	0,5	-0,045100
0,350333	0,5	-0,045000
0,358667	0,5	-0,042900
0,367000	0,5	-0,041300
0,375333	0,5	-0,048500
0,383667	0,5	-0,046850
0,392000	0,5	-0,055950
0,400333	0,5	-0,050000
0,408667	0,5	-0,059900
0,417000	0,5	-0,056250
0,425333	0,5	-0,047000
0,433667	0,5	-0,060000
0,442000	0,5	-0,076500
0,450333	0,5	-0,072200
0,458667	0,5	-0,060500
0,467000	0,5	-0,034850
0,475333	0,5	-0,024000
0,483667	0,5	-0,039400
0,492000	0,5	-0,037550
0,500333	0,5	-0,039300
0,508667	0,5	-0,042450
0,517000	0,5	-0,046700
0,525333	0,5	-0,047200
0,533667	0,5	-0,059050
0,542000	0,5	-0,052550
0,550333	0,5	-0,059200
0,558667	0,5	-0,048750
0,567000	0,5	-0,047750
0,575333	0,5	-0,036650
0,583667	0,5	-0,073050
0,592000	0,5	-0,071950
0,600333	0,5	-0,068350
0,608667	0,5	-0,038850
0,617000	0,5	-0,019550
0,625333	0,5	-0,018300
0,633667	0,5	-0,026150
0,642000	0,5	-0,024000
0,650333	0,5	-0,026500
0,658667	0,5	-0,029650
0,667000	0,5	-0,025900
0,675333	0,5	-0,036900
0,683667	0,5	-0,028150
0,692000	0,5	-0,033000
0,700333	0,5	-0,027300
0,708667	0,5	-0,041900
0,717000	0,5	-0,017950
0,725333	0,5	-0,024650
0,733667	0,5	-0,033450
0,742000	0,5	-0,038350
0,750333	0,5	-0,028200
0,758667	0,5	-0,009600
0,767000	0,5	0,009200
0,775333	0,5	-0,005050
0,783667	0,5	0,008400
0,792000	0,5	0,000250
0,800333	0,5	0,015000
0,808667	0,5	0,011350
0,817000	0,5	0,014650
0,825333	0,5	0,008300
0,833667	0,5	0,001700
0,842000	0,5	0,008950
0,850333	0,5	-0,001950
0,858667	0,5	-0,009550
0,867000	0,5	0,022550
0,875333	0,5	0,004000
0,883667	0,5	-0,005100
0,892000	0,5	0,001350
0,900333	0,5	0,010600
0,908667	0,5	0,055050
0,917000	0,5	0,043200
0,925333	0,5	0,045700
0,933667	0,5	0,042300
0,942000	0,5	0,055950
0,950333	0,5	0,045100
0,958667	0,5	0,047350
0,967000	0,5	0,045300
0,975333	0,5	0,043450
0,983667	0,5	0,046800
0,992000	0,5	0,054050
1,000333	0,5	0,052450
1,008667	0,5	0,046600
1,017000	0,5	0,076700
1,025333	0,5	0,046100
1,033667	0,5	0,043950
1,042000	0,5	0,047600
1,050333	0,5	0,066350
1,058667	0,5	0,095550
1,067000	0,5	0,090100
1,075333	0,5	0,068300
1,083667	0,5	0,084950
1,092000	0,5	0,086600
1,100333	0,5	0,094450
1,108667	0,5	0,088450
1,117000	0,5	0,088650
1,125333	0,5	0,082150
1,133667	0,5	0,086200
1,142000	0,5	0,086300
1,150333	0,5	0,080600
1,158667	0,5	0,073200
1,167000	0,5	0,099300
1,175333	0,5	0,072650
1,183667	0,5	0,078200
1,192000	0,5	0,084100
