File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/755.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_02h-EGS_3
Injection Number	102
Position	BA3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	16:14:37
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,692050
Signal Max.	57,685451
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,067300
0,008667	0,5	-0,062400
0,017000	0,5	-0,059650
0,025333	0,5	-0,026050
0,033667	0,5	-0,049900
0,042000	0,5	-0,038950
0,050333	0,5	-0,038250
0,058667	0,5	-0,003850
0,067000	0,5	0,028700
0,075333	0,5	0,018950
0,083667	0,5	0,013000
0,092000	0,5	0,013950
0,100333	0,5	0,008600
0,108667	0,5	0,008600
0,117000	0,5	0,007450
0,125333	0,5	-0,003350
0,133667	0,5	-0,000200
0,142000	0,5	-0,006400
0,150333	0,5	0,002250
0,158667	0,5	-0,017450
0,167000	0,5	0,000750
0,175333	0,5	-0,003250
0,183667	0,5	-0,030350
0,192000	0,5	-0,029700
0,200333	0,5	-0,022350
0,208667	0,5	0,000900
0,217000	0,5	0,021100
0,225333	0,5	0,011050
0,233667	0,5	0,012950
0,242000	0,5	-0,000100
0,250333	0,5	0,002600
0,258667	0,5	-0,003950
0,267000	0,5	-0,003950
0,275333	0,5	-0,010700
0,283667	0,5	-0,017350
0,292000	0,5	0,002950
0,300333	0,5	0,009700
0,308667	0,5	0,010900
