File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/274.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_04h-EGS_1
Injection Number	91
Position	GD8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	10:58:01
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-3,145150
Signal Max.	137,708902
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,103900
0,008667	0,5	-0,092800
0,017000	0,5	-0,083100
0,025333	0,5	-0,071850
0,033667	0,5	-0,063150
0,042000	0,5	-0,056850
0,050333	0,5	-0,063850
0,058667	0,5	-0,053750
0,067000	0,5	-0,059150
0,075333	0,5	-0,049900
0,083667	0,5	-0,054700
0,092000	0,5	-0,043200
0,100333	0,5	-0,084100
0,108667	0,5	-0,077300
0,117000	0,5	-0,076650
0,125333	0,5	-0,051850
0,133667	0,5	-0,037250
0,142000	0,5	-0,046150
0,150333	0,5	-0,051900
0,158667	0,5	-0,051850
0,167000	0,5	-0,057350
0,175333	0,5	-0,060400
0,183667	0,5	-0,065850
0,192000	0,5	-0,077700
0,200333	0,5	-0,075250
0,208667	0,5	-0,078850
0,217000	0,5	-0,089850
0,225333	0,5	-0,102750
0,233667	0,5	-0,082050
0,242000	0,5	-0,096250
0,250333	0,5	-0,116100
0,258667	0,5	-0,113550
0,267000	0,5	-0,103950
0,275333	0,5	-0,080000
0,283667	0,5	-0,066000
0,292000	0,5	-0,064200
0,300333	0,5	-0,052900
0,308667	0,5	-0,074300
0,317000	0,5	-0,090950
0,325333	0,5	-0,109350
0,333667	0,5	-0,112250
0,342000	0,5	-0,115550
0,350333	0,5	-0,116550
0,358667	0,5	-0,116050
0,367000	0,5	-0,141950
0,375333	0,5	-0,143500
0,383667	0,5	-0,121250
0,392000	0,5	-0,136850
0,400333	0,5	-0,150150
0,408667	0,5	-0,136150
0,417000	0,5	-0,132050
0,425333	0,5	-0,100800
0,433667	0,5	-0,117150
0,442000	0,5	-0,107750
0,450333	0,5	-0,121950
0,458667	0,5	-0,114750
0,467000	0,5	-0,128350
0,475333	0,5	-0,118300
0,483667	0,5	-0,129700
0,492000	0,5	-0,135750
0,500333	0,5	-0,135550
0,508667	0,5	-0,140750
0,517000	0,5	-0,156050
0,525333	0,5	-0,146350
0,533667	0,5	-0,130500
0,542000	0,5	-0,152000
0,550333	0,5	-0,160550
0,558667	0,5	-0,153900
0,567000	0,5	-0,133050
0,575333	0,5	-0,113300
0,583667	0,5	-0,121100
0,592000	0,5	-0,130750
0,600333	0,5	-0,121350
0,608667	0,5	-0,130000
0,617000	0,5	-0,123500
0,625333	0,5	-0,136500
0,633667	0,5	-0,133200
0,642000	0,5	-0,136250
0,650333	0,5	-0,132400
0,658667	0,5	-0,134200
0,667000	0,5	-0,148850
0,675333	0,5	-0,136950
0,683667	0,5	-0,131200
0,692000	0,5	-0,148500
0,700333	0,5	-0,150000
0,708667	0,5	-0,141650
0,717000	0,5	-0,113550
0,725333	0,5	-0,107200
0,733667	0,5	-0,126300
0,742000	0,5	-0,124000
0,750333	0,5	-0,127250
0,758667	0,5	-0,115150
0,767000	0,5	-0,120400
0,775333	0,5	-0,117650
0,783667	0,5	-0,125900
0,792000	0,5	-0,122400
0,800333	0,5	-0,125000
0,808667	0,5	-0,123450
0,817000	0,5	-0,143500
0,825333	0,5	-0,112350
0,833667	0,5	-0,133400
0,842000	0,5	-0,132550
0,850333	0,5	-0,137350
0,858667	0,5	-0,121600
0,867000	0,5	-0,097100
0,875333	0,5	-0,096800
0,883667	0,5	-0,098700
0,892000	0,5	-0,098850
0,900333	0,5	-0,095700
0,908667	0,5	-0,100800
0,917000	0,5	-0,099000
0,925333	0,5	-0,102400
0,933667	0,5	-0,103200
0,942000	0,5	-0,107800
0,950333	0,5	-0,104550
0,958667	0,5	-0,122350
0,967000	0,5	-0,120350
0,975333	0,5	-0,104100
0,983667	0,5	-0,117500
0,992000	0,5	-0,123450
1,000333	0,5	-0,119000
1,008667	0,5	-0,102300
1,017000	0,5	-0,070150
1,025333	0,5	-0,072900
1,033667	0,5	-0,075850
1,042000	0,5	-0,080650
1,050333	0,5	-0,078400
1,058667	0,5	-0,083650
1,067000	0,5	-0,083800
1,075333	0,5	-0,089700
1,083667	0,5	-0,091350
1,092000	0,5	-0,087650
1,100333	0,5	-0,098100
1,108667	0,5	-0,102150
1,117000	0,5	-0,099050
1,125333	0,5	-0,085100
1,133667	0,5	-0,104400
1,142000	0,5	-0,100350
1,150333	0,5	-0,103950
1,158667	0,5	-0,079650
1,167000	0,5	-0,064650
1,175333	0,5	-0,059850
1,183667	0,5	-0,070600
1,192000	0,5	-0,064750
1,200333	0,5	-0,072900
1,208667	0,5	-0,065250
1,217000	0,5	-0,072600
1,225333	0,5	-0,074850
1,233667	0,5	-0,080200
1,242000	0,5	-0,077100
1,250333	0,5	-0,079700
1,258667	0,5	-0,085800
1,267000	0,5	-0,068150
1,275333	0,5	-0,075850
1,283667	0,5	-0,092700
1,292000	0,5	-0,092200
1,300333	0,5	-0,083900
1,308667	0,5	-0,058900
1,317000	0,5	-0,050350
1,325333	0,5	-0,059300
1,333667	0,5	-0,049800
1,342000	0,5	-0,059550
1,350333	0,5	-0,055650
1,358667	0,5	-0,066100
1,367000	0,5	-0,061300
1,375333	0,5	-0,063900
1,383667	0,5	-0,060600
1,392000	0,5	-0,064550
1,400333	0,5	-0,076100
1,408667	0,5	-0,081350
1,417000	0,5	-0,047950
1,425333	0,5	-0,072000
1,433667	0,5	-0,081300
1,442000	0,5	-0,078500
1,450333	0,5	-0,070450
1,458667	0,5	-0,044100
1,467000	0,5	-0,056200
1,475333	0,5	-0,056650
1,483667	0,5	-0,065100
1,492000	0,5	-0,059750
1,500333	0,5	-0,067700
1,508667	0,5	-0,064050
1,517000	0,5	-0,076300
1,525333	0,5	-0,077600
1,533667	0,5	-0,084050
1,542000	0,5	-0,084850
1,550333	0,5	-0,121450
1,558667	0,5	-0,179150
1,567000	0,5	-0,387650
1,575333	0,5	-0,868300
1,583667	0,5	-1,306100
1,592000	0,5	-0,939200
1,600333	0,5	1,349800
1,608667	0,5	7,464200
1,617000	0,5	19,469500
1,625333	0,5	35,716301
1,633667	0,5	48,693601
1,642000	0,5	51,544251
1,650333	0,5	45,001201
1,658667	0,5	34,939301
1,667000	0,5	25,949650
1,675333	0,5	19,439000
1,683667	0,5	15,169650
1,692000	0,5	12,467100
1,700333	0,5	10,834150
1,708667	0,5	9,982950
1,717000	0,5	9,530300
1,725333	0,5	9,000150
1,733667	0,5	8,283500
1,742000	0,5	7,506900
1,750333	0,5	6,853550
1,758667	0,5	6,344700
1,767000	0,5	6,012550
1,775333	0,5	5,965700
1,783667	0,5	6,294950
1,792000	0,5	6,913350
1,800333	0,5	7,565900
1,808667	0,5	8,014600
1,817000	0,5	8,120250
1,825333	0,5	7,917650
1,833667	0,5	7,493350
1,842000	0,5	7,031150
1,850333	0,5	6,605250
1,858667	0,5	6,305650
1,867000	0,5	6,005500
1,875333	0,5	5,692450
1,883667	0,5	5,372200
1,892000	0,5	5,096850
1,900333	0,5	4,878850
