File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/751.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_04h-EGS_2
Injection Number	92
Position	GE1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	11:26:35
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,911750
Signal Max.	115,598202
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,029450
0,008500	0,5	-0,041000
0,016833	0,5	-0,036500
0,025167	0,5	-0,028050
0,033500	0,5	-0,012950
0,041833	0,5	-0,003250
0,050167	0,5	0,001750
0,058500	0,5	-0,005400
0,066833	0,5	0,001900
0,075167	0,5	-0,010350
0,083500	0,5	0,005650
0,091833	0,5	-0,007850
0,100167	0,5	-0,018750
0,108500	0,5	0,007450
0,116833	0,5	-0,000300
0,125167	0,5	-0,027400
0,133500	0,5	-0,028350
0,141833	0,5	-0,020400
0,150167	0,5	0,017950
0,158500	0,5	0,011750
0,166833	0,5	0,000700
0,175167	0,5	-0,004900
0,183500	0,5	0,003250
0,191833	0,5	0,001650
0,200167	0,5	0,000550
0,208500	0,5	-0,006600
0,216833	0,5	-0,021200
0,225167	0,5	-0,016000
0,233500	0,5	-0,024050
0,241833	0,5	-0,026450
0,250167	0,5	-0,045300
0,258500	0,5	-0,010500
0,266833	0,5	-0,040150
0,275167	0,5	-0,048000
0,283500	0,5	-0,047200
0,291833	0,5	-0,035000
0,300167	0,5	0,004850
0,308500	0,5	0,006550
0,316833	0,5	-0,017550
0,325167	0,5	-0,024250
0,333500	0,5	-0,043750
0,341833	0,5	-0,042150
0,350167	0,5	-0,046400
0,358500	0,5	-0,049750
0,366833	0,5	-0,054250
0,375167	0,5	-0,054800
0,383500	0,5	-0,050700
0,391833	0,5	-0,073000
0,400167	0,5	-0,079650
0,408500	0,5	-0,051950
0,416833	0,5	-0,081700
0,425167	0,5	-0,081650
0,433500	0,5	-0,081450
0,441833	0,5	-0,070400
0,450167	0,5	-0,033550
0,458500	0,5	-0,058600
0,466833	0,5	-0,057350
0,475167	0,5	-0,068950
0,483500	0,5	-0,058950
0,491833	0,5	-0,069650
0,500167	0,5	-0,063800
0,508500	0,5	-0,074900
0,516833	0,5	-0,076500
0,525167	0,5	-0,081300
0,533500	0,5	-0,089650
0,541833	0,5	-0,102350
0,550167	0,5	-0,098400
0,558500	0,5	-0,084950
0,566833	0,5	-0,109100
0,575167	0,5	-0,106450
0,583500	0,5	-0,105400
0,591833	0,5	-0,082650
0,600167	0,5	-0,065600
0,608500	0,5	-0,067450
0,616833	0,5	-0,083050
0,625167	0,5	-0,074700
0,633500	0,5	-0,081500
0,641833	0,5	-0,081400
0,650167	0,5	-0,094700
0,658500	0,5	-0,093550
0,666833	0,5	-0,093550
0,675167	0,5	-0,095500
0,683500	0,5	-0,103950
0,691833	0,5	-0,101900
0,700167	0,5	-0,090700
0,708500	0,5	-0,094200
0,716833	0,5	-0,119100
0,725167	0,5	-0,117600
0,733500	0,5	-0,106350
0,741833	0,5	-0,086250
0,750167	0,5	-0,070700
0,758500	0,5	-0,080550
0,766833	0,5	-0,081550
0,775167	0,5	-0,089950
0,783500	0,5	-0,086750
0,791833	0,5	-0,087900
0,800167	0,5	-0,083550
0,808500	0,5	-0,096900
0,816833	0,5	-0,091050
0,825167	0,5	-0,098600
0,833500	0,5	-0,094250
0,841833	0,5	-0,099600
0,850167	0,5	-0,077750
0,858500	0,5	-0,100650
0,866833	0,5	-0,108250
0,875167	0,5	-0,102050
0,883500	0,5	-0,085700
0,891833	0,5	-0,065550
