File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/326.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_06h-EGS_2
Injection Number	82
Position	GC8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	06:40:59
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,648350
Signal Max.	213,946403
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,037150
0,008667	0,5	-0,030850
0,017000	0,5	-0,028750
0,025333	0,5	-0,002150
0,033667	0,5	-0,003600
0,042000	0,5	0,009500
0,050333	0,5	0,000150
0,058667	0,5	0,004750
0,067000	0,5	-0,003450
0,075333	0,5	0,000150
0,083667	0,5	-0,001100
0,092000	0,5	-0,027950
0,100333	0,5	-0,027850
0,108667	0,5	-0,007700
0,117000	0,5	-0,020600
0,125333	0,5	-0,036900
0,133667	0,5	-0,024850
0,142000	0,5	-0,018850
0,150333	0,5	0,007500
0,158667	0,5	0,006350
0,167000	0,5	0,011350
0,175333	0,5	-0,002350
0,183667	0,5	0,004600
0,192000	0,5	-0,008600
0,200333	0,5	-0,003800
0,208667	0,5	-0,020450
0,217000	0,5	-0,020050
0,225333	0,5	-0,026050
0,233667	0,5	-0,028050
0,242000	0,5	-0,047600
0,250333	0,5	-0,036000
0,258667	0,5	-0,024950
0,267000	0,5	-0,042750
0,275333	0,5	-0,056250
0,283667	0,5	-0,049350
0,292000	0,5	-0,022200
0,300333	0,5	0,001750
0,308667	0,5	-0,005950
0,317000	0,5	-0,030400
0,325333	0,5	-0,042550
0,333667	0,5	-0,049300
0,342000	0,5	-0,046100
0,350333	0,5	-0,052900
0,358667	0,5	-0,050150
0,367000	0,5	-0,060800
0,375333	0,5	-0,052350
0,383667	0,5	-0,065800
0,392000	0,5	-0,074200
0,400333	0,5	-0,062950
0,408667	0,5	-0,060350
0,417000	0,5	-0,079650
0,425333	0,5	-0,084200
0,433667	0,5	-0,082800
0,442000	0,5	-0,052900
0,450333	0,5	-0,048100
0,458667	0,5	-0,061850
0,467000	0,5	-0,063600
0,475333	0,5	-0,060000
0,483667	0,5	-0,058150
0,492000	0,5	-0,065700
0,500333	0,5	-0,065300
0,508667	0,5	-0,077350
0,517000	0,5	-0,069950
0,525333	0,5	-0,078500
0,533667	0,5	-0,081600
0,542000	0,5	-0,097800
0,550333	0,5	-0,064750
0,558667	0,5	-0,082750
0,567000	0,5	-0,092500
0,575333	0,5	-0,096550
0,583667	0,5	-0,083700
0,592000	0,5	-0,061000
0,600333	0,5	-0,061350
0,608667	0,5	-0,068850
0,617000	0,5	-0,065150
0,625333	0,5	-0,070700
0,633667	0,5	-0,068700
0,642000	0,5	-0,067400
0,650333	0,5	-0,074550
0,658667	0,5	-0,075850
0,667000	0,5	-0,077050
0,675333	0,5	-0,067500
0,683667	0,5	-0,087900
0,692000	0,5	-0,093900
0,700333	0,5	-0,066850
0,708667	0,5	-0,086300
0,717000	0,5	-0,090700
0,725333	0,5	-0,085550
0,733667	0,5	-0,076850
0,742000	0,5	-0,038700
0,750333	0,5	-0,055600
0,758667	0,5	-0,050050
0,767000	0,5	-0,062300
0,775333	0,5	-0,053300
0,783667	0,5	-0,060800
0,792000	0,5	-0,054300
0,800333	0,5	-0,059000
0,808667	0,5	-0,060950
0,817000	0,5	-0,058200
0,825333	0,5	-0,063800
0,833667	0,5	-0,069800
0,842000	0,5	-0,071200
0,850333	0,5	-0,049700
0,858667	0,5	-0,072950
0,867000	0,5	-0,069750
0,875333	0,5	-0,069300
0,883667	0,5	-0,044700
0,892000	0,5	-0,025850
0,900333	0,5	-0,031250
0,908667	0,5	-0,044950
0,917000	0,5	-0,035350
0,925333	0,5	-0,039500
0,933667	0,5	-0,032450
0,942000	0,5	-0,042650
0,950333	0,5	-0,043650
0,958667	0,5	-0,049600
0,967000	0,5	-0,044300
0,975333	0,5	-0,039700
0,983667	0,5	-0,041850
0,992000	0,5	-0,040400
1,000333	0,5	-0,036600
1,008667	0,5	-0,058400
1,017000	0,5	-0,056750
1,025333	0,5	-0,051100
1,033667	0,5	-0,032700
1,042000	0,5	-0,009000
1,050333	0,5	-0,020550
1,058667	0,5	-0,013250
1,067000	0,5	-0,022850
1,075333	0,5	-0,019350
1,083667	0,5	-0,026350
1,092000	0,5	-0,021850
1,100333	0,5	-0,031050
1,108667	0,5	-0,025650
1,117000	0,5	-0,028500
1,125333	0,5	-0,040250
1,133667	0,5	-0,044900
1,142000	0,5	-0,018250
1,150333	0,5	-0,037300
1,158667	0,5	-0,042900
1,167000	0,5	-0,039150
1,175333	0,5	-0,026250
1,183667	0,5	-0,002550
1,192000	0,5	-0,002550
1,200333	0,5	-0,000850
1,208667	0,5	-0,001850
1,217000	0,5	-0,000900
1,225333	0,5	-0,006600
1,233667	0,5	-0,008050
1,242000	0,5	-0,013400
1,250333	0,5	-0,014400
1,258667	0,5	-0,018900
1,267000	0,5	-0,012350
1,275333	0,5	-0,027600
1,283667	0,5	-0,014050
1,292000	0,5	-0,000200
1,300333	0,5	-0,014900
1,308667	0,5	-0,032700
1,317000	0,5	-0,026300
