File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/962.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-EGI_2
Injection Number	65
Position	GB5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	22:32:44
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,252500
Signal Max.	561,003258
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,039650
0,008500	0,5	-0,079400
0,016833	0,5	-0,065750
0,025167	0,5	-0,061800
0,033500	0,5	-0,050650
0,041833	0,5	-0,048050
0,050167	0,5	-0,039700
0,058500	0,5	-0,022250
0,066833	0,5	-0,034000
0,075167	0,5	-0,027900
0,083500	0,5	-0,019300
0,091833	0,5	-0,050250
0,100167	0,5	-0,050950
0,108500	0,5	-0,046200
0,116833	0,5	-0,033800
0,125167	0,5	-0,008600
0,133500	0,5	-0,029650
0,141833	0,5	-0,020900
0,150167	0,5	-0,027250
0,158500	0,5	-0,020850
0,166833	0,5	-0,032100
0,175167	0,5	-0,020800
0,183500	0,5	-0,038150
0,191833	0,5	-0,037750
0,200167	0,5	-0,041800
0,208500	0,5	-0,037300
0,216833	0,5	-0,051800
0,225167	0,5	-0,033600
0,233500	0,5	-0,046750
0,241833	0,5	-0,060600
0,250167	0,5	-0,059500
0,258500	0,5	-0,053700
0,266833	0,5	-0,035600
0,275167	0,5	-0,021050
0,283500	0,5	-0,023150
0,291833	0,5	-0,030550
0,300167	0,5	-0,020500
0,308500	0,5	-0,023600
0,316833	0,5	-0,039000
0,325167	0,5	-0,055250
0,333500	0,5	-0,058450
0,341833	0,5	-0,060600
0,350167	0,5	-0,058950
0,358500	0,5	-0,064800
0,366833	0,5	-0,053100
0,375167	0,5	-0,050900
0,383500	0,5	-0,066100
0,391833	0,5	-0,077550
0,400167	0,5	-0,074800
0,408500	0,5	-0,063750
0,416833	0,5	-0,046000
0,425167	0,5	-0,040600
0,433500	0,5	-0,048250
0,441833	0,5	-0,052400
0,450167	0,5	-0,054850
0,458500	0,5	-0,054350
0,466833	0,5	-0,053800
0,475167	0,5	-0,058900
0,483500	0,5	-0,065050
0,491833	0,5	-0,064100
0,500167	0,5	-0,066950
0,508500	0,5	-0,064150
0,516833	0,5	-0,060550
0,525167	0,5	-0,052650
0,533500	0,5	-0,080900
0,541833	0,5	-0,081150
0,550167	0,5	-0,083800
0,558500	0,5	-0,058550
0,566833	0,5	-0,047300
0,575167	0,5	-0,043500
0,583500	0,5	-0,052700
0,591833	0,5	-0,051200
0,600167	0,5	-0,053000
0,608500	0,5	-0,054550
0,616833	0,5	-0,059100
0,625167	0,5	-0,064800
0,633500	0,5	-0,065150
0,641833	0,5	-0,065000
0,650167	0,5	-0,055350
0,658500	0,5	-0,067250
0,666833	0,5	-0,048250
0,675167	0,5	-0,062400
0,683500	0,5	-0,071600
0,691833	0,5	-0,077000
0,700167	0,5	-0,072000
0,708500	0,5	-0,055100
0,716833	0,5	-0,044250
0,725167	0,5	-0,052000
0,733500	0,5	-0,045900
0,741833	0,5	-0,055950
0,750167	0,5	-0,044550
0,758500	0,5	-0,050650
0,766833	0,5	-0,049000
0,775167	0,5	-0,051050
0,783500	0,5	-0,053250
0,791833	0,5	-0,052500
0,800167	0,5	-0,061200
0,808500	0,5	-0,064000
0,816833	0,5	-0,037200
0,825167	0,5	-0,062000
0,833500	0,5	-0,065500
0,841833	0,5	-0,061350
0,850167	0,5	-0,055750
0,858500	0,5	-0,029350
0,866833	0,5	-0,038000
0,875167	0,5	-0,037900
0,883500	0,5	-0,038850
0,891833	0,5	-0,030900
0,900167	0,5	-0,037950
0,908500	0,5	-0,034550
0,916833	0,5	-0,044450
0,925167	0,5	-0,043150
0,933500	0,5	-0,045950
0,941833	0,5	-0,035400
0,950167	0,5	-0,039700
0,958500	0,5	-0,043050
0,966833	0,5	-0,022300
0,975167	0,5	-0,045250
0,983500	0,5	-0,049800
0,991833	0,5	-0,044950
1,000167	0,5	-0,036150
1,008500	0,5	-0,014800
1,016833	0,5	-0,018350
1,025167	0,5	-0,027950
1,033500	0,5	-0,019200
1,041833	0,5	-0,023150
1,050167	0,5	-0,020500
1,058500	0,5	-0,028850
1,066833	0,5	-0,023500
1,075167	0,5	-0,027300
1,083500	0,5	-0,022800
1,091833	0,5	-0,020700
1,100167	0,5	-0,025850
1,108500	0,5	-0,024000
1,116833	0,5	-0,016050
1,125167	0,5	-0,036250
1,133500	0,5	-0,027400
1,141833	0,5	-0,023450
1,150167	0,5	-0,010550
1,158500	0,5	0,004300
1,166833	0,5	-0,007050
1,175167	0,5	-0,005550
1,183500	0,5	-0,003900
1,191833	0,5	-0,001450
1,200167	0,5	-0,006900
1,208500	0,5	-0,003300
1,216833	0,5	-0,012000
1,225167	0,5	-0,001350
1,233500	0,5	-0,006900
1,241833	0,5	-0,009950
1,250167	0,5	-0,023450
1,258500	0,5	-0,007000
1,266833	0,5	-0,013800
1,275167	0,5	-0,022000
1,283500	0,5	-0,021850
1,291833	0,5	-0,012000
1,300167	0,5	0,000300
1,308500	0,5	0,013250
1,316833	0,5	0,007850
1,325167	0,5	0,016100
1,333500	0,5	0,010950
1,341833	0,5	0,006600
1,350167	0,5	-0,000550
1,358500	0,5	-0,007000
1,366833	0,5	-0,004800
1,375167	0,5	-0,006950
1,383500	0,5	-0,005500
1,391833	0,5	-0,025300
1,400167	0,5	-0,024000
1,408500	0,5	-0,016150
1,416833	0,5	-0,026350
1,425167	0,5	-0,037500
1,433500	0,5	-0,037100
1,441833	0,5	-0,033950
1,450167	0,5	-0,014200
1,458500	0,5	-0,007500
1,466833	0,5	-0,009000
1,475167	0,5	-0,021500
1,483500	0,5	-0,022050
1,491833	0,5	-0,028750
1,500167	0,5	-0,029850
1,508500	0,5	-0,040200
1,516833	0,5	-0,044600
1,525167	0,5	-0,048600
1,533500	0,5	-0,063100
1,541833	0,5	-0,075800
1,550167	0,5	-0,076500
1,558500	0,5	-0,095350
1,566833	0,5	-0,212900
1,575167	0,5	-0,514350
1,583500	0,5	-0,930300
1,591833	0,5	-0,595350
1,600167	0,5	2,769050
1,608500	0,5	14,855650
1,616833	0,5	47,941301
1,625167	0,5	112,560552
1,633500	0,5	191,103903
1,641833	0,5	239,591854
1,650167	0,5	232,900203
1,658500	0,5	188,976903
1,666833	0,5	139,000952
1,675167	0,5	99,109801
1,683500	0,5	71,489051
1,691833	0,5	53,416301
1,700167	0,5	42,071351
1,708500	0,5	35,343601
1,716833	0,5	31,377300
1,725167	0,5	28,270900
1,733500	0,5	24,976150
1,741833	0,5	21,691750
1,750167	0,5	18,954300
1,758500	0,5	16,993900
1,766833	0,5	15,844150
1,775167	0,5	15,352900
1,783500	0,5	15,325950
1,791833	0,5	15,519100
1,800167	0,5	15,797350
1,808500	0,5	15,977400
1,816833	0,5	15,940450
1,825167	0,5	15,519850
1,833500	0,5	14,727200
1,841833	0,5	13,785100
1,850167	0,5	12,931650
1,858500	0,5	12,140850
1,866833	0,5	11,497700
1,875167	0,5	10,991400
1,883500	0,5	10,614000
1,891833	0,5	10,411950
1,900167	0,5	10,344200
1,908500	0,5	10,378450
1,916833	0,5	10,338350
1,925167	0,5	10,286500
1,933500	0,5	10,684100
1,941833	0,5	12,393500
1,950167	0,5	16,884800
1,958500	0,5	27,688250
1,966833	0,5	50,845501
1,975167	0,5	87,488251
1,983500	0,5	121,676352
1,991833	0,5	130,561902
2,000167	0,5	111,854402
2,008500	0,5	83,130851
2,016833	0,5	58,904501
2,025167	0,5	42,359751
2,033500	0,5	31,785350
2,041833	0,5	25,336050
2,050167	0,5	21,878550
2,058500	0,5	20,823500
2,066833	0,5	21,250950
2,075167	0,5	21,548650
2,083500	0,5	20,609100
2,091833	0,5	18,712050
2,100167	0,5	16,661150
2,108500	0,5	14,916000
2,116833	0,5	13,632350
2,125167	0,5	12,785700
2,133500	0,5	12,271350
2,141833	0,5	11,952800
2,150167	0,5	11,769150
2,158500	0,5	11,598250
2,166833	0,5	11,384900
2,175167	0,5	11,091550
2,183500	0,5	10,799850
2,191833	0,5	10,523200
2,200167	0,5	10,276650
2,208500	0,5	10,113150
2,216833	0,5	10,048200
2,225167	0,5	10,031650
2,233500	0,5	9,999300
2,241833	0,5	9,929150
2,250167	0,5	9,851850
2,258500	0,5	9,816800
2,266833	0,5	9,805700
2,275167	0,5	9,831400
2,283500	0,5	9,845050
2,291833	0,5	9,892950
2,300167	0,5	9,955950
2,308500	0,5	10,051150
2,316833	0,5	10,186350
2,325167	0,5	10,342850
2,333500	0,5	10,529950
2,341833	0,5	10,775050
2,350167	0,5	11,053200
2,358500	0,5	11,344150
2,366833	0,5	11,525050
2,375167	0,5	11,616500
2,383500	0,5	11,725850
2,391833	0,5	11,981100
2,400167	0,5	12,368200
2,408500	0,5	12,782400
2,416833	0,5	13,143450
2,425167	0,5	13,358850
2,433500	0,5	13,449600
2,441833	0,5	13,425750
2,450167	0,5	13,304500
2,458500	0,5	13,169200
2,466833	0,5	13,082450
2,475167	0,5	13,116850
2,483500	0,5	13,384250
2,491833	0,5	13,927950
2,500167	0,5	14,651150
2,508500	0,5	15,207800
2,516833	0,5	15,385550
2,525167	0,5	15,308700
2,533500	0,5	15,562000
2,541833	0,5	16,895200
2,550167	0,5	20,067250
2,558500	0,5	25,624200
2,566833	0,5	34,120301
2,575167	0,5	47,222301
2,583500	0,5	70,537851
2,591833	0,5	117,421002
2,600167	0,5	207,592103
2,608500	0,5	343,565455
2,616833	0,5	482,059507
2,625167	0,5	561,003258
2,633500	0,5	556,216908
2,641833	0,5	487,484807
2,650167	0,5	390,331206
2,658500	0,5	294,628704
2,666833	0,5	215,954153
2,675167	0,5	158,004402
2,683500	0,5	118,027052
2,691833	0,5	91,528151
2,700167	0,5	74,278501
2,708500	0,5	62,978951
2,716833	0,5	55,183001
2,725167	0,5	49,204901
2,733500	0,5	44,088201
2,741833	0,5	39,341451
2,750167	0,5	34,924751
2,758500	0,5	30,992750
2,766833	0,5	27,649350
2,775167	0,5	24,925350
2,783500	0,5	22,747000
2,791833	0,5	20,998350
2,800167	0,5	19,596200
2,808500	0,5	18,422000
2,816833	0,5	17,424700
2,825167	0,5	16,546500
2,833500	0,5	15,779900
2,841833	0,5	15,089050
2,850167	0,5	14,495750
2,858500	0,5	13,989750
2,866833	0,5	13,577500
2,875167	0,5	13,237500
2,883500	0,5	12,991450
2,891833	0,5	12,701600
2,900167	0,5	12,382700
2,908500	0,5	11,995100
2,916833	0,5	11,550350
2,925167	0,5	11,104550
2,933500	0,5	10,656400
2,941833	0,5	10,264500
2,950167	0,5	9,948550
2,958500	0,5	9,690400
2,966833	0,5	9,503200
2,975167	0,5	9,403450
2,983500	0,5	9,426550
2,991833	0,5	9,608100
3,000167	0,5	9,965550
3,008500	0,5	10,431850
3,016833	0,5	10,827150
3,025167	0,5	10,987200
3,033500	0,5	10,801550
3,041833	0,5	10,257500
3,050167	0,5	9,546350
3,058500	0,5	8,827200
3,066833	0,5	8,218400
3,075167	0,5	7,763700
3,083500	0,5	7,409950
3,091833	0,5	7,150050
3,100167	0,5	6,943750
3,108500	0,5	6,766200
3,116833	0,5	6,597850
3,125167	0,5	6,439850
3,133500	0,5	6,283950
3,141833	0,5	6,134050
3,150167	0,5	6,003800
3,158500	0,5	5,875550
3,166833	0,5	5,769550
3,175167	0,5	5,675000
3,183500	0,5	5,598400
3,191833	0,5	5,499450
3,200167	0,5	5,423850
3,208500	0,5	5,331450
3,216833	0,5	5,252800
3,225167	0,5	5,170250
3,233500	0,5	5,089000
3,241833	0,5	5,000450
3,250167	0,5	4,933750
3,258500	0,5	4,869250
3,266833	0,5	4,820350
3,275167	0,5	4,779100
3,283500	0,5	4,740800
3,291833	0,5	4,712450
3,300167	0,5	4,693300
3,308500	0,5	4,687600
3,316833	0,5	4,679650
3,325167	0,5	4,676850
3,333500	0,5	4,651600
3,341833	0,5	4,601500
3,350167	0,5	4,550000
3,358500	0,5	4,487150
3,366833	0,5	4,428100
3,375167	0,5	4,375900
3,383500	0,5	4,319800
3,391833	0,5	4,292700
3,400167	0,5	4,275850
3,408500	0,5	4,294100
3,416833	0,5	4,328700
3,425167	0,5	4,413500
3,433500	0,5	4,539550
3,441833	0,5	4,757900
3,450167	0,5	5,073250
3,458500	0,5	5,505600
3,466833	0,5	6,032650
3,475167	0,5	6,585400
3,483500	0,5	7,024000
3,491833	0,5	7,263600
3,500167	0,5	7,236100
3,508500	0,5	6,943700
3,516833	0,5	6,465100
3,525167	0,5	5,888750
3,533500	0,5	5,327250
3,541833	0,5	4,834300
3,550167	0,5	4,456650
3,558500	0,5	4,162600
3,566833	0,5	3,959100
3,575167	0,5	3,795950
3,583500	0,5	3,682000
3,591833	0,5	3,597400
3,600167	0,5	3,538250
