File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/771.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-EGI_NA
Injection Number	67
Position	GB7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	23:31:17
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,263650
Signal Max.	633,110309
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,035800
0,008667	0,5	-0,047100
0,017000	0,5	-0,043450
0,025333	0,5	-0,043350
0,033667	0,5	-0,029350
0,042000	0,5	-0,001250
0,050333	0,5	0,011500
0,058667	0,5	0,006450
0,067000	0,5	0,013000
0,075333	0,5	0,011250
0,083667	0,5	0,008450
0,092000	0,5	-0,004600
0,100333	0,5	-0,003000
0,108667	0,5	-0,010950
0,117000	0,5	-0,004150
0,125333	0,5	-0,008850
0,133667	0,5	-0,013800
0,142000	0,5	-0,005100
0,150333	0,5	-0,002000
0,158667	0,5	-0,029950
0,167000	0,5	-0,021450
0,175333	0,5	-0,027550
0,183667	0,5	-0,000600
0,192000	0,5	0,003100
0,200333	0,5	-0,000600
0,208667	0,5	-0,007300
0,217000	0,5	-0,006600
0,225333	0,5	-0,007950
0,233667	0,5	-0,011800
0,242000	0,5	-0,015050
0,250333	0,5	-0,020000
0,258667	0,5	-0,017200
0,267000	0,5	-0,020750
0,275333	0,5	-0,025750
0,283667	0,5	-0,041350
0,292000	0,5	-0,005950
0,300333	0,5	-0,009250
0,308667	0,5	-0,025750
0,317000	0,5	-0,044650
0,325333	0,5	-0,047150
0,333667	0,5	-0,033950
0,342000	0,5	-0,030450
0,350333	0,5	-0,034000
0,358667	0,5	-0,019550
0,367000	0,5	-0,024750
0,375333	0,5	-0,025650
0,383667	0,5	-0,033300
0,392000	0,5	-0,036350
0,400333	0,5	-0,042100
0,408667	0,5	-0,041500
0,417000	0,5	-0,041250
0,425333	0,5	-0,058950
0,433667	0,5	-0,063950
0,442000	0,5	-0,039750
0,450333	0,5	-0,054800
0,458667	0,5	-0,062550
0,467000	0,5	-0,058350
0,475333	0,5	-0,058950
0,483667	0,5	-0,024550
0,492000	0,5	-0,040250
0,500333	0,5	-0,042650
0,508667	0,5	-0,051850
0,517000	0,5	-0,043950
0,525333	0,5	-0,050300
0,533667	0,5	-0,045350
0,542000	0,5	-0,054500
0,550333	0,5	-0,049750
0,558667	0,5	-0,049400
0,567000	0,5	-0,053250
0,575333	0,5	-0,063000
0,583667	0,5	-0,067050
0,592000	0,5	-0,052300
0,600333	0,5	-0,071600
0,608667	0,5	-0,070450
0,617000	0,5	-0,067750
0,625333	0,5	-0,056050
0,633667	0,5	-0,037300
0,642000	0,5	-0,039900
0,650333	0,5	-0,039050
0,658667	0,5	-0,039000
0,667000	0,5	-0,046550
0,675333	0,5	-0,041700
0,683667	0,5	-0,049600
0,692000	0,5	-0,051550
0,700333	0,5	-0,058250
0,708667	0,5	-0,053750
0,717000	0,5	-0,053550
0,725333	0,5	-0,057850
0,733667	0,5	-0,054800
0,742000	0,5	-0,042400
0,750333	0,5	-0,065550
0,758667	0,5	-0,066900
0,767000	0,5	-0,064450
0,775333	0,5	-0,044100
0,783667	0,5	-0,024200
