File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/227.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-EGS_3
Injection Number	34
Position	RD4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	07:46:19
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,879350
Signal Max.	358,645355
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,036400
0,008500	0,5	-0,053100
0,016833	0,5	-0,042600
0,025167	0,5	-0,028450
0,033500	0,5	-0,014450
0,041833	0,5	-0,015100
0,050167	0,5	-0,010450
0,058500	0,5	-0,004600
0,066833	0,5	-0,001550
0,075167	0,5	-0,003900
0,083500	0,5	-0,005150
0,091833	0,5	-0,004400
0,100167	0,5	-0,007350
0,108500	0,5	-0,002850
0,116833	0,5	-0,027600
0,125167	0,5	-0,020500
0,133500	0,5	-0,002450
0,141833	0,5	-0,015700
0,150167	0,5	-0,021550
0,158500	0,5	-0,008550
0,166833	0,5	-0,010200
0,175167	0,5	0,012050
0,183500	0,5	0,002950
0,191833	0,5	0,006000
0,200167	0,5	0,002550
0,208500	0,5	0,008550
0,216833	0,5	0,001200
0,225167	0,5	0,006650
0,233500	0,5	-0,002850
0,241833	0,5	-0,004200
0,250167	0,5	0,002100
0,258500	0,5	-0,003550
0,266833	0,5	-0,015000
0,275167	0,5	-0,009550
0,283500	0,5	0,000800
0,291833	0,5	-0,014050
0,300167	0,5	-0,004700
0,308500	0,5	0,002700
