File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/994.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-EGS_NA
Injection Number	35
Position	RD5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	08:15:05
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,878050
Signal Max.	49,860351
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,039000
0,008667	0,5	-0,051150
0,017000	0,5	-0,041250
0,025333	0,5	-0,032850
0,033667	0,5	-0,031550
0,042000	0,5	-0,022400
0,050333	0,5	-0,022450
0,058667	0,5	-0,009350
0,067000	0,5	-0,028500
0,075333	0,5	-0,000500
0,083667	0,5	-0,019450
0,092000	0,5	-0,026250
0,100333	0,5	-0,024650
0,108667	0,5	-0,015100
0,117000	0,5	0,005900
0,125333	0,5	0,008000
0,133667	0,5	0,006150
0,142000	0,5	0,004150
0,150333	0,5	0,008100
0,158667	0,5	0,008300
0,167000	0,5	0,005300
0,175333	0,5	0,001500
0,183667	0,5	0,005050
0,192000	0,5	-0,004650
0,200333	0,5	-0,000900
0,208667	0,5	-0,015150
0,217000	0,5	-0,012150
0,225333	0,5	-0,006550
0,233667	0,5	-0,014300
0,242000	0,5	-0,020700
0,250333	0,5	-0,012000
0,258667	0,5	-0,000550
0,267000	0,5	0,014550
0,275333	0,5	0,013800
0,283667	0,5	0,012850
0,292000	0,5	0,013400
0,300333	0,5	0,023550
0,308667	0,5	0,017750
0,317000	0,5	0,006150
0,325333	0,5	-0,000950
0,333667	0,5	-0,009350
0,342000	0,5	-0,007800
0,350333	0,5	-0,012450
0,358667	0,5	-0,013500
0,367000	0,5	-0,009150
0,375333	0,5	-0,007050
0,383667	0,5	-0,018300
0,392000	0,5	-0,017950
0,400333	0,5	-0,018200
0,408667	0,5	-0,000350
0,417000	0,5	0,005700
0,425333	0,5	0,013050
0,433667	0,5	0,005300
0,442000	0,5	0,013800
0,450333	0,5	0,006400
0,458667	0,5	0,004800
0,467000	0,5	-0,003650
0,475333	0,5	-0,003650
0,483667	0,5	-0,005500
0,492000	0,5	-0,004700
0,500333	0,5	-0,004000
0,508667	0,5	-0,011650
0,517000	0,5	0,004850
0,525333	0,5	-0,003550
0,533667	0,5	-0,013650
0,542000	0,5	-0,008400
0,550333	0,5	-0,002200
0,558667	0,5	0,014400
0,567000	0,5	0,015800
0,575333	0,5	0,008600
0,583667	0,5	0,015850
0,592000	0,5	0,009550
0,600333	0,5	0,013850
0,608667	0,5	0,008900
0,617000	0,5	0,011750
0,625333	0,5	0,007250
0,633667	0,5	0,012550
0,642000	0,5	0,016150
0,650333	0,5	0,001000
0,658667	0,5	-0,000050
0,667000	0,5	0,024050
0,675333	0,5	0,001100
0,683667	0,5	-0,000200
0,692000	0,5	0,004150
0,700333	0,5	0,004900
0,708667	0,5	0,031200
0,717000	0,5	0,024200
0,725333	0,5	0,030250
0,733667	0,5	0,030150
0,742000	0,5	0,032800
0,750333	0,5	0,027600
0,758667	0,5	0,028100
0,767000	0,5	0,023300
0,775333	0,5	0,023650
0,783667	0,5	0,023550
0,792000	0,5	0,030300
0,800333	0,5	0,019350
0,808667	0,5	0,026100
0,817000	0,5	0,036050
0,825333	0,5	0,025650
0,833667	0,5	0,022500
0,842000	0,5	0,028550
0,850333	0,5	0,035400
0,858667	0,5	0,051800
0,867000	0,5	0,044850
0,875333	0,5	0,041400
0,883667	0,5	0,046800
0,892000	0,5	0,041200
0,900333	0,5	0,046100
0,908667	0,5	0,044100
0,917000	0,5	0,049700
0,925333	0,5	0,049500
0,933667	0,5	0,050600
0,942000	0,5	0,055600
0,950333	0,5	0,055150
0,958667	0,5	0,057000
0,967000	0,5	0,061500
0,975333	0,5	0,044100
0,983667	0,5	0,046400
0,992000	0,5	0,052000
1,000333	0,5	0,066950
1,008667	0,5	0,076900
1,017000	0,5	0,070650
1,025333	0,5	0,074750
1,033667	0,5	0,074800
1,042000	0,5	0,071450
1,050333	0,5	0,071400
1,058667	0,5	0,073050
1,067000	0,5	0,068800
1,075333	0,5	0,074550
1,083667	0,5	0,068900
1,092000	0,5	0,072700
1,100333	0,5	0,060550
1,108667	0,5	0,082200
1,117000	0,5	0,074750
1,125333	0,5	0,069750
1,133667	0,5	0,064500
1,142000	0,5	0,074500
1,150333	0,5	0,087350
1,158667	0,5	0,095750
1,167000	0,5	0,089750
1,175333	0,5	0,091100
1,183667	0,5	0,090950
1,192000	0,5	0,091400
1,200333	0,5	0,088150
1,208667	0,5	0,089500
1,217000	0,5	0,085750
1,225333	0,5	0,084250
1,233667	0,5	0,086450
1,242000	0,5	0,074700
1,250333	0,5	0,078750
1,258667	0,5	0,083000
1,267000	0,5	0,068200
1,275333	0,5	0,066700
1,283667	0,5	0,064300
1,292000	0,5	0,073900
1,300333	0,5	0,091300
1,308667	0,5	0,087300
1,317000	0,5	0,088600
1,325333	0,5	0,078000
1,333667	0,5	0,085000
1,342000	0,5	0,072050
1,350333	0,5	0,076100
1,358667	0,5	0,067550
1,367000	0,5	0,060800
1,375333	0,5	0,059600
1,383667	0,5	0,052250
1,392000	0,5	0,048250
1,400333	0,5	0,058200
1,408667	0,5	0,053400
1,417000	0,5	0,036600
1,425333	0,5	0,031500
1,433667	0,5	0,032500
1,442000	0,5	0,044500
1,450333	0,5	0,046900
1,458667	0,5	0,050600
1,467000	0,5	0,041650
1,475333	0,5	0,045100
1,483667	0,5	0,035800
1,492000	0,5	0,038650
1,500333	0,5	0,027150
1,508667	0,5	0,021750
1,517000	0,5	0,013300
1,525333	0,5	0,011650
1,533667	0,5	0,008900
1,542000	0,5	0,002700
