File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/406.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-NT_1
Injection Number	46
Position	RE7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	13:29:36
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,993700
Signal Max.	117,904702
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,040800
0,008500	0,5	-0,040200
0,016833	0,5	-0,042150
0,025167	0,5	-0,037200
0,033500	0,5	-0,034700
0,041833	0,5	-0,009850
0,050167	0,5	0,004050
0,058500	0,5	-0,001350
0,066833	0,5	0,001300
0,075167	0,5	-0,000650
0,083500	0,5	-0,001000
0,091833	0,5	-0,001100
0,100167	0,5	0,000050
0,108500	0,5	-0,008850
0,116833	0,5	-0,003650
0,125167	0,5	-0,002550
0,133500	0,5	-0,002900
0,141833	0,5	-0,016950
0,150167	0,5	0,012000
0,158500	0,5	-0,008950
0,166833	0,5	-0,017950
0,175167	0,5	-0,019550
0,183500	0,5	-0,013450
0,191833	0,5	0,015900
0,200167	0,5	0,011300
0,208500	0,5	0,001550
0,216833	0,5	0,000200
0,225167	0,5	-0,000200
0,233500	0,5	-0,000150
0,241833	0,5	-0,001200
0,250167	0,5	-0,000750
0,258500	0,5	-0,005900
0,266833	0,5	-0,009500
0,275167	0,5	-0,004300
0,283500	0,5	-0,015500
0,291833	0,5	-0,005650
0,300167	0,5	0,026650
0,308500	0,5	-0,005450
0,316833	0,5	-0,021900
0,325167	0,5	-0,024500
0,333500	0,5	-0,024850
0,341833	0,5	-0,002150
0,350167	0,5	-0,005850
0,358500	0,5	-0,008600
0,366833	0,5	-0,012750
0,375167	0,5	-0,004100
0,383500	0,5	-0,010250
0,391833	0,5	-0,012200
0,400167	0,5	-0,017450
0,408500	0,5	-0,016000
0,416833	0,5	-0,014500
0,425167	0,5	-0,017450
0,433500	0,5	-0,013600
0,441833	0,5	-0,023800
0,450167	0,5	-0,007150
0,458500	0,5	-0,033500
0,466833	0,5	-0,031500
0,475167	0,5	-0,027150
0,483500	0,5	-0,011750
0,491833	0,5	0,003550
0,500167	0,5	-0,006100
0,508500	0,5	-0,016800
0,516833	0,5	-0,009400
0,525167	0,5	-0,015550
0,533500	0,5	-0,011700
0,541833	0,5	-0,018450
0,550167	0,5	-0,016400
0,558500	0,5	-0,018350
0,566833	0,5	-0,014650
0,575167	0,5	-0,010650
0,583500	0,5	-0,031200
0,591833	0,5	-0,025150
0,600167	0,5	-0,020250
0,608500	0,5	-0,033450
0,616833	0,5	-0,030650
0,625167	0,5	-0,026000
0,633500	0,5	-0,015200
0,641833	0,5	0,007500
0,650167	0,5	-0,009400
0,658500	0,5	-0,001750
0,666833	0,5	-0,004500
0,675167	0,5	0,005750
0,683500	0,5	-0,004300
0,691833	0,5	-0,006150
0,700167	0,5	-0,014750
0,708500	0,5	-0,009000
0,716833	0,5	-0,006600
0,725167	0,5	-0,019450
0,733500	0,5	-0,021850
0,741833	0,5	-0,009700
0,750167	0,5	-0,016300
0,758500	0,5	-0,021550
0,766833	0,5	-0,016550
0,775167	0,5	-0,009600
0,783500	0,5	0,009950
0,791833	0,5	0,014200
0,800167	0,5	0,015800
0,808500	0,5	0,007600
0,816833	0,5	0,012450
0,825167	0,5	0,004700
0,833500	0,5	0,006800
0,841833	0,5	0,000950
0,850167	0,5	0,004850
0,858500	0,5	0,010350
0,866833	0,5	0,009500
0,875167	0,5	-0,001500
0,883500	0,5	0,004200
0,891833	0,5	0,003950
0,900167	0,5	-0,003450
0,908500	0,5	-0,009850
0,916833	0,5	-0,004250
0,925167	0,5	0,011700
0,933500	0,5	0,027550
0,941833	0,5	0,031650
0,950167	0,5	0,030050
0,958500	0,5	0,035150
0,966833	0,5	0,032050
0,975167	0,5	0,031600
0,983500	0,5	0,027000
0,991833	0,5	0,026000
1,000167	0,5	0,021000
1,008500	0,5	0,028600
1,016833	0,5	0,023500
1,025167	0,5	0,020550
1,033500	0,5	0,025850
1,041833	0,5	0,037000
1,050167	0,5	0,021200
1,058500	0,5	0,025600
1,066833	0,5	0,020100
1,075167	0,5	0,041650
1,083500	0,5	0,048400
1,091833	0,5	0,047550
1,100167	0,5	0,045900
1,108500	0,5	0,045800
1,116833	0,5	0,046550
1,125167	0,5	0,044700
1,133500	0,5	0,044400
1,141833	0,5	0,044850
1,150167	0,5	0,050050
1,158500	0,5	0,049150
1,166833	0,5	0,043300
1,175167	0,5	0,030850
1,183500	0,5	0,053250
1,191833	0,5	0,042000
1,200167	0,5	0,036000
1,208500	0,5	0,038350
1,216833	0,5	0,044850
1,225167	0,5	0,063900
1,233500	0,5	0,064100
1,241833	0,5	0,065150
1,250167	0,5	0,066650
1,258500	0,5	0,060350
1,266833	0,5	0,064250
1,275167	0,5	0,062150
1,283500	0,5	0,062450
1,291833	0,5	0,062400
1,300167	0,5	0,055150
1,308500	0,5	0,057250
1,316833	0,5	0,042600
1,325167	0,5	0,041700
1,333500	0,5	0,065550
1,341833	0,5	0,048650
1,350167	0,5	0,039250
1,358500	0,5	0,045000
1,366833	0,5	0,046350
1,375167	0,5	0,069500
1,383500	0,5	0,057800
1,391833	0,5	0,060850
1,400167	0,5	0,051550
1,408500	0,5	0,056050
1,416833	0,5	0,046800
1,425167	0,5	0,050850
1,433500	0,5	0,044100
1,441833	0,5	0,040400
1,450167	0,5	0,041500
1,458500	0,5	0,041000
1,466833	0,5	0,030850
1,475167	0,5	0,026150
1,483500	0,5	0,031650
1,491833	0,5	0,010150
1,500167	0,5	0,006400
1,508500	0,5	-0,001000
1,516833	0,5	0,005600
1,525167	0,5	0,025050
1,533500	0,5	0,017500
1,541833	0,5	-0,000200
1,550167	0,5	-0,014650
1,558500	0,5	-0,096350
1,566833	0,5	-0,338650
1,575167	0,5	-0,860500
1,583500	0,5	-1,386150
1,591833	0,5	-1,443900
1,600167	0,5	-0,719600
1,608500	0,5	0,780850
1,616833	0,5	3,048350
1,625167	0,5	5,701700
1,633500	0,5	7,745150
1,641833	0,5	8,353250
1,650167	0,5	7,691550
1,658500	0,5	6,521050
1,666833	0,5	5,477300
1,675167	0,5	4,822150
1,683500	0,5	4,517000
1,691833	0,5	4,542150
1,700167	0,5	4,857200
1,708500	0,5	5,321950
1,716833	0,5	5,552850
1,725167	0,5	5,368950
1,733500	0,5	4,913500
1,741833	0,5	4,506200
1,750167	0,5	4,343100
1,758500	0,5	4,552450
1,766833	0,5	5,042250
1,775167	0,5	5,577700
1,783500	0,5	5,881250
1,791833	0,5	5,904450
1,800167	0,5	5,705950
1,808500	0,5	5,404050
1,816833	0,5	5,059700
1,825167	0,5	4,713250
1,833500	0,5	4,370950
1,841833	0,5	4,062550
1,850167	0,5	3,810950
1,858500	0,5	3,633150
1,866833	0,5	3,549650
1,875167	0,5	3,522000
1,883500	0,5	3,481000
1,891833	0,5	3,375750
1,900167	0,5	3,305950
1,908500	0,5	3,429250
1,916833	0,5	4,078300
1,925167	0,5	5,694350
1,933500	0,5	8,556600
1,941833	0,5	11,899150
1,950167	0,5	13,967900
1,958500	0,5	13,792850
1,966833	0,5	12,045750
