File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/925.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-NT_3
Injection Number	48
Position	GA1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	14:27:14
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1,987300
Signal Max.	108,826902
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,004250
0,008667	0,5	-0,039550
0,017000	0,5	-0,028950
0,025333	0,5	-0,026300
0,033667	0,5	-0,019050
0,042000	0,5	0,004150
0,050333	0,5	0,006900
0,058667	0,5	0,011050
0,067000	0,5	0,004900
0,075333	0,5	0,006950
0,083667	0,5	0,005750
0,092000	0,5	0,002700
0,100333	0,5	0,010650
0,108667	0,5	-0,011400
0,117000	0,5	-0,021700
0,125333	0,5	0,006450
0,133667	0,5	-0,010500
0,142000	0,5	-0,007550
0,150333	0,5	-0,004400
0,158667	0,5	0,000800
0,167000	0,5	0,027100
0,175333	0,5	0,020350
0,183667	0,5	0,022100
0,192000	0,5	0,013500
0,200333	0,5	0,017800
0,208667	0,5	0,010950
0,217000	0,5	0,016700
0,225333	0,5	0,007800
0,233667	0,5	0,011700
0,242000	0,5	0,014500
0,250333	0,5	0,007800
0,258667	0,5	-0,004150
0,267000	0,5	-0,008650
0,275333	0,5	0,005950
0,283667	0,5	-0,010300
0,292000	0,5	-0,009500
0,300333	0,5	-0,003450
0,308667	0,5	0,019450
0,317000	0,5	0,029400
0,325333	0,5	0,015450
0,333667	0,5	0,007250
0,342000	0,5	0,009300
0,350333	0,5	0,008900
0,358667	0,5	0,012450
0,367000	0,5	0,006500
0,375333	0,5	0,004900
0,383667	0,5	-0,001600
0,392000	0,5	0,002700
0,400333	0,5	-0,001700
0,408667	0,5	-0,008350
0,417000	0,5	-0,006350
0,425333	0,5	0,010300
0,433667	0,5	-0,010400
0,442000	0,5	-0,001850
0,450333	0,5	-0,005800
0,458667	0,5	0,012900
0,467000	0,5	0,031150
0,475333	0,5	0,026750
0,483667	0,5	0,027950
0,492000	0,5	0,023200
0,500333	0,5	0,020900
0,508667	0,5	0,015000
0,517000	0,5	0,016100
0,525333	0,5	0,015250
0,533667	0,5	0,018400
0,542000	0,5	0,014700
0,550333	0,5	0,006600
0,558667	0,5	-0,003100
0,567000	0,5	0,014600
0,575333	0,5	0,007000
0,583667	0,5	-0,000200
0,592000	0,5	0,004450
0,600333	0,5	0,010750
0,608667	0,5	0,026800
0,617000	0,5	0,038700
0,625333	0,5	0,040250
0,633667	0,5	0,041400
0,642000	0,5	0,037550
0,650333	0,5	0,040500
0,658667	0,5	0,036700
0,667000	0,5	0,033050
0,675333	0,5	0,032300
0,683667	0,5	0,031000
0,692000	0,5	0,037000
0,700333	0,5	0,018200
0,708667	0,5	0,025200
0,717000	0,5	0,046650
0,725333	0,5	0,037700
0,733667	0,5	0,021700
0,742000	0,5	0,028350
0,750333	0,5	0,033000
0,758667	0,5	0,055900
0,767000	0,5	0,056850
0,775333	0,5	0,059900
0,783667	0,5	0,054800
0,792000	0,5	0,060700
0,800333	0,5	0,052600
0,808667	0,5	0,055300
0,817000	0,5	0,052300
0,825333	0,5	0,052600
0,833667	0,5	0,056450
0,842000	0,5	0,054650
0,850333	0,5	0,049300
0,858667	0,5	0,051150
0,867000	0,5	0,062200
0,875333	0,5	0,045100
0,883667	0,5	0,045600
0,892000	0,5	0,046650
0,900333	0,5	0,064200
0,908667	0,5	0,083550
0,917000	0,5	0,081550
0,925333	0,5	0,068900
0,933667	0,5	0,074700
0,942000	0,5	0,070050
0,950333	0,5	0,075200
0,958667	0,5	0,072450
0,967000	0,5	0,071650
0,975333	0,5	0,068800
0,983667	0,5	0,071800
0,992000	0,5	0,082750
1,000333	0,5	0,072750
1,008667	0,5	0,091950
1,017000	0,5	0,086100
1,025333	0,5	0,071050
1,033667	0,5	0,070750
1,042000	0,5	0,074850
1,050333	0,5	0,088600
1,058667	0,5	0,092900
1,067000	0,5	0,083750
1,075333	0,5	0,090000
1,083667	0,5	0,087400
1,092000	0,5	0,095600
1,100333	0,5	0,090600
1,108667	0,5	0,090750
1,117000	0,5	0,083050
1,125333	0,5	0,087750
1,133667	0,5	0,087450
1,142000	0,5	0,090750
1,150333	0,5	0,073450
1,158667	0,5	0,098100
1,167000	0,5	0,080550
1,175333	0,5	0,076650
1,183667	0,5	0,073000
1,192000	0,5	0,079350
1,200333	0,5	0,104600
1,208667	0,5	0,094400
1,217000	0,5	0,091450
1,225333	0,5	0,086150
1,233667	0,5	0,092350
1,242000	0,5	0,080800
1,250333	0,5	0,081550
1,258667	0,5	0,074550
1,267000	0,5	0,074200
1,275333	0,5	0,070650
1,283667	0,5	0,071450
1,292000	0,5	0,064950
1,300333	0,5	0,058800
1,308667	0,5	0,063500
1,317000	0,5	0,051100
1,325333	0,5	0,044000
1,333667	0,5	0,044050
1,342000	0,5	0,044100
1,350333	0,5	0,061150
1,358667	0,5	0,056600
1,367000	0,5	0,048400
1,375333	0,5	0,046650
1,383667	0,5	0,044900
1,392000	0,5	0,040550
1,400333	0,5	0,031750
1,408667	0,5	0,028700
1,417000	0,5	0,014200
1,425333	0,5	0,017650
1,433667	0,5	0,008250
1,442000	0,5	0,003200
1,450333	0,5	-0,001800
1,458667	0,5	0,006150
1,467000	0,5	-0,020400
1,475333	0,5	-0,018300
1,483667	0,5	-0,020950
1,492000	0,5	-0,009000
1,500333	0,5	0,002650
1,508667	0,5	-0,004050
1,517000	0,5	-0,014200
1,525333	0,5	-0,016700
1,533667	0,5	-0,024450
1,542000	0,5	-0,036050
1,550333	0,5	-0,041300
1,558667	0,5	-0,064950
1,567000	0,5	-0,138900
1,575333	0,5	-0,394250
1,583667	0,5	-0,932350
1,592000	0,5	-1,504500
1,600333	0,5	-1,629000
1,608667	0,5	-1,099900
1,617000	0,5	-0,082750
1,625333	0,5	1,253750
1,633667	0,5	2,649700
1,642000	0,5	3,712300
1,650333	0,5	4,148400
1,658667	0,5	4,017500
1,667000	0,5	3,669950
1,675333	0,5	3,373300
1,683667	0,5	3,267150
1,692000	0,5	3,353250
1,700333	0,5	3,625000
1,708667	0,5	4,097650
1,717000	0,5	4,638000
1,725333	0,5	4,905350
1,733667	0,5	4,726400
1,742000	0,5	4,329550
1,750333	0,5	3,981300
1,758667	0,5	3,843850
1,767000	0,5	4,062450
1,775333	0,5	4,566150
1,783667	0,5	5,094850
1,792000	0,5	5,444250
1,800333	0,5	5,497850
1,808667	0,5	5,332600
1,817000	0,5	5,030600
1,825333	0,5	4,692400
1,833667	0,5	4,342900
1,842000	0,5	4,016450
1,850333	0,5	3,716200
1,858667	0,5	3,476300
1,867000	0,5	3,307950
1,875333	0,5	3,216950
1,883667	0,5	3,170750
1,892000	0,5	3,122000
1,900333	0,5	3,012900
1,908667	0,5	2,897200
1,917000	0,5	2,963400
1,925333	0,5	3,437150
1,933667	0,5	4,662950
1,942000	0,5	6,973650
1,950333	0,5	9,944350
1,958667	0,5	12,149400
1,967000	0,5	12,490100
1,975333	0,5	11,306400
1,983667	0,5	9,535800
1,992000	0,5	7,771750
2,000333	0,5	6,355950
2,008667	0,5	5,413450
2,017000	0,5	4,941000
2,025333	0,5	4,816850
2,033667	0,5	4,927000
2,042000	0,5	5,262500
2,050333	0,5	5,731750
2,058667	0,5	6,045350
2,067000	0,5	6,008150
2,075333	0,5	5,701450
2,083667	0,5	5,297150
2,092000	0,5	4,813300
2,100333	0,5	4,299150
2,108667	0,5	3,871200
2,117000	0,5	3,564150
2,125333	0,5	3,366250
2,133667	0,5	3,241350
2,142000	0,5	3,179150
2,150333	0,5	3,163650
2,158667	0,5	3,209600
2,167000	0,5	3,271200
2,175333	0,5	3,300450
2,183667	0,5	3,261100
2,192000	0,5	3,222700
2,200333	0,5	3,172050
2,208667	0,5	3,167750
2,217000	0,5	3,197600
2,225333	0,5	3,264050
2,233667	0,5	3,363550
2,242000	0,5	3,473000
2,250333	0,5	3,590850
2,258667	0,5	3,731900
2,267000	0,5	3,922650
2,275333	0,5	4,177900
2,283667	0,5	4,451100
2,292000	0,5	4,651150
2,300333	0,5	4,707350
2,308667	0,5	4,643250
2,317000	0,5	4,567300
2,325333	0,5	4,546950
2,333667	0,5	4,596400
2,342000	0,5	4,678900
2,350333	0,5	4,736600
2,358667	0,5	4,810400
2,367000	0,5	4,930150
2,375333	0,5	5,118650
2,383667	0,5	5,424300
2,392000	0,5	5,899400
2,400333	0,5	6,703800
2,408667	0,5	7,965950
2,417000	0,5	9,588200
2,425333	0,5	11,104150
2,433667	0,5	11,984250
2,442000	0,5	12,042550
2,450333	0,5	11,570600
2,458667	0,5	11,068450
2,467000	0,5	10,917800
2,475333	0,5	11,397350
2,483667	0,5	12,792300
2,492000	0,5	15,732150
2,500333	0,5	21,602750
2,508667	0,5	32,579350
2,517000	0,5	49,771351
2,525333	0,5	70,342901
2,533667	0,5	86,650651
2,542000	0,5	91,401301
2,550333	0,5	83,552201
2,558667	0,5	68,303451
2,567000	0,5	52,167351
2,575333	0,5	39,217901
2,583667	0,5	30,528100
2,592000	0,5	25,417400
2,600333	0,5	22,558550
2,608667	0,5	20,636500
2,617000	0,5	18,762100
2,625333	0,5	16,663250
2,633667	0,5	14,542100
2,642000	0,5	12,645350
2,650333	0,5	11,135650
2,658667	0,5	10,020150
2,667000	0,5	9,209900
2,675333	0,5	8,624600
2,683667	0,5	8,180950
2,692000	0,5	7,829500
2,700333	0,5	7,556550
2,708667	0,5	7,323650
2,717000	0,5	7,131000
2,725333	0,5	6,959050
2,733667	0,5	6,822000
2,742000	0,5	6,734100
2,750333	0,5	6,710300
2,758667	0,5	6,726150
2,767000	0,5	6,714100
2,775333	0,5	6,639900
