File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/986.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_24h-NT_NA
Injection Number	49
Position	GA2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	14:56:05
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,040450
Signal Max.	8,100600
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,025850
0,008500	0,5	-0,037300
0,016833	0,5	-0,031900
0,025167	0,5	-0,024600
0,033500	0,5	0,008250
0,041833	0,5	0,012000
0,050167	0,5	0,012900
0,058500	0,5	0,011300
0,066833	0,5	0,021450
0,075167	0,5	0,016400
0,083500	0,5	0,017850
0,091833	0,5	0,014150
0,100167	0,5	0,009100
0,108500	0,5	0,007150
0,116833	0,5	0,007850
0,125167	0,5	0,003650
0,133500	0,5	0,005050
0,141833	0,5	0,017900
0,150167	0,5	-0,004050
0,158500	0,5	-0,000500
0,166833	0,5	-0,001650
0,175167	0,5	0,014700
0,183500	0,5	0,028850
0,191833	0,5	0,029400
0,200167	0,5	0,021800
0,208500	0,5	0,027100
0,216833	0,5	0,016950
0,225167	0,5	0,017500
0,233500	0,5	0,012500
0,241833	0,5	0,011750
0,250167	0,5	0,009900
0,258500	0,5	0,016850
0,266833	0,5	0,010950
0,275167	0,5	0,004350
0,283500	0,5	0,013000
0,291833	0,5	0,019000
0,300167	0,5	0,003800
0,308500	0,5	0,005600
0,316833	0,5	0,000100
0,325167	0,5	0,004000
0,333500	0,5	0,017650
0,341833	0,5	0,009450
0,350167	0,5	0,017200
0,358500	0,5	0,011700
0,366833	0,5	0,015300
0,375167	0,5	0,008750
0,383500	0,5	0,014450
0,391833	0,5	0,002850
0,400167	0,5	0,008150
0,408500	0,5	0,005100
0,416833	0,5	-0,004750
0,425167	0,5	-0,008150
0,433500	0,5	0,010100
0,441833	0,5	-0,000800
0,450167	0,5	-0,007750
0,458500	0,5	-0,005000
0,466833	0,5	0,000250
0,475167	0,5	0,021500
0,483500	0,5	0,019300
0,491833	0,5	0,025200
0,500167	0,5	0,022700
0,508500	0,5	0,019450
0,516833	0,5	0,019750
0,525167	0,5	0,017500
0,533500	0,5	0,013400
0,541833	0,5	0,015800
0,550167	0,5	0,013250
0,558500	0,5	0,019550
0,566833	0,5	0,005250
0,575167	0,5	0,019000
0,583500	0,5	0,028350
0,591833	0,5	0,015600
0,600167	0,5	0,004550
0,608500	0,5	0,011550
0,616833	0,5	0,022150
0,625167	0,5	0,035750
0,633500	0,5	0,033300
0,641833	0,5	0,038950
0,650167	0,5	0,038450
0,658500	0,5	0,035050
0,666833	0,5	0,034350
0,675167	0,5	0,029850
0,683500	0,5	0,031000
0,691833	0,5	0,025750
0,700167	0,5	0,032850
0,708500	0,5	0,032000
0,716833	0,5	0,027600
0,725167	0,5	0,035450
0,733500	0,5	0,041250
0,741833	0,5	0,026850
0,750167	0,5	0,024200
0,758500	0,5	0,027850
0,766833	0,5	0,049150
0,775167	0,5	0,051600
0,783500	0,5	0,046000
0,791833	0,5	0,042600
0,800167	0,5	0,054000
0,808500	0,5	0,049350
0,816833	0,5	0,049550
0,825167	0,5	0,047950
0,833500	0,5	0,049100
0,841833	0,5	0,046900
0,850167	0,5	0,043800
0,858500	0,5	0,056750
0,866833	0,5	0,039850
0,875167	0,5	0,059900
0,883500	0,5	0,051700
0,891833	0,5	0,044950
0,900167	0,5	0,040800
0,908500	0,5	0,049950
0,916833	0,5	0,059950
0,925167	0,5	0,076650
0,933500	0,5	0,066050
0,941833	0,5	0,071850
0,950167	0,5	0,067050
0,958500	0,5	0,076300
0,966833	0,5	0,066400
