File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/722.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Std_C1ox-0.0025_2
Injection Number	73
Position	RA4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	02:22:07
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,451050
Signal Max.	13,849700
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,072950
0,008500	0,5	-0,065200
0,016833	0,5	-0,055550
0,025167	0,5	-0,047150
0,033500	0,5	-0,048350
0,041833	0,5	-0,037900
0,050167	0,5	-0,033050
0,058500	0,5	-0,009600
0,066833	0,5	-0,031000
0,075167	0,5	-0,007400
0,083500	0,5	-0,046850
0,091833	0,5	-0,047200
0,100167	0,5	-0,047650
0,108500	0,5	-0,030050
0,116833	0,5	-0,007100
0,125167	0,5	-0,014900
0,133500	0,5	-0,027850
0,141833	0,5	-0,020100
0,150167	0,5	-0,031650
0,158500	0,5	-0,029750
0,166833	0,5	-0,037750
0,175167	0,5	-0,043550
0,183500	0,5	-0,039700
0,191833	0,5	-0,039000
0,200167	0,5	-0,027800
0,208500	0,5	-0,040700
0,216833	0,5	-0,038450
0,225167	0,5	-0,036750
0,233500	0,5	-0,063500
0,241833	0,5	-0,064550
0,250167	0,5	-0,058550
0,258500	0,5	-0,048400
0,266833	0,5	-0,023300
0,275167	0,5	-0,035000
0,283500	0,5	-0,032550
0,291833	0,5	-0,040650
0,300167	0,5	-0,032150
0,308500	0,5	-0,044600
0,316833	0,5	-0,051600
0,325167	0,5	-0,062900
0,333500	0,5	-0,066550
0,341833	0,5	-0,063650
0,350167	0,5	-0,075950
0,358500	0,5	-0,075300
0,366833	0,5	-0,053900
0,375167	0,5	-0,071650
0,383500	0,5	-0,089200
0,391833	0,5	-0,082900
0,400167	0,5	-0,080400
0,408500	0,5	-0,058750
0,416833	0,5	-0,051150
0,425167	0,5	-0,047700
0,433500	0,5	-0,064700
0,441833	0,5	-0,053150
0,450167	0,5	-0,058850
0,458500	0,5	-0,060850
0,466833	0,5	-0,071950
0,475167	0,5	-0,075800
0,483500	0,5	-0,076850
0,491833	0,5	-0,075750
0,500167	0,5	-0,081400
0,508500	0,5	-0,078000
0,516833	0,5	-0,075950
0,525167	0,5	-0,087050
0,533500	0,5	-0,096950
0,541833	0,5	-0,091600
0,550167	0,5	-0,078400
0,558500	0,5	-0,060300
0,566833	0,5	-0,053650
0,575167	0,5	-0,067900
0,583500	0,5	-0,068150
0,591833	0,5	-0,073000
0,600167	0,5	-0,073000
0,608500	0,5	-0,079500
0,616833	0,5	-0,077050
0,625167	0,5	-0,079800
0,633500	0,5	-0,077200
0,641833	0,5	-0,074600
0,650167	0,5	-0,074850
0,658500	0,5	-0,070150
0,666833	0,5	-0,062650
0,675167	0,5	-0,088750
0,683500	0,5	-0,088150
0,691833	0,5	-0,088150
0,700167	0,5	-0,067850
0,708500	0,5	-0,050650
0,716833	0,5	-0,061050
0,725167	0,5	-0,059150
0,733500	0,5	-0,059150
0,741833	0,5	-0,058700
0,750167	0,5	-0,061650
0,758500	0,5	-0,065300
0,766833	0,5	-0,070250
0,775167	0,5	-0,065000
0,783500	0,5	-0,074250
0,791833	0,5	-0,061100
0,800167	0,5	-0,078150
0,808500	0,5	-0,045650
0,816833	0,5	-0,063000
0,825167	0,5	-0,068650
0,833500	0,5	-0,077350
0,841833	0,5	-0,069250
0,850167	0,5	-0,046650
0,858500	0,5	-0,041250
0,866833	0,5	-0,047550
0,875167	0,5	-0,044600
0,883500	0,5	-0,042450
0,891833	0,5	-0,042000
0,900167	0,5	-0,048200
0,908500	0,5	-0,049150
0,916833	0,5	-0,047900
0,925167	0,5	-0,050000
0,933500	0,5	-0,042750
0,941833	0,5	-0,053950
0,950167	0,5	-0,059100
0,958500	0,5	-0,037400
0,966833	0,5	-0,050700
0,975167	0,5	-0,055750
0,983500	0,5	-0,053650
0,991833	0,5	-0,051100
1,000167	0,5	-0,021500
1,008500	0,5	-0,032050
1,016833	0,5	-0,032750
1,025167	0,5	-0,035000
1,033500	0,5	-0,027850
1,041833	0,5	-0,036000
1,050167	0,5	-0,026450
1,058500	0,5	-0,031000
1,066833	0,5	-0,035750
1,075167	0,5	-0,037000
1,083500	0,5	-0,037750
1,091833	0,5	-0,033150
1,100167	0,5	-0,040900
1,108500	0,5	-0,017700
1,116833	0,5	-0,043750
1,125167	0,5	-0,043550
1,133500	0,5	-0,044550
1,141833	0,5	-0,030050
1,150167	0,5	-0,007700
1,158500	0,5	-0,011850
1,166833	0,5	-0,019150
1,175167	0,5	-0,010050
1,183500	0,5	-0,015500
1,191833	0,5	-0,010050
1,200167	0,5	-0,018700
1,208500	0,5	-0,018650
1,216833	0,5	-0,020050
1,225167	0,5	-0,012150
1,233500	0,5	-0,017750
1,241833	0,5	-0,024100
1,250167	0,5	-0,022600
1,258500	0,5	-0,009400
1,266833	0,5	-0,032350
1,275167	0,5	-0,029350
1,283500	0,5	-0,027000
1,291833	0,5	-0,014150
1,300167	0,5	0,008500
1,308500	0,5	0,001100
1,316833	0,5	0,001500
1,325167	0,5	-0,006450
1,333500	0,5	-0,000350
1,341833	0,5	-0,005800
1,350167	0,5	-0,001350
1,358500	0,5	-0,013850
1,366833	0,5	-0,012750
1,375167	0,5	-0,015800
1,383500	0,5	-0,027750
