File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/558.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	ne__
Injection Number	146
Position	BA7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	13:10:11
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,296200
Signal Max.	1 323,170970
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,026800
0,008667	0,5	-0,094350
0,017000	0,5	-0,080450
0,025333	0,5	-0,067450
0,033667	0,5	-0,053600
0,042000	0,5	-0,046650
0,050333	0,5	-0,043000
0,058667	0,5	-0,026050
0,067000	0,5	-0,047150
0,075333	0,5	-0,011250
0,083667	0,5	-0,022500
0,092000	0,5	-0,049100
0,100333	0,5	-0,059700
0,108667	0,5	-0,046300
0,117000	0,5	-0,016800
0,125333	0,5	-0,002950
0,133667	0,5	-0,028750
0,142000	0,5	-0,015500
0,150333	0,5	-0,024800
0,158667	0,5	-0,016300
0,167000	0,5	-0,032700
0,175333	0,5	-0,029600
0,183667	0,5	-0,037100
0,192000	0,5	-0,033150
0,200333	0,5	-0,034450
0,208667	0,5	-0,041150
0,217000	0,5	-0,060450
0,225333	0,5	-0,024050
0,233667	0,5	-0,051000
0,242000	0,5	-0,060550
0,250333	0,5	-0,060300
0,258667	0,5	-0,053050
0,267000	0,5	-0,014250
0,275333	0,5	-0,028050
0,283667	0,5	-0,031350
0,292000	0,5	-0,018650
0,300333	0,5	0,028800
0,308667	0,5	0,034900
0,317000	0,5	0,007400
0,325333	0,5	-0,042100
0,333667	0,5	-0,067750
0,342000	0,5	-0,076650
0,350333	0,5	-0,070550
0,358667	0,5	-0,067150
0,367000	0,5	-0,069350
0,375333	0,5	-0,050450
0,383667	0,5	-0,080100
0,392000	0,5	-0,077700
0,400333	0,5	-0,074300
0,408667	0,5	-0,062200
0,417000	0,5	-0,032650
0,425333	0,5	-0,039150
0,433667	0,5	-0,041400
0,442000	0,5	-0,040450
0,450333	0,5	-0,041950
0,458667	0,5	-0,044600
0,467000	0,5	-0,053500
0,475333	0,5	-0,051550
0,483667	0,5	-0,057950
0,492000	0,5	-0,051950
0,500333	0,5	-0,050500
0,508667	0,5	-0,034350
0,517000	0,5	-0,044450
0,525333	0,5	-0,025650
0,533667	0,5	-0,061850
0,542000	0,5	-0,056150
0,550333	0,5	-0,054600
0,558667	0,5	-0,024300
0,567000	0,5	0,001750
0,575333	0,5	0,003450
0,583667	0,5	-0,009800
0,592000	0,5	-0,003650
0,600333	0,5	-0,009950
0,608667	0,5	-0,007100
0,617000	0,5	-0,006450
0,625333	0,5	-0,009450
0,633667	0,5	-0,002400
0,642000	0,5	-0,004150
0,650333	0,5	-0,000300
0,658667	0,5	-0,009650
0,667000	0,5	0,014750
0,675333	0,5	0,007250
0,683667	0,5	-0,007550
0,692000	0,5	-0,004000
0,700333	0,5	0,007750
0,708667	0,5	0,028550
0,717000	0,5	0,053200
0,725333	0,5	0,043100
0,733667	0,5	0,050800
0,742000	0,5	0,043300
0,750333	0,5	0,051550
0,758667	0,5	0,046900
0,767000	0,5	0,048450
0,775333	0,5	0,043450
0,783667	0,5	0,039600
0,792000	0,5	0,049750
0,800333	0,5	0,030650
0,808667	0,5	0,039050
0,817000	0,5	0,069700
0,825333	0,5	0,051250
0,833667	0,5	0,038050
0,842000	0,5	0,050850
0,850333	0,5	0,066100
0,858667	0,5	0,104400
0,867000	0,5	0,099500
0,875333	0,5	0,109150
0,883667	0,5	0,098300
0,892000	0,5	0,109600
0,900333	0,5	0,098450
0,908667	0,5	0,102650
0,917000	0,5	0,097250
0,925333	0,5	0,102450
0,933667	0,5	0,105550
0,942000	0,5	0,107850
0,950333	0,5	0,105550
0,958667	0,5	0,115400
0,967000	0,5	0,130450
0,975333	0,5	0,108700
0,983667	0,5	0,099350
0,992000	0,5	0,111900
1,000333	0,5	0,130150
1,008667	0,5	0,146750
1,017000	0,5	0,144850
1,025333	0,5	0,132150
1,033667	0,5	0,144900
1,042000	0,5	0,142200
1,050333	0,5	0,151350
1,058667	0,5	0,145100
1,067000	0,5	0,147700
1,075333	0,5	0,145100
1,083667	0,5	0,146300
1,092000	0,5	0,156250
1,100333	0,5	0,150050
1,108667	0,5	0,161000
1,117000	0,5	0,173950
1,125333	0,5	0,150450
1,133667	0,5	0,144850
1,142000	0,5	0,151850
1,150333	0,5	0,175700
1,158667	0,5	0,198150
1,167000	0,5	0,175600
1,175333	0,5	0,182700
1,183667	0,5	0,185500
1,192000	0,5	0,187400
1,200333	0,5	0,181750
1,208667	0,5	0,185500
1,217000	0,5	0,181350
1,225333	0,5	0,186750
1,233667	0,5	0,184800
1,242000	0,5	0,203750
1,250333	0,5	0,178600
1,258667	0,5	0,212550
1,267000	0,5	0,187100
1,275333	0,5	0,181300
1,283667	0,5	0,179650
1,292000	0,5	0,200100
1,300333	0,5	0,226150
1,308667	0,5	0,224150
1,317000	0,5	0,217250
1,325333	0,5	0,217700
1,333667	0,5	0,216650
1,342000	0,5	0,219400
1,350333	0,5	0,223100
1,358667	0,5	0,219700
1,367000	0,5	0,224700
1,375333	0,5	0,218500
1,383667	0,5	0,224600
1,392000	0,5	0,214300
1,400333	0,5	0,214250
1,408667	0,5	0,235950
1,417000	0,5	0,213350
1,425333	0,5	0,210300
1,433667	0,5	0,213250
1,442000	0,5	0,226900
1,450333	0,5	0,258850
1,458667	0,5	0,257900
1,467000	0,5	0,260600
1,475333	0,5	0,252000
1,483667	0,5	0,256350
1,492000	0,5	0,249250
1,500333	0,5	0,249700
1,508667	0,5	0,241950
1,517000	0,5	0,237900
1,525333	0,5	0,242450
1,533667	0,5	0,240100
1,542000	0,5	0,245650
1,550333	0,5	0,258300
1,558667	0,5	0,329450
1,567000	0,5	0,478600
1,575333	0,5	0,806750
1,583667	0,5	1,452150
1,592000	0,5	4,925250
1,600333	0,5	21,415300
1,608667	0,5	81,802901
1,617000	0,5	259,777004
1,625333	0,5	619,515759
1,633667	0,5	1 045,605366
1,642000	0,5	1 307,526719
1,650333	0,5	1 323,170970
1,658667	0,5	1 134,962267
1,667000	0,5	845,966113
1,675333	0,5	579,662359
1,683667	0,5	393,300556
1,692000	0,5	276,681054
1,700333	0,5	200,119903
1,708667	0,5	151,216552
1,717000	0,5	118,651202
1,725333	0,5	96,122901
1,733667	0,5	79,809701
1,742000	0,5	67,711951
1,750333	0,5	58,679251
1,758667	0,5	51,905501
1,767000	0,5	46,921751
1,775333	0,5	43,471801
1,783667	0,5	41,568201
1,792000	0,5	41,136601
1,800333	0,5	42,072701
1,808667	0,5	44,123751
1,817000	0,5	46,781951
1,825333	0,5	48,655901
1,833667	0,5	48,262651
1,842000	0,5	45,597401
1,850333	0,5	41,974001
1,858667	0,5	38,416701
1,867000	0,5	35,538251
1,875333	0,5	33,414900
1,883667	0,5	31,870250
1,892000	0,5	30,709700
1,900333	0,5	29,782100
1,908667	0,5	29,162150
1,917000	0,5	28,578900
1,925333	0,5	27,758950
1,933667	0,5	26,657900
1,942000	0,5	25,571300
1,950333	0,5	24,768850
1,958667	0,5	24,486200
1,967000	0,5	24,861750
1,975333	0,5	25,949600
1,983667	0,5	27,402400
1,992000	0,5	28,593750
2,000333	0,5	29,048100
2,008667	0,5	28,971650
2,017000	0,5	28,930150
2,025333	0,5	29,248150
2,033667	0,5	30,014950
2,042000	0,5	31,351800
2,050333	0,5	33,325250
2,058667	0,5	36,032201
2,067000	0,5	39,255801
2,075333	0,5	42,470301
2,083667	0,5	45,444601
2,092000	0,5	48,728201
2,100333	0,5	53,133401
2,108667	0,5	58,843001
2,117000	0,5	65,456001
2,125333	0,5	72,232851
2,133667	0,5	77,781251
2,142000	0,5	79,666751
2,150333	0,5	76,407051
2,158667	0,5	69,490751
2,167000	0,5	62,058601
2,175333	0,5	56,065301
2,183667	0,5	52,200551
2,192000	0,5	50,873251
2,200333	0,5	52,477051
2,208667	0,5	55,940051
2,217000	0,5	57,973801
2,225333	0,5	56,419101
2,233667	0,5	52,791051
2,242000	0,5	49,292501
2,250333	0,5	46,076501
2,258667	0,5	42,609701
2,267000	0,5	39,179201
2,275333	0,5	36,390401
2,283667	0,5	34,348501
2,292000	0,5	32,942450
2,300333	0,5	31,917850
2,308667	0,5	31,198700
2,317000	0,5	30,725550
2,325333	0,5	30,439950
2,333667	0,5	30,227550
2,342000	0,5	30,009600
2,350333	0,5	29,788450
2,358667	0,5	29,699950
2,367000	0,5	29,743300
2,375333	0,5	29,771200
2,383667	0,5	29,529050
2,392000	0,5	28,999400
2,400333	0,5	28,341100
2,408667	0,5	27,724950
2,417000	0,5	27,197700
2,425333	0,5	26,731450
2,433667	0,5	26,344650
2,442000	0,5	26,053400
2,450333	0,5	25,782950
2,458667	0,5	25,594900
2,467000	0,5	25,485200
2,475333	0,5	25,446200
2,483667	0,5	25,468700
2,492000	0,5	25,425050
2,500333	0,5	25,338750
2,508667	0,5	25,367900
2,517000	0,5	26,231750
2,525333	0,5	28,936100
2,533667	0,5	31,040200
2,542000	0,5	29,879300
2,550333	0,5	27,585650
2,558667	0,5	25,931350
2,567000	0,5	24,898400
2,575333	0,5	24,232800
2,583667	0,5	23,817050
2,592000	0,5	23,558450
2,600333	0,5	23,399450
2,608667	0,5	23,353450
2,617000	0,5	23,369950
2,625333	0,5	23,389550
2,633667	0,5	23,323950
2,642000	0,5	23,138300
2,650333	0,5	22,849900
2,658667	0,5	22,538350
2,667000	0,5	22,229300
2,675333	0,5	21,977600
2,683667	0,5	21,757000
2,692000	0,5	21,581950
2,700333	0,5	21,424650
2,708667	0,5	21,306400
2,717000	0,5	21,203800
2,725333	0,5	21,155050
2,733667	0,5	21,189700
2,742000	0,5	21,289500
2,750333	0,5	21,436800
2,758667	0,5	21,640900
2,767000	0,5	21,843100
2,775333	0,5	22,080550
2,783667	0,5	22,351300
2,792000	0,5	22,757500
2,800333	0,5	23,442100
2,808667	0,5	24,459100
2,817000	0,5	25,710300
2,825333	0,5	26,884400
2,833667	0,5	27,589550
2,842000	0,5	27,520750
2,850333	0,5	26,719650
2,858667	0,5	25,467900
2,867000	0,5	24,210500
2,875333	0,5	23,269100
2,883667	0,5	22,826750
2,892000	0,5	22,721650
2,900333	0,5	22,875950
2,908667	0,5	23,121300
2,917000	0,5	23,337600
2,925333	0,5	23,440250
2,933667	0,5	23,329500
2,942000	0,5	23,021450
2,950333	0,5	22,559200
2,958667	0,5	21,988800
2,967000	0,5	21,401950
2,975333	0,5	20,914150
2,983667	0,5	20,677950
2,992000	0,5	20,902900
3,000333	0,5	21,806200
3,008667	0,5	23,525600
3,017000	0,5	25,850400
3,025333	0,5	28,289800
3,033667	0,5	30,147200
3,042000	0,5	30,861350
3,050333	0,5	30,375150
3,058667	0,5	28,936650
3,067000	0,5	26,921150
3,075333	0,5	24,732350
3,083667	0,5	22,574350
3,092000	0,5	20,692000
3,100333	0,5	19,134950
3,108667	0,5	17,934000
3,117000	0,5	17,021650
3,125333	0,5	16,367200
3,133667	0,5	15,894950
3,142000	0,5	15,580650
3,150333	0,5	15,411900
3,158667	0,5	15,381150
3,167000	0,5	15,491500
3,175333	0,5	15,755650
3,183667	0,5	16,118150
3,192000	0,5	16,425950
3,200333	0,5	16,634900
3,208667	0,5	16,625150
3,217000	0,5	16,389250
3,225333	0,5	15,941800
3,233667	0,5	15,374550
3,242000	0,5	14,802000
3,250333	0,5	14,322600
3,258667	0,5	13,927800
3,267000	0,5	13,639550
3,275333	0,5	13,409900
3,283667	0,5	13,231950
3,292000	0,5	13,083100
3,300333	0,5	12,948350
3,308667	0,5	12,834200
3,317000	0,5	12,710050
3,325333	0,5	12,621450
3,333667	0,5	12,533650
3,342000	0,5	12,445400
3,350333	0,5	12,396100
3,358667	0,5	12,370200
3,367000	0,5	12,367100
3,375333	0,5	12,386050
3,383667	0,5	12,389800
3,392000	0,5	12,445400
3,400333	0,5	12,553050
3,408667	0,5	12,779800
3,417000	0,5	13,168850
3,425333	0,5	13,821800
3,433667	0,5	14,738550
3,442000	0,5	15,893450
3,450333	0,5	17,076200
3,458667	0,5	18,007450
3,467000	0,5	18,424300
3,475333	0,5	18,258550
3,483667	0,5	17,505400
3,492000	0,5	16,425800
3,500333	0,5	15,259050
3,508667	0,5	14,201350
3,517000	0,5	13,349550
3,525333	0,5	12,695200
3,533667	0,5	12,231100
3,542000	0,5	11,891900
3,550333	0,5	11,650500
3,558667	0,5	11,451400
3,567000	0,5	11,306600
3,575333	0,5	11,184400
3,583667	0,5	11,097450
3,592000	0,5	11,025450
3,600333	0,5	10,980800
3,608667	0,5	10,933250
3,617000	0,5	10,931850
3,625333	0,5	10,965300
3,633667	0,5	11,035000
3,642000	0,5	11,173150
3,650333	0,5	11,400150
3,658667	0,5	11,673800
3,667000	0,5	11,918800
3,675333	0,5	12,077550
3,683667	0,5	12,140250
3,692000	0,5	12,137800
3,700333	0,5	12,104550
3,708667	0,5	12,048500
3,717000	0,5	11,992150
3,725333	0,5	11,943550
3,733667	0,5	11,905200
3,742000	0,5	11,895250
3,750333	0,5	11,875900
3,758667	0,5	11,873900
3,767000	0,5	11,900900
3,775333	0,5	11,921350
3,783667	0,5	11,951700
3,792000	0,5	12,027900
3,800333	0,5	12,149750
3,808667	0,5	12,372950
3,817000	0,5	12,702450
3,825333	0,5	13,323400
3,833667	0,5	14,533800
3,842000	0,5	16,777050
3,850333	0,5	20,221850
3,858667	0,5	24,560650
3,867000	0,5	29,012650
3,875333	0,5	32,676550
3,883667	0,5	34,877451
3,892000	0,5	35,339651
3,900333	0,5	34,264601
3,908667	0,5	32,080550
3,917000	0,5	29,412100
3,925333	0,5	26,611850
3,933667	0,5	24,045350
3,942000	0,5	21,846950
3,950333	0,5	20,051750
3,958667	0,5	18,613400
3,967000	0,5	17,432550
3,975333	0,5	16,448500
3,983667	0,5	15,661950
3,992000	0,5	14,984950
4,000333	0,5	14,416000
4,008667	0,5	13,916150
4,017000	0,5	13,488750
4,025333	0,5	13,117650
4,033667	0,5	12,794350
4,042000	0,5	12,508850
4,050333	0,5	12,242050
4,058667	0,5	12,006150
4,067000	0,5	11,826250
4,075333	0,5	11,615900
4,083667	0,5	11,443800
4,092000	0,5	11,289650
4,100333	0,5	11,157900
4,108667	0,5	11,054600
4,117000	0,5	10,911300
4,125333	0,5	10,797900
4,133667	0,5	10,675450
4,142000	0,5	10,585450
4,150333	0,5	10,481100
4,158667	0,5	10,399900
4,167000	0,5	10,303100
4,175333	0,5	10,225250
