File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/538.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00h-EGS_1
Injection Number	114
Position	BB8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	05:25:49
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,170669
Signal Max.	105,931836
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,051451
0,002500	0,1	-0,070525
0,004167	0,1	-0,062849
0,005833	0,1	-0,055716
0,007500	0,1	-0,046779
0,009167	0,1	-0,057864
0,010833	0,1	-0,085198
0,012500	0,1	-0,045688
0,014167	0,1	-0,051328
0,015833	0,1	-0,045848
0,017500	0,1	-0,074065
0,019167	0,1	-0,043349
0,020833	0,1	-0,085439
0,022500	0,1	-0,078381
0,024167	0,1	-0,053750
0,025833	0,1	-0,055880
0,027500	0,1	-0,075779
0,029167	0,1	-0,096165
0,030833	0,1	-0,062382
0,032500	0,1	-0,110514
0,034167	0,1	-0,126008
0,035833	0,1	-0,170669
0,037500	0,1	-0,052017
0,039167	0,1	-0,162666
0,040833	0,1	-0,123135
0,042500	0,1	-0,131568
0,044167	0,1	-0,121723
0,045833	0,1	-0,126607
0,047500	0,1	-0,104806
0,049167	0,1	-0,089515
0,050833	0,1	-0,095192
0,052500	0,1	-0,059219
0,054167	0,1	-0,108987
0,055833	0,1	-0,074369
0,057500	0,1	-0,098394
0,059167	0,1	-0,080278
0,060833	0,1	-0,069293
0,062500	0,1	-0,078041
0,064167	0,1	-0,056589
0,065833	0,1	-0,096558
0,067500	0,1	-0,085408
0,069167	0,1	-0,094488
0,070833	0,1	-0,086049
0,072500	0,1	-0,094885
0,074167	0,1	-0,058700
0,075833	0,1	-0,064860
0,077500	0,1	-0,075641
0,079167	0,1	-0,083340
0,080833	0,1	-0,115514
0,082500	0,1	-0,065745
0,084167	0,1	-0,051624
0,085833	0,1	-0,044609
0,087500	0,1	-0,097074
0,089167	0,1	-0,068032
0,090833	0,1	-0,052097
0,092500	0,1	-0,057576
0,094167	0,1	-0,091978
0,095833	0,1	-0,067083
0,097500	0,1	-0,087185
0,099167	0,1	-0,061371
0,100833	0,1	-0,031326
0,102500	0,1	-0,080886
0,104167	0,1	-0,089526
0,105833	0,1	-0,086611
0,107500	0,1	-0,078168
0,109167	0,1	-0,109877
0,110833	0,1	-0,072921
0,112500	0,1	-0,079325
0,114167	0,1	-0,084868
0,115833	0,1	-0,103588
0,117500	0,1	-0,118402
0,119167	0,1	-0,081029
0,120833	0,1	-0,101175
0,122500	0,1	-0,104036
0,124167	0,1	-0,111091
0,125833	0,1	-0,082388
0,127500	0,1	-0,079907
0,129167	0,1	-0,077770
0,130833	0,1	-0,045765
0,132500	0,1	-0,127977
0,134167	0,1	-0,071368
0,135833	0,1	-0,100470
0,137500	0,1	-0,072749
0,139167	0,1	-0,077873
0,140833	0,1	-0,076927
0,142500	0,1	-0,077585
0,144167	0,1	-0,034264
0,145833	0,1	-0,038286
0,147500	0,1	-0,091501
0,149167	0,1	-0,046683
0,150833	0,1	-0,060659
0,152500	0,1	-0,096453
0,154167	0,1	-0,072398
0,155833	0,1	-0,086606
0,157500	0,1	-0,075358
0,159167	0,1	-0,109571
0,160833	0,1	-0,095763
0,162500	0,1	-0,053494
0,164167	0,1	-0,046901
0,165833	0,1	-0,072156
0,167500	0,1	-0,108274
0,169167	0,1	-0,085455
0,170833	0,1	-0,000379
0,172500	0,1	-0,067093
0,174167	0,1	-0,077749
0,175833	0,1	-0,086821
0,177500	0,1	-0,049446
0,179167	0,1	-0,098100
0,180833	0,1	-0,070230
0,182500	0,1	-0,055534
0,184167	0,1	-0,117842
0,185833	0,1	-0,052137
0,187500	0,1	-0,081410
0,189167	0,1	-0,083632
0,190833	0,1	-0,060333
0,192500	0,1	-0,091489
0,194167	0,1	-0,072733
0,195833	0,1	-0,060129
0,197500	0,1	-0,080954
0,199167	0,1	-0,070165
0,200833	0,1	-0,109509
0,202500	0,1	-0,076829
0,204167	0,1	-0,072394
0,205833	0,1	-0,104609
0,207500	0,1	-0,053662
0,209167	0,1	-0,063637
0,210833	0,1	-0,056390
0,212500	0,1	-0,050476
0,214167	0,1	-0,075868
0,215833	0,1	-0,017772
0,217500	0,1	-0,041885
0,219167	0,1	-0,043541
0,220833	0,1	-0,070963
0,222500	0,1	-0,083233
0,224167	0,1	-0,063309
0,225833	0,1	-0,071029
0,227500	0,1	-0,060269
0,229167	0,1	-0,092758
0,230833	0,1	-0,075939
0,232500	0,1	-0,087890
0,234167	0,1	-0,097390
0,235833	0,1	-0,061864
0,237500	0,1	-0,067639
0,239167	0,1	-0,064573
0,240833	0,1	-0,082133
0,242500	0,1	-0,051293
0,244167	0,1	-0,074784
0,245833	0,1	-0,019758
0,247500	0,1	-0,058499
0,249167	0,1	-0,049882
0,250833	0,1	-0,079791
0,252500	0,1	-0,046021
0,254167	0,1	-0,063318
0,255833	0,1	-0,081674
0,257500	0,1	-0,058575
0,259167	0,1	-0,064921
0,260833	0,1	-0,087704
0,262500	0,1	-0,084062
0,264167	0,1	-0,073127
0,265833	0,1	-0,073095
0,267500	0,1	-0,067551
0,269167	0,1	-0,054143
0,270833	0,1	-0,055195
