File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/782.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00h-EGS_2
Injection Number	115
Position	BC1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	05:32:18
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,139914
Signal Max.	107,082086
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,048819
0,002500	0,1	-0,074292
0,004167	0,1	-0,064553
0,005833	0,1	-0,056458
0,007500	0,1	-0,071770
0,009167	0,1	-0,052611
0,010833	0,1	-0,060181
0,012500	0,1	-0,025770
0,014167	0,1	-0,067810
0,015833	0,1	-0,118719
0,017500	0,1	-0,118943
0,019167	0,1	-0,039670
0,020833	0,1	-0,090202
0,022500	0,1	-0,048705
0,024167	0,1	-0,062412
0,025833	0,1	-0,053996
0,027500	0,1	-0,121677
0,029167	0,1	-0,116368
0,030833	0,1	-0,073375
0,032500	0,1	-0,106702
0,034167	0,1	-0,102343
0,035833	0,1	-0,074305
0,037500	0,1	-0,067962
0,039167	0,1	-0,123868
0,040833	0,1	-0,139914
0,042500	0,1	-0,065790
0,044167	0,1	-0,122584
0,045833	0,1	-0,132507
0,047500	0,1	-0,119498
0,049167	0,1	-0,081364
0,050833	0,1	-0,063807
0,052500	0,1	-0,075621
0,054167	0,1	-0,023993
0,055833	0,1	-0,042855
0,057500	0,1	-0,087442
0,059167	0,1	-0,061472
0,060833	0,1	-0,040878
0,062500	0,1	-0,072321
0,064167	0,1	-0,083550
0,065833	0,1	-0,088657
0,067500	0,1	-0,092568
0,069167	0,1	-0,086013
0,070833	0,1	-0,070925
0,072500	0,1	-0,047480
0,074167	0,1	-0,029080
0,075833	0,1	-0,044201
0,077500	0,1	-0,086002
0,079167	0,1	-0,075127
0,080833	0,1	-0,026600
0,082500	0,1	-0,053945
0,084167	0,1	-0,041912
0,085833	0,1	-0,017385
0,087500	0,1	-0,066649
