File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/365.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00h-EGS_NA
Injection Number	117
Position	BC3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	05:45:18
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,146362
Signal Max.	47,883390
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,029342
0,002500	0,1	-0,065539
0,004167	0,1	-0,048639
0,005833	0,1	-0,081228
0,007500	0,1	-0,029731
0,009167	0,1	-0,069342
0,010833	0,1	-0,004620
0,012500	0,1	-0,036770
0,014167	0,1	-0,064669
0,015833	0,1	-0,009981
0,017500	0,1	-0,020706
0,019167	0,1	-0,048708
0,020833	0,1	-0,023450
0,022500	0,1	-0,023275
0,024167	0,1	-0,049270
0,025833	0,1	-0,073837
0,027500	0,1	-0,048702
0,029167	0,1	-0,060639
0,030833	0,1	-0,123962
0,032500	0,1	-0,093206
0,034167	0,1	-0,109814
0,035833	0,1	-0,067851
0,037500	0,1	-0,123827
0,039167	0,1	-0,115350
0,040833	0,1	-0,121090
0,042500	0,1	-0,109835
0,044167	0,1	-0,146362
0,045833	0,1	-0,114775
0,047500	0,1	-0,099755
0,049167	0,1	-0,030308
0,050833	0,1	-0,080232
0,052500	0,1	-0,087790
0,054167	0,1	-0,061766
0,055833	0,1	-0,057039
0,057500	0,1	-0,061924
0,059167	0,1	-0,045265
0,060833	0,1	-0,063741
0,062500	0,1	-0,069122
