File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/960.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_01h-EGS_3
Injection Number	96
Position	GE7
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	03:29:05
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,111622
Signal Max.	107,660615
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,045387
0,002500	0,1	-0,022089
0,004167	0,1	0,006707
0,005833	0,1	-0,015680
0,007500	0,1	-0,102746
0,009167	0,1	-0,026278
0,010833	0,1	-0,042860
0,012500	0,1	-0,059193
0,014167	0,1	-0,016979
0,015833	0,1	-0,058791
0,017500	0,1	-0,005307
0,019167	0,1	-0,060265
0,020833	0,1	-0,034151
0,022500	0,1	-0,013826
0,024167	0,1	-0,036979
0,025833	0,1	-0,052503
0,027500	0,1	-0,068846
0,029167	0,1	-0,050860
0,030833	0,1	-0,058842
0,032500	0,1	-0,050277
0,034167	0,1	-0,089695
0,035833	0,1	-0,091217
0,037500	0,1	-0,111622
0,039167	0,1	-0,088672
0,040833	0,1	-0,071270
0,042500	0,1	-0,059535
0,044167	0,1	-0,097852
0,045833	0,1	-0,095281
0,047500	0,1	-0,064046
0,049167	0,1	-0,042519
0,050833	0,1	-0,061836
0,052500	0,1	-0,076043
0,054167	0,1	-0,083488
0,055833	0,1	-0,068123
0,057500	0,1	-0,080430
0,059167	0,1	-0,047594
0,060833	0,1	-0,053436
0,062500	0,1	0,015312
0,064167	0,1	-0,063274
0,065833	0,1	-0,052052
0,067500	0,1	-0,034053
0,069167	0,1	-0,038555
0,070833	0,1	-0,053173
0,072500	0,1	-0,034526
0,074167	0,1	-0,023554
0,075833	0,1	-0,089750
0,077500	0,1	-0,029649
0,079167	0,1	-0,010845
0,080833	0,1	-0,037267
0,082500	0,1	-0,014880
0,084167	0,1	-0,042523
0,085833	0,1	-0,045826
0,087500	0,1	-0,050044
0,089167	0,1	0,002913
0,090833	0,1	0,031657
0,092500	0,1	-0,003150
0,094167	0,1	-0,036316
0,095833	0,1	-0,036113
0,097500	0,1	0,022312
0,099167	0,1	-0,019172
0,100833	0,1	-0,038263
0,102500	0,1	-0,005030
0,104167	0,1	-0,017501
0,105833	0,1	-0,088159
0,107500	0,1	-0,018787
0,109167	0,1	-0,065250
0,110833	0,1	-0,041893
0,112500	0,1	-0,057619
0,114167	0,1	-0,059486
0,115833	0,1	-0,029256
0,117500	0,1	-0,048803
0,119167	0,1	-0,064633
0,120833	0,1	-0,053440
0,122500	0,1	-0,049404
0,124167	0,1	-0,063501
0,125833	0,1	-0,072043
0,127500	0,1	-0,058620
0,129167	0,1	-0,067782
0,130833	0,1	-0,088769
0,132500	0,1	-0,093888
0,134167	0,1	-0,092668
0,135833	0,1	-0,030459
0,137500	0,1	-0,016972
0,139167	0,1	-0,077059
0,140833	0,1	-0,046598
0,142500	0,1	-0,057224
0,144167	0,1	-0,023164
0,145833	0,1	-0,024423
0,147500	0,1	-0,002169
0,149167	0,1	-0,026174
0,150833	0,1	-0,047246
0,152500	0,1	-0,039473
0,154167	0,1	-0,029971
0,155833	0,1	-0,009730
0,157500	0,1	0,008845
0,159167	0,1	-0,031884
0,160833	0,1	-0,042204
0,162500	0,1	-0,047661
0,164167	0,1	-0,056110
0,165833	0,1	-0,022496
0,167500	0,1	-0,057034
0,169167	0,1	-0,052456
0,170833	0,1	-0,017865
0,172500	0,1	-0,035159
0,174167	0,1	-0,016348
0,175833	0,1	-0,020941
0,177500	0,1	0,009072
0,179167	0,1	-0,027700
0,180833	0,1	-0,022104
0,182500	0,1	-0,025556
0,184167	0,1	-0,010493
0,185833	0,1	-0,026344
0,187500	0,1	-0,018727
0,189167	0,1	-0,042005
0,190833	0,1	-0,030156
0,192500	0,1	-0,023572
0,194167	0,1	0,008632
0,195833	0,1	-0,054460
0,197500	0,1	-0,050169
0,199167	0,1	-0,000752
0,200833	0,1	-0,019531
0,202500	0,1	-0,052315
0,204167	0,1	0,006708
0,205833	0,1	-0,007006
0,207500	0,1	-0,057549
0,209167	0,1	-0,035399
0,210833	0,1	-0,024549
0,212500	0,1	-0,007075
0,214167	0,1	-0,031599
0,215833	0,1	-0,028520
0,217500	0,1	-0,012620
0,219167	0,1	-0,030790
0,220833	0,1	-0,013139
0,222500	0,1	0,007598
0,224167	0,1	-0,025592
0,225833	0,1	-0,026760
0,227500	0,1	0,008236
0,229167	0,1	-0,053407
0,230833	0,1	-0,001930
0,232500	0,1	-0,020004
0,234167	0,1	-0,056788
0,235833	0,1	-0,013893
0,237500	0,1	-0,012020
0,239167	0,1	-0,004654
0,240833	0,1	-0,029401
0,242500	0,1	-0,013307
0,244167	0,1	-0,024041
0,245833	0,1	0,041978
0,247500	0,1	0,003867
0,249167	0,1	-0,035323
0,250833	0,1	-0,027545
0,252500	0,1	-0,040233
0,254167	0,1	-0,017800
0,255833	0,1	-0,003285
0,257500	0,1	0,011062
0,259167	0,1	-0,020309
0,260833	0,1	0,000336
0,262500	0,1	-0,006803
0,264167	0,1	0,008574
0,265833	0,1	-0,042913
0,267500	0,1	-0,064141
0,269167	0,1	-0,040426
0,270833	0,1	0,024692
0,272500	0,1	-0,037857
0,274167	0,1	-0,004080
0,275833	0,1	-0,012413
0,277500	0,1	-0,003618
0,279167	0,1	-0,018495
0,280833	0,1	-0,028455
0,282500	0,1	-0,025188
0,284167	0,1	-0,041042
0,285833	0,1	-0,024427
0,287500	0,1	0,018362
0,289167	0,1	0,008000
0,290833	0,1	-0,016214
0,292500	0,1	0,006666
0,294167	0,1	0,003963
0,295833	0,1	0,003427
0,297500	0,1	0,002760
0,299167	0,1	-0,057258
0,300833	0,1	-0,047877
0,302500	0,1	-0,058095
