File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/474.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_02h-EGS_2
Injection Number	85
Position	GD5
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	02:17:55
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,164887
Signal Max.	114,129602
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,096220
0,002500	0,1	-0,083654
0,004167	0,1	-0,074372
0,005833	0,1	-0,082340
0,007500	0,1	-0,078330
0,009167	0,1	-0,087913
0,010833	0,1	-0,065472
0,012500	0,1	-0,119670
0,014167	0,1	-0,112254
0,015833	0,1	-0,069614
0,017500	0,1	-0,066044
0,019167	0,1	-0,069956
0,020833	0,1	-0,053785
0,022500	0,1	-0,059206
0,024167	0,1	-0,085069
0,025833	0,1	-0,104043
0,027500	0,1	-0,069736
0,029167	0,1	-0,124544
0,030833	0,1	-0,106040
0,032500	0,1	-0,109410
0,034167	0,1	-0,142648
0,035833	0,1	-0,073431
0,037500	0,1	-0,130602
0,039167	0,1	-0,164887
0,040833	0,1	-0,160510
0,042500	0,1	-0,117813
0,044167	0,1	-0,098978
0,045833	0,1	-0,113568
0,047500	0,1	-0,104400
0,049167	0,1	-0,115232
0,050833	0,1	-0,132899
0,052500	0,1	-0,087946
0,054167	0,1	-0,096199
0,055833	0,1	-0,084251
0,057500	0,1	-0,119782
0,059167	0,1	-0,102829
0,060833	0,1	-0,049132
0,062500	0,1	-0,132469
0,064167	0,1	-0,101925
0,065833	0,1	-0,092678
0,067500	0,1	-0,072407
0,069167	0,1	-0,086858
0,070833	0,1	-0,068757
0,072500	0,1	-0,088634
0,074167	0,1	-0,068036
0,075833	0,1	-0,100687
0,077500	0,1	-0,093679
0,079167	0,1	-0,056730
0,080833	0,1	-0,044129
0,082500	0,1	-0,042494
0,084167	0,1	-0,079041
0,085833	0,1	-0,109906
0,087500	0,1	-0,056424
0,089167	0,1	-0,071904
0,090833	0,1	-0,022347
0,092500	0,1	-0,063297
0,094167	0,1	-0,072960
0,095833	0,1	-0,051798
0,097500	0,1	-0,067904
