File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/839.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_04h-EGS_1
Injection Number	75
Position	GC3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	01:12:58
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,147320
Signal Max.	102,530993
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,051627
0,002500	0,1	-0,062526
0,004167	0,1	-0,071189
0,005833	0,1	-0,070136
0,007500	0,1	-0,038637
0,009167	0,1	-0,081048
0,010833	0,1	-0,037273
0,012500	0,1	-0,052679
0,014167	0,1	-0,087329
0,015833	0,1	-0,065228
0,017500	0,1	-0,066631
0,019167	0,1	-0,021439
0,020833	0,1	-0,077128
0,022500	0,1	-0,042454
0,024167	0,1	-0,046217
0,025833	0,1	-0,077134
0,027500	0,1	-0,094298
0,029167	0,1	-0,031433
0,030833	0,1	-0,086951
0,032500	0,1	-0,096413
0,034167	0,1	-0,147320
0,035833	0,1	-0,060042
0,037500	0,1	-0,097586
0,039167	0,1	-0,137336
0,040833	0,1	-0,108422
0,042500	0,1	-0,111833
0,044167	0,1	-0,116309
0,045833	0,1	-0,068550
0,047500	0,1	-0,050078
0,049167	0,1	-0,091598
0,050833	0,1	-0,078864
0,052500	0,1	-0,111682
0,054167	0,1	-0,073379
0,055833	0,1	-0,059588
0,057500	0,1	-0,057866
0,059167	0,1	-0,072038
0,060833	0,1	-0,074074
0,062500	0,1	-0,042142
0,064167	0,1	-0,060783
0,065833	0,1	-0,071232
0,067500	0,1	-0,079709
0,069167	0,1	-0,040443
0,070833	0,1	-0,083223
0,072500	0,1	-0,073847
0,074167	0,1	-0,082258
0,075833	0,1	-0,060482
0,077500	0,1	-0,045724
0,079167	0,1	-0,062422
0,080833	0,1	-0,080619
0,082500	0,1	-0,079317
0,084167	0,1	-0,066697
0,085833	0,1	-0,053142
0,087500	0,1	-0,062464
0,089167	0,1	-0,079353
0,090833	0,1	-0,060565
0,092500	0,1	-0,039693
0,094167	0,1	-0,080509
0,095833	0,1	-0,045169
0,097500	0,1	-0,038051
0,099167	0,1	-0,090081
0,100833	0,1	-0,064276
0,102500	0,1	-0,101486
0,104167	0,1	-0,081808
0,105833	0,1	-0,096661
0,107500	0,1	-0,080109
0,109167	0,1	-0,101882
0,110833	0,1	-0,081994
0,112500	0,1	-0,076770
0,114167	0,1	-0,105983
0,115833	0,1	-0,100808
0,117500	0,1	-0,102362
0,119167	0,1	-0,088480
0,120833	0,1	-0,077371
0,122500	0,1	-0,135466
0,124167	0,1	-0,082356
0,125833	0,1	-0,101344
0,127500	0,1	-0,087694
0,129167	0,1	-0,073454
0,130833	0,1	-0,081801
0,132500	0,1	-0,072004
0,134167	0,1	-0,070239
0,135833	0,1	-0,087727
0,137500	0,1	-0,071341
0,139167	0,1	-0,047716
0,140833	0,1	-0,050568
0,142500	0,1	-0,107966
0,144167	0,1	-0,034752
0,145833	0,1	-0,059248
0,147500	0,1	-0,067418
0,149167	0,1	-0,099204
0,150833	0,1	-0,033817
0,152500	0,1	-0,036370
0,154167	0,1	-0,060139
0,155833	0,1	-0,048542
0,157500	0,1	-0,097149
0,159167	0,1	-0,038313
0,160833	0,1	-0,031937
0,162500	0,1	-0,061403
0,164167	0,1	-0,086130
0,165833	0,1	-0,072998
0,167500	0,1	-0,084392
0,169167	0,1	-0,081577
0,170833	0,1	-0,066138
0,172500	0,1	-0,047548
0,174167	0,1	-0,094105
0,175833	0,1	-0,054476
0,177500	0,1	-0,085132
0,179167	0,1	-0,044154
0,180833	0,1	-0,064867
0,182500	0,1	-0,083437
0,184167	0,1	-0,053975
0,185833	0,1	-0,031072
0,187500	0,1	-0,094349
0,189167	0,1	-0,047348
0,190833	0,1	-0,114406
0,192500	0,1	-0,078745
0,194167	0,1	-0,041936
0,195833	0,1	-0,044372
0,197500	0,1	-0,091491
0,199167	0,1	-0,082367
0,200833	0,1	-0,027493
0,202500	0,1	-0,083593
0,204167	0,1	-0,044215
0,205833	0,1	-0,078604
0,207500	0,1	-0,067277
0,209167	0,1	-0,035343
0,210833	0,1	-0,080675
0,212500	0,1	-0,081204
0,214167	0,1	-0,055840
0,215833	0,1	-0,080990
0,217500	0,1	-0,097262
0,219167	0,1	-0,085537
0,220833	0,1	-0,084519
0,222500	0,1	-0,053147
0,224167	0,1	-0,030656
0,225833	0,1	-0,063889
0,227500	0,1	-0,019675
0,229167	0,1	-0,064591
0,230833	0,1	-0,076226
0,232500	0,1	-0,025564
