File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/451.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-ChiBI_NA
Injection Number	46
Position	GA1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	22:05:35
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,120868
Signal Max.	145,078831
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,010297
0,002500	0,1	-0,038315
0,004167	0,1	-0,104245
0,005833	0,1	-0,030323
0,007500	0,1	-0,068498
0,009167	0,1	-0,014235
0,010833	0,1	-0,012296
0,012500	0,1	-0,023565
0,014167	0,1	-0,047337
0,015833	0,1	-0,038259
0,017500	0,1	0,025062
0,019167	0,1	-0,025517
0,020833	0,1	-0,028307
0,022500	0,1	-0,003373
0,024167	0,1	-0,045015
0,025833	0,1	-0,013396
0,027500	0,1	-0,080634
0,029167	0,1	-0,041262
0,030833	0,1	-0,087211
0,032500	0,1	-0,051121
0,034167	0,1	-0,049471
0,035833	0,1	-0,070240
0,037500	0,1	-0,070342
0,039167	0,1	-0,120868
0,040833	0,1	-0,052222
0,042500	0,1	-0,067540
0,044167	0,1	-0,082223
0,045833	0,1	-0,058010
0,047500	0,1	-0,081897
0,049167	0,1	-0,087768
0,050833	0,1	-0,050188
0,052500	0,1	-0,036102
0,054167	0,1	-0,044017
0,055833	0,1	-0,055975
0,057500	0,1	-0,028503
0,059167	0,1	-0,028729
0,060833	0,1	-0,032067
0,062500	0,1	-0,054777
0,064167	0,1	-0,063897
0,065833	0,1	-0,079646
0,067500	0,1	-0,036753
0,069167	0,1	-0,051363
0,070833	0,1	0,000195
0,072500	0,1	-0,024141
0,074167	0,1	-0,046308
0,075833	0,1	-0,030275
0,077500	0,1	-0,004439
0,079167	0,1	-0,016861
0,080833	0,1	-0,070033
0,082500	0,1	-0,018165
0,084167	0,1	-0,016995
0,085833	0,1	-0,000280
0,087500	0,1	0,007359
0,089167	0,1	-0,021368
0,090833	0,1	0,003649
0,092500	0,1	-0,002303
0,094167	0,1	-0,004433
0,095833	0,1	-0,024626
0,097500	0,1	-0,030400
0,099167	0,1	0,000779
0,100833	0,1	-0,015571
0,102500	0,1	0,025068
0,104167	0,1	0,007077
0,105833	0,1	-0,015447
0,107500	0,1	-0,022408
0,109167	0,1	-0,022763
0,110833	0,1	-0,065821
0,112500	0,1	0,000222
0,114167	0,1	-0,048393
0,115833	0,1	-0,025736
0,117500	0,1	-0,013101
0,119167	0,1	-0,058573
0,120833	0,1	-0,039042
0,122500	0,1	-0,030787
0,124167	0,1	-0,064860
0,125833	0,1	-0,026415
0,127500	0,1	-0,050298
0,129167	0,1	-0,006312
0,130833	0,1	-0,011454
0,132500	0,1	-0,042410
0,134167	0,1	-0,014684
0,135833	0,1	-0,051553
0,137500	0,1	-0,062576
0,139167	0,1	0,007505
0,140833	0,1	0,029134
0,142500	0,1	0,016442
