File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/990.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-NT_1
Injection Number	29
Position	RD1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	20:15:35
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,148829
Signal Max.	116,984903
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,090788
0,002500	0,1	-0,053483
0,004167	0,1	-0,111286
0,005833	0,1	-0,094087
0,007500	0,1	-0,065928
0,009167	0,1	-0,069292
0,010833	0,1	-0,066443
0,012500	0,1	-0,050117
0,014167	0,1	-0,040518
0,015833	0,1	-0,052227
0,017500	0,1	-0,088695
0,019167	0,1	-0,045203
0,020833	0,1	-0,070958
0,022500	0,1	-0,084653
0,024167	0,1	-0,070230
0,025833	0,1	-0,120867
0,027500	0,1	-0,068755
0,029167	0,1	-0,064114
0,030833	0,1	-0,106521
0,032500	0,1	-0,103006
0,034167	0,1	-0,116539
0,035833	0,1	-0,107729
0,037500	0,1	-0,084539
0,039167	0,1	-0,099798
0,040833	0,1	-0,087419
0,042500	0,1	-0,073774
0,044167	0,1	-0,104486
0,045833	0,1	-0,073761
0,047500	0,1	-0,120394
0,049167	0,1	-0,077276
0,050833	0,1	-0,107644
0,052500	0,1	-0,068904
0,054167	0,1	-0,084652
0,055833	0,1	-0,088103
0,057500	0,1	-0,077160
0,059167	0,1	-0,045003
0,060833	0,1	-0,066575
0,062500	0,1	-0,095578
0,064167	0,1	-0,049939
0,065833	0,1	-0,083451
0,067500	0,1	-0,082432
0,069167	0,1	-0,072486
0,070833	0,1	-0,071363
0,072500	0,1	-0,119151
0,074167	0,1	-0,075819
0,075833	0,1	-0,068437
0,077500	0,1	-0,064757
0,079167	0,1	-0,071177
0,080833	0,1	-0,081417
0,082500	0,1	-0,052008
0,084167	0,1	-0,020957
0,085833	0,1	-0,088901
0,087500	0,1	-0,033534
0,089167	0,1	-0,061407
0,090833	0,1	-0,063866
0,092500	0,1	-0,044094
0,094167	0,1	-0,041283
0,095833	0,1	-0,078085
0,097500	0,1	-0,062200
0,099167	0,1	-0,075469
0,100833	0,1	-0,062289
0,102500	0,1	-0,092849
0,104167	0,1	-0,109701
0,105833	0,1	-0,042941
0,107500	0,1	-0,073272
0,109167	0,1	-0,061555
0,110833	0,1	-0,061183
0,112500	0,1	-0,075866
0,114167	0,1	-0,098601
0,115833	0,1	-0,148829
0,117500	0,1	-0,095475
0,119167	0,1	-0,134944
0,120833	0,1	-0,120593
0,122500	0,1	-0,073244
0,124167	0,1	-0,068727
0,125833	0,1	-0,088146
0,127500	0,1	-0,103202
0,129167	0,1	-0,086990
0,130833	0,1	-0,067044
0,132500	0,1	-0,065093
0,134167	0,1	-0,091027
0,135833	0,1	-0,074387
0,137500	0,1	-0,071656
0,139167	0,1	-0,060726
0,140833	0,1	-0,026834
0,142500	0,1	-0,047135
0,144167	0,1	-0,080937
0,145833	0,1	-0,057035
0,147500	0,1	-0,107363
0,149167	0,1	-0,065472
0,150833	0,1	-0,056572
0,152500	0,1	-0,096066
0,154167	0,1	-0,066464
0,155833	0,1	-0,099165
0,157500	0,1	-0,062067
0,159167	0,1	-0,099715
0,160833	0,1	-0,049040
0,162500	0,1	-0,066851
0,164167	0,1	-0,054685
0,165833	0,1	-0,088327
0,167500	0,1	-0,043730
0,169167	0,1	-0,058498
0,170833	0,1	-0,057825
0,172500	0,1	-0,024424
0,174167	0,1	-0,075029
0,175833	0,1	-0,063515
0,177500	0,1	-0,054394
0,179167	0,1	-0,085691
0,180833	0,1	-0,094588
0,182500	0,1	-0,068565
0,184167	0,1	-0,046193
0,185833	0,1	-0,087603
0,187500	0,1	-0,069865
0,189167	0,1	-0,017761
0,190833	0,1	-0,042503
0,192500	0,1	-0,107220
0,194167	0,1	-0,046969
0,195833	0,1	-0,099728
0,197500	0,1	-0,064165
0,199167	0,1	-0,035617
0,200833	0,1	-0,088843
0,202500	0,1	-0,084701
0,204167	0,1	-0,058704
0,205833	0,1	-0,081768
0,207500	0,1	-0,055166
0,209167	0,1	-0,043402
0,210833	0,1	-0,050863
0,212500	0,1	-0,063878
0,214167	0,1	-0,105955
0,215833	0,1	-0,068611
0,217500	0,1	-0,077571
0,219167	0,1	-0,056619
0,220833	0,1	-0,044551
0,222500	0,1	-0,078835
0,224167	0,1	-0,055165
0,225833	0,1	-0,041763
0,227500	0,1	-0,078928
0,229167	0,1	-0,048956
0,230833	0,1	-0,043736
0,232500	0,1	-0,035597
0,234167	0,1	-0,060887
0,235833	0,1	-0,082488
0,237500	0,1	-0,050703
0,239167	0,1	-0,081368
0,240833	0,1	-0,059303
0,242500	0,1	-0,068097
0,244167	0,1	-0,057076
0,245833	0,1	-0,079084
0,247500	0,1	-0,066460
0,249167	0,1	-0,070074
0,250833	0,1	-0,068266
0,252500	0,1	-0,078460
0,254167	0,1	-0,095397
