File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/615.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_24h-NT_NA
Injection Number	32
Position	RD4
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	20:35:03
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,147938
Signal Max.	86,463776
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,074919
0,002500	0,1	-0,048556
0,004167	0,1	-0,087792
0,005833	0,1	-0,057701
0,007500	0,1	-0,100174
0,009167	0,1	-0,042452
0,010833	0,1	-0,057979
0,012500	0,1	-0,050547
0,014167	0,1	-0,053514
0,015833	0,1	-0,086587
0,017500	0,1	-0,098374
0,019167	0,1	-0,082819
0,020833	0,1	-0,070123
0,022500	0,1	-0,067625
0,024167	0,1	-0,077079
0,025833	0,1	-0,041949
0,027500	0,1	-0,096848
0,029167	0,1	-0,095094
0,030833	0,1	-0,081030
0,032500	0,1	-0,115240
0,034167	0,1	-0,093811
0,035833	0,1	-0,105170
0,037500	0,1	-0,119734
0,039167	0,1	-0,115644
0,040833	0,1	-0,140550
0,042500	0,1	-0,116418
0,044167	0,1	-0,123518
0,045833	0,1	-0,088703
0,047500	0,1	-0,147938
0,049167	0,1	-0,141202
0,050833	0,1	-0,103768
0,052500	0,1	-0,061694
0,054167	0,1	-0,051276
0,055833	0,1	-0,115690
0,057500	0,1	-0,099212
0,059167	0,1	-0,056666
0,060833	0,1	-0,120366
