File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/394.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_00.5h-EGS_3
Injection Number	102
Position	BA5
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	04:08:08
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,092196
Signal Max.	121,234139
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,000066
0,002500	0,1	-0,054977
0,004167	0,1	-0,006963
0,005833	0,1	-0,041590
0,007500	0,1	-0,058608
0,009167	0,1	0,031942
0,010833	0,1	-0,033180
0,012500	0,1	0,019862
0,014167	0,1	-0,027452
0,015833	0,1	-0,070669
0,017500	0,1	-0,038168
0,019167	0,1	-0,049479
0,020833	0,1	-0,022522
0,022500	0,1	-0,006169
0,024167	0,1	0,015648
0,025833	0,1	-0,006946
0,027500	0,1	-0,026775
0,029167	0,1	-0,048359
0,030833	0,1	-0,073774
0,032500	0,1	-0,092196
0,034167	0,1	-0,071633
0,035833	0,1	-0,081019
0,037500	0,1	-0,081355
0,039167	0,1	-0,058926
0,040833	0,1	-0,059640
0,042500	0,1	-0,058069
0,044167	0,1	-0,035188
0,045833	0,1	-0,073859
0,047500	0,1	-0,059089
0,049167	0,1	-0,082334
0,050833	0,1	-0,053196
0,052500	0,1	-0,047620
0,054167	0,1	-0,064276
0,055833	0,1	-0,018635
0,057500	0,1	-0,045318
0,059167	0,1	-0,035991
0,060833	0,1	0,001961
0,062500	0,1	-0,037324
0,064167	0,1	-0,029249
0,065833	0,1	0,007177
0,067500	0,1	-0,077900
0,069167	0,1	-0,022072
0,070833	0,1	-0,037392
0,072500	0,1	-0,034541
0,074167	0,1	-0,019496
0,075833	0,1	-0,061211
0,077500	0,1	0,000716
0,079167	0,1	-0,043061
0,080833	0,1	-0,034893
0,082500	0,1	0,019676
0,084167	0,1	-0,020477
0,085833	0,1	-0,013781
0,087500	0,1	0,000289
0,089167	0,1	0,004783
0,090833	0,1	-0,010612
0,092500	0,1	-0,021353
0,094167	0,1	0,004445
0,095833	0,1	-0,009058
0,097500	0,1	0,002753
0,099167	0,1	-0,038151
0,100833	0,1	-0,005052
0,102500	0,1	-0,035278
0,104167	0,1	-0,001123
0,105833	0,1	-0,047694
0,107500	0,1	-0,042302
0,109167	0,1	0,015413
0,110833	0,1	-0,044150
0,112500	0,1	-0,079468
0,114167	0,1	-0,041896
0,115833	0,1	-0,057368
0,117500	0,1	-0,039739
0,119167	0,1	-0,035640
0,120833	0,1	-0,060198
0,122500	0,1	-0,068814
0,124167	0,1	-0,047895
0,125833	0,1	-0,049400
0,127500	0,1	-0,043278
0,129167	0,1	-0,042116
0,130833	0,1	-0,041640
0,132500	0,1	-0,048505
0,134167	0,1	-0,044910
0,135833	0,1	-0,045489
0,137500	0,1	-0,029226
0,139167	0,1	-0,046065
0,140833	0,1	-0,045139
0,142500	0,1	-0,007396
0,144167	0,1	0,004781
0,145833	0,1	-0,029651
0,147500	0,1	0,014481
0,149167	0,1	-0,018578
0,150833	0,1	-0,017629
0,152500	0,1	-0,039068
0,154167	0,1	-0,018423
0,155833	0,1	-0,036609
0,157500	0,1	0,002561
0,159167	0,1	0,017595
0,160833	0,1	-0,013213
0,162500	0,1	-0,034350
0,164167	0,1	0,023670
0,165833	0,1	-0,023022
0,167500	0,1	-0,009995
0,169167	0,1	-0,012022
0,170833	0,1	-0,004551
0,172500	0,1	-0,005129
0,174167	0,1	0,011364
0,175833	0,1	-0,026980
0,177500	0,1	0,018496
0,179167	0,1	-0,001233
0,180833	0,1	-0,018600
0,182500	0,1	-0,001366
0,184167	0,1	0,010989
0,185833	0,1	-0,006532
0,187500	0,1	0,004410
0,189167	0,1	-0,017500
0,190833	0,1	-0,005650
0,192500	0,1	-0,004385
0,194167	0,1	-0,040763
0,195833	0,1	-0,015649
0,197500	0,1	0,005588
0,199167	0,1	0,005302
0,200833	0,1	-0,033870
0,202500	0,1	0,031347
0,204167	0,1	0,025651
0,205833	0,1	-0,009403
0,207500	0,1	-0,010948
0,209167	0,1	-0,002812
0,210833	0,1	0,008984
0,212500	0,1	-0,021928
0,214167	0,1	-0,010721
0,215833	0,1	-0,014691
0,217500	0,1	-0,014816
0,219167	0,1	-0,000123
0,220833	0,1	0,008676
0,222500	0,1	0,008222
0,224167	0,1	-0,014028
0,225833	0,1	-0,023216
0,227500	0,1	0,017404
0,229167	0,1	0,005885
0,230833	0,1	0,016022
0,232500	0,1	-0,008314
0,234167	0,1	0,014342
0,235833	0,1	-0,004545
0,237500	0,1	0,003561
0,239167	0,1	-0,017624
0,240833	0,1	-0,013928
0,242500	0,1	-0,013718
0,244167	0,1	-0,023199
0,245833	0,1	0,013532
0,247500	0,1	-0,009636
0,249167	0,1	0,018234
0,250833	0,1	0,013251
0,252500	0,1	-0,013694
0,254167	0,1	-0,031871
0,255833	0,1	-0,003064
0,257500	0,1	0,039406
0,259167	0,1	0,001605
0,260833	0,1	0,024485
0,262500	0,1	0,017124
0,264167	0,1	0,033823
0,265833	0,1	-0,000691
0,267500	0,1	0,026452
0,269167	0,1	0,018181
0,270833	0,1	0,002492
0,272500	0,1	0,010848
0,274167	0,1	0,032414
0,275833	0,1	-0,000218
0,277500	0,1	0,004888
0,279167	0,1	-0,007384
0,280833	0,1	-0,015973
0,282500	0,1	-0,008692
0,284167	0,1	-0,004533
0,285833	0,1	0,039508
0,287500	0,1	-0,011245
0,289167	0,1	0,023799
0,290833	0,1	0,009364
0,292500	0,1	0,019270
0,294167	0,1	0,016440
0,295833	0,1	-0,020379
0,297500	0,1	0,028328
0,299167	0,1	-0,014084
0,300833	0,1	0,000474
0,302500	0,1	0,014055
0,304167	0,1	0,018797
0,305833	0,1	0,033656
0,307500	0,1	0,022341
0,309167	0,1	0,001872
0,310833	0,1	0,050001
0,312500	0,1	-0,001932
0,314167	0,1	0,013228
0,315833	0,1	0,030075
0,317500	0,1	0,039185
0,319167	0,1	-0,033203
0,320833	0,1	0,005955
0,322500	0,1	0,041807
0,324167	0,1	-0,007560
0,325833	0,1	0,049276
0,327500	0,1	0,000181
0,329167	0,1	-0,009121
0,330833	0,1	0,024420
0,332500	0,1	0,008867
0,334167	0,1	0,030034
0,335833	0,1	0,026437
0,337500	0,1	0,017890
0,339167	0,1	0,010251
0,340833	0,1	0,002905
0,342500	0,1	0,017676
0,344167	0,1	0,035726
0,345833	0,1	0,034531
0,347500	0,1	-0,013689
0,349167	0,1	0,045776
0,350833	0,1	0,036666
0,352500	0,1	0,020170
0,354167	0,1	0,038231
0,355833	0,1	0,005787
0,357500	0,1	0,037316
0,359167	0,1	0,004318
0,360833	0,1	0,029887
0,362500	0,1	0,042684
0,364167	0,1	0,008871
0,365833	0,1	0,060413
0,367500	0,1	0,034868
0,369167	0,1	0,073334
0,370833	0,1	0,031332
0,372500	0,1	-0,018969
0,374167	0,1	0,055460
