File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/292.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_00h-EGS_NA
Injection Number	113
Position	BB7
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	05:19:19
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,147608
Signal Max.	36,813735
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,049093
0,002500	0,1	-0,035317
0,004167	0,1	-0,069778
0,005833	0,1	-0,018435
0,007500	0,1	-0,063468
0,009167	0,1	-0,034968
0,010833	0,1	-0,057516
0,012500	0,1	-0,035731
0,014167	0,1	-0,052843
0,015833	0,1	-0,037242
0,017500	0,1	-0,051349
0,019167	0,1	-0,069231
0,020833	0,1	-0,058657
0,022500	0,1	-0,049719
0,024167	0,1	-0,085555
0,025833	0,1	-0,085441
0,027500	0,1	-0,050658
0,029167	0,1	-0,097527
0,030833	0,1	-0,095003
0,032500	0,1	-0,126805
0,034167	0,1	-0,112400
0,035833	0,1	-0,127864
0,037500	0,1	-0,147608
0,039167	0,1	-0,099305
0,040833	0,1	-0,093630
0,042500	0,1	-0,110102
0,044167	0,1	-0,129818
0,045833	0,1	-0,123410
0,047500	0,1	-0,117179
0,049167	0,1	-0,105588
0,050833	0,1	-0,112853
0,052500	0,1	-0,077813
0,054167	0,1	-0,091439
0,055833	0,1	-0,072648
0,057500	0,1	-0,051630
0,059167	0,1	-0,069415
0,060833	0,1	-0,038591
0,062500	0,1	-0,070817
