File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/247.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_04h-EGS_1
Injection Number	72
Position	GB8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	00:53:28
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,152242
Signal Max.	115,775631
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,054038
0,002500	0,1	-0,069834
0,004167	0,1	-0,063950
0,005833	0,1	-0,056529
0,007500	0,1	-0,073938
0,009167	0,1	-0,061318
0,010833	0,1	-0,078871
0,012500	0,1	-0,105672
0,014167	0,1	-0,050258
0,015833	0,1	-0,076258
0,017500	0,1	-0,128637
0,019167	0,1	-0,078576
0,020833	0,1	-0,062667
0,022500	0,1	-0,062849
0,024167	0,1	-0,066580
0,025833	0,1	-0,088116
0,027500	0,1	-0,103166
0,029167	0,1	-0,087526
0,030833	0,1	-0,102981
0,032500	0,1	-0,101575
0,034167	0,1	-0,145532
0,035833	0,1	-0,082560
0,037500	0,1	-0,128244
0,039167	0,1	-0,100647
0,040833	0,1	-0,117574
0,042500	0,1	-0,087112
0,044167	0,1	-0,152242
0,045833	0,1	-0,112241
0,047500	0,1	-0,085950
0,049167	0,1	-0,064183
0,050833	0,1	-0,055865
0,052500	0,1	-0,079410
0,054167	0,1	-0,099209
0,055833	0,1	-0,039832
0,057500	0,1	-0,101663
0,059167	0,1	-0,040950
0,060833	0,1	-0,086284
0,062500	0,1	-0,079789
0,064167	0,1	-0,084037
0,065833	0,1	-0,132556
0,067500	0,1	-0,070824
0,069167	0,1	-0,077713
0,070833	0,1	-0,070730
0,072500	0,1	-0,022682
0,074167	0,1	-0,055275
0,075833	0,1	-0,060507
0,077500	0,1	-0,073234
0,079167	0,1	-0,058997
0,080833	0,1	-0,084488
0,082500	0,1	-0,045487
0,084167	0,1	-0,100898
0,085833	0,1	-0,029925
0,087500	0,1	-0,067153
0,089167	0,1	-0,073338
0,090833	0,1	-0,053651
0,092500	0,1	-0,039654
0,094167	0,1	-0,049682
0,095833	0,1	-0,022202
0,097500	0,1	-0,055585
0,099167	0,1	-0,065417
0,100833	0,1	-0,050393
0,102500	0,1	-0,032834
0,104167	0,1	-0,093415
0,105833	0,1	-0,059231
0,107500	0,1	-0,062662
0,109167	0,1	-0,132197
0,110833	0,1	-0,085397
0,112500	0,1	-0,088058
0,114167	0,1	-0,098772
0,115833	0,1	-0,066880
0,117500	0,1	-0,091310
0,119167	0,1	-0,061468
0,120833	0,1	-0,087658
0,122500	0,1	-0,104412
0,124167	0,1	-0,089844
0,125833	0,1	-0,052762
0,127500	0,1	-0,080322
0,129167	0,1	-0,066522
0,130833	0,1	-0,090353
0,132500	0,1	-0,073738
0,134167	0,1	-0,072241
0,135833	0,1	-0,061960
0,137500	0,1	-0,077316
0,139167	0,1	-0,057672
0,140833	0,1	-0,082765
0,142500	0,1	-0,104783
0,144167	0,1	-0,070550
0,145833	0,1	-0,073671
0,147500	0,1	-0,073774
0,149167	0,1	-0,055908
0,150833	0,1	-0,064983
0,152500	0,1	-0,049046
0,154167	0,1	-0,046183
0,155833	0,1	-0,054908
0,157500	0,1	-0,037562
0,159167	0,1	-0,087425
0,160833	0,1	-0,056616
0,162500	0,1	-0,082600
0,164167	0,1	-0,084951
0,165833	0,1	-0,060989
0,167500	0,1	-0,041170
0,169167	0,1	-0,093582
0,170833	0,1	-0,046774
0,172500	0,1	-0,037724
0,174167	0,1	-0,073269
0,175833	0,1	-0,070438
0,177500	0,1	-0,056075
0,179167	0,1	-0,053377
0,180833	0,1	-0,072817
0,182500	0,1	-0,028384
0,184167	0,1	-0,073040
0,185833	0,1	-0,069485
0,187500	0,1	-0,052675
0,189167	0,1	-0,068880
0,190833	0,1	-0,036280
